label,within_cluster_variance,cluster_size
540,760805060.9464443,12.0
379,759556732.8092017,6.0
1252,751235671.3318663,5.0
1253,751202097.1115849,4.0
1212,751071589.742756,4.0
1213,750978873.6554346,7.0
1303,750745224.4067162,3.0
1302,750678445.1259352,2.0
849,748600551.6357261,5.0
1125,748213842.5667187,5.0
