ref,boot
-1,-1
1702,1294
359,278
1469,1094
1497,-1
1449,-1
-1,880
1288,818
-1,-1
507,325
596,432
1613,1089
1782,1290
826,718
-1,326
-1,-1
31,14
712,511
1384,1014
517,405
453,371
1231,938
1736,1203
-1,277
-1,303
545,454
148,-1
-1,263
293,235
532,-1
1199,645
857,-1
1736,1203
323,217
325,220
1480,1142
864,520
1439,1072
1760,1253
132,145
-1,-1
-1,1073
41,39
1264,860
55,129
-1,-1
135,108
340,273
150,143
29,29
300,-1
1385,1004
-1,36
855,777
-1,-1
865,799
1025,646
1806,-1
109,133
1089,754
288,210
1202,760
1538,1135
1576,1089
617,588
-1,-1
1758,1271
256,231
-1,-1
985,790
-1,-1
236,122
712,511
-1,-1
-1,806
-1,-1
1450,1030
-1,739
1550,1236
-1,-1
1404,1040
720,477
1323,-1
221,117
-1,-1
390,317
-1,-1
204,204
117,139
460,-1
-1,-1
1068,812
-1,-1
-1,-1
769,620
1406,1048
1655,1262
-1,-1
900,693
1397,1088
965,871
1358,1019
1008,739
399,425
1542,1194
-1,-1
1426,1034
-1,-1
1807,1225
1379,580
1004,-1
392,308
552,590
888,539
1175,602
-1,-1
1210,-1
265,-1
1009,663
55,129
591,728
1391,656
228,168
1429,-1
-1,-1
1495,1032
-1,-1
-1,-1
1266,969
1725,1299
-1,-1
1419,1027
-1,-1
285,226
905,658
539,426
921,541
1298,1002
1487,1181
607,731
524,486
664,618
889,465
538,689
664,618
1412,1049
1173,603
878,717
-1,-1
594,389
-1,-1
-1,1202
803,445
125,-1
-1,426
983,515
536,614
1414,1065
-1,-1
359,278
1671,1220
191,120
846,-1
203,186
860,702
-1,-1
1253,924
221,117
452,446
74,66
1652,1169
1316,971
406,348
40,16
287,262
696,448
599,556
972,703
678,608
-1,-1
368,296
572,631
357,271
308,257
50,47
1755,1255
628,419
33,34
-1,-1
-1,742
1000,936
-1,-1
1,1
-1,697
762,772
543,503
-1,163
1438,1073
-1,-1
1105,601
472,376
1812,1219
452,446
632,611
43,43
268,76
964,780
1022,720
737,442
-1,1203
70,85
624,-1
-1,1144
472,376
1512,1042
-1,-1
1642,1230
97,56
1764,1239
834,546
1727,1144
344,281
833,493
830,596
-1,448
726,857
632,611
424,361
389,307
704,664
348,-1
377,306
-1,-1
798,636
1785,1222
1334,1008
274,232
1370,978
1747,1293
742,652
764,801
1008,739
-1,-1
1144,641
-1,-1
1050,902
-1,1036
1692,1256
792,650
-1,-1
160,62
1484,-1
-1,1118
522,458
209,99
662,-1
165,149
-1,-1
495,387
1550,1236
747,494
627,-1
807,476
509,614
-1,921
1749,1302
239,32
1774,1191
1515,1044
661,303
-1,97
665,619
883,570
-1,-1
639,573
1304,985
666,529
530,491
74,66
293,235
-1,-1
525,380
162,71
1206,984
1277,986
1643,1190
1224,397
-1,1043
95,79
786,797
1253,924
1558,1062
-1,-1
982,604
399,425
1699,1198
464,400
67,82
1119,963
-1,524
713,746
535,437
633,581
-1,1147
-1,1120
524,486
355,287
-1,-1
-1,-1
1613,1089
1331,427
1443,1045
145,119
-1,-1
238,169
399,-1
1027,568
1233,863
1499,1162
1019,853
1096,878
378,300
24,9
-1,-1
1049,964
-1,-1
195,229
1465,1136
614,519
1034,788
1646,1171
1184,990
-1,-1
190,166
-1,345
1743,1284
-1,-1
-1,-1
1268,340
1527,1124
8,8
1067,743
1701,1291
1352,508
-1,-1
1187,916
1614,1089
1631,1137
766,729
228,168
1088,757
-1,-1
612,481
-1,276
-1,-1
362,268
1095,890
706,652
1691,1086
452,446
667,552
128,67
-1,264
-1,-1
-1,-1
107,121
-1,-1
-1,874
937,610
-1,-1
224,208
1685,1264
1583,1205
1391,656
606,369
-1,949
1325,947
296,-1
550,413
-1,-1
109,133
487,382
603,303
56,59
1146,-1
1662,1210
650,554
1189,929
-1,-1
1605,1251
1796,-1
979,517
-1,338
845,901
670,452
346,267
971,842
-1,-1
1016,-1
1810,1277
267,205
-1,-1
1197,563
-1,389
1012,741
1543,1195
-1,-1
-1,-1
72,55
977,834
582,373
-1,1217
1624,1266
347,274
1565,1155
1287,817
1512,1042
1723,1281
1285,918
136,109
1338,953
1160,989
1812,1219
1283,946
435,331
-1,282
1708,1172
880,682
1081,823
1423,1024
643,383
1297,1002
849,-1
1808,1226
-1,-1
1354,479
355,287
1693,1257
525,380
-1,-1
1235,-1
716,398
1679,1196
1327,985
974,456
-1,391
226,223
657,635
-1,445
1386,1005
399,425
139,68
898,881
1192,-1
699,509
499,407
906,778
934,665
1721,1300
815,745
1385,1004
1040,904
246,102
612,481
456,356
82,88
363,280
1570,1215
1150,710
205,148
1411,1053
1133,-1
332,255
645,826
712,511
78,45
-1,-1
1433,1059
903,828
572,631
-1,-1
886,467
497,373
273,232
348,294
1560,1057
753,587
554,632
29,29
1442,1060
-1,-1
608,731
576,426
-1,-1
1020,877
-1,-1
-1,355
1640,1212
-1,-1
738,343
909,700
1041,903
1302,862
222,184
393,309
447,346
1094,694
-1,-1
589,370
439,338
578,524
-1,120
1163,869
190,167
253,31
-1,-1
1797,1232
428,392
1619,1193
-1,196
1450,1030
-1,210
843,858
171,-1
381,313
1085,681
754,-1
1331,427
152,113
-1,-1
505,628
-1,-1
1638,1263
199,188
217,211
649,554
150,143
140,-1
-1,-1
310,256
944,617
1628,-1
1805,1235
-1,-1
1680,1196
1321,998
1309,783
832,514
-1,389
369,291
1196,920
-1,-1
384,314
145,119
1316,971
163,125
162,71
1649,1161
800,512
810,859
1698,1199
348,293
1383,1013
591,728
1390,1012
560,482
792,650
1682,1082
-1,-1
1529,1186
554,633
472,376
375,259
699,509
82,88
1416,1056
1523,1104
-1,-1
1652,1169
106,70
-1,1172
-1,-1
118,140
1063,811
432,415
-1,-1
1042,956
-1,-1
1635,1157
1283,946
1552,1064
1124,771
1714,1287
1105,601
1014,744
1425,1069
1160,989
50,47
-1,-1
1691,1086
1730,1174
1030,537
-1,-1
1264,860
-1,-1
387,-1
455,375
824,500
1609,1153
299,245
-1,-1
298,245
1550,1236
585,-1
-1,-1
1261,849
589,370
434,-1
1445,1046
356,286
285,226
8,8
1084,681
-1,-1
1201,643
475,378
1146,600
1670,1220
1154,752
1251,755
1159,922
1335,1009
270,-1
1487,1181
1420,1058
1087,538
1325,947
1497,1159
1689,1283
-1,-1
689,478
1064,829
380,312
1233,863
-1,343
774,781
-1,-1
1349,1015
1549,1114
131,161
1557,1187
125,155
-1,-1
939,404
1074,522
1466,1175
1237,943
1317,935
1091,726
-1,841
785,766
-1,-1
244,216
629,-1
782,443
976,835
1420,1058
1751,1202
726,857
525,380
167,98
1378,1003
411,334
925,516
713,746
-1,-1
1427,1035
1338,953
690,528
40,16
1344,-1
311,-1
1013,743
-1,-1
-1,646
-1,-1
1197,563
242,111
1767,1242
882,678
30,15
173,128
538,689
-1,-1
1554,-1
575,426
1205,915
1525,1121
1331,427
877,764
1511,1041
1396,1080
1784,1222
182,194
1760,1253
160,62
807,476
1129,316
689,478
529,412
795,495
384,314
1584,-1
495,387
-1,-1
489,450
879,716
395,319
919,762
396,328
387,-1
907,807
370,290
1595,1160
654,-1
758,303
711,416
1809,1277
1066,743
336,241
212,111
-1,-1
872,819
-1,7
-1,-1
-1,-1
998,966
1091,726
1809,1277
1469,1094
1248,670
1669,1245
463,400
1584,1184
458,462
1296,335
1295,339
558,386
-1,-1
1619,1193
906,778
93,61
1287,817
1237,943
-1,-1
409,363
137,-1
1277,986
1645,1171
1568,1207
1038,687
282,-1
407,402
1230,755
-1,-1
833,493
1356,428
1699,1198
-1,-1
637,355
1170,675
1673,1295
-1,107
918,648
173,128
315,-1
-1,-1
1098,321
1076,542
1698,1199
707,722
989,561
1809,1277
1233,863
1091,726
1141,647
934,665
-1,337
1065,830
176,147
1260,833
1010,829
1339,975
1749,1302
-1,422
-1,-1
1740,-1
1295,339
-1,505
102,78
1339,975
79,44
-1,-1
451,-1
1537,1134
279,243
585,418
389,307
118,140
1648,1092
-1,-1
524,486
154,183
380,312
1035,787
924,564
122,97
-1,-1
120,73
-1,-1
89,96
1311,-1
348,-1
1312,986
556,575
172,202
195,229
931,638
1247,670
103,123
949,691
1427,1035
785,796
-1,-1
1070,782
1375,996
-1,772
1759,1253
-1,-1
669,621
674,661
1165,944
734,-1
505,628
644,384
550,413
-1,-1
1085,681
1506,1143
1067,743
1402,1025
596,432
735,469
-1,1172
215,80
530,492
1295,339
752,708
1334,1008
1257,896
246,102
1524,1121
1689,1283
445,420
778,699
1387,-1
1236,942
1125,926
1245,792
916,721
1372,1023
-1,-1
-1,-1
660,303
1770,1307
1208,838
1414,1065
-1,18
679,-1
859,702
-1,-1
1052,891
166,150
725,-1
749,441
1428,1077
1275,793
25,11
410,364
949,691
-1,-1
-1,-1
1357,1018
1813,1218
-1,1144
834,546
-1,-1
-1,-1
392,308
-1,-1
1622,1206
-1,-1
1558,1062
1070,782
701,736
1394,-1
1376,578
1189,929
-1,-1
554,633
1629,1101
1342,950
1786,-1
-1,922
836,773
66,38
1068,813
482,437
548,513
-1,-1
116,50
1553,1064
-1,-1
-1,-1
956,867
1599,1050
218,114
-1,1063
1376,578
731,662
357,270
1107,536
1352,508
-1,419
521,457
333,277
205,148
184,189
-1,-1
492,422
220,116
1334,1010
204,204
584,592
1772,1275
8,8
24,9
1672,1267
1745,-1
127,127
-1,-1
-1,-1
3,-1
-1,691
1620,1156
1777,1279
552,590
865,799
1542,1194
678,608
320,200
-1,7
-1,-1
1779,1228
739,343
1587,-1
34,12
929,712
1341,977
1783,1290
776,809
447,346
163,153
275,101
548,513
-1,-1
361,284
895,785
307,258
1272,931
-1,-1
-1,-1
836,773
1793,1200
-1,999
-1,-1
1357,1018
847,775
495,387
-1,-1
1699,1198
664,618
337,240
-1,-1
705,626
1457,1069
1579,1127
1246,791
875,683
382,311
-1,-1
461,320
530,492
1556,1187
1566,-1
1541,1105
-1,-1
409,363
1419,1027
1480,1142
1185,990
-1,-1
1401,1022
1088,757
1498,1163
779,701
1778,1280
-1,-1
858,698
-1,-1
1558,1062
1061,895
119,57
795,495
-1,1121
571,630
900,693
1191,-1
238,169
452,446
644,384
1185,990
1024,646
42,6
1310,783
153,112
1017,521
1677,1185
664,618
89,96
1403,1026
1029,566
1321,998
455,375
526,-1
1206,983
217,211
20,25
1660,-1
-1,-1
393,309
1156,939
268,76
1414,1065
1618,1192
1461,1108
638,498
-1,734
428,392
1736,1203
-1,-1
-1,856
1124,771
428,392
1660,1303
785,796
1543,1195
1333,385
607,731
421,350
1093,-1
172,202
1272,930
-1,-1
1659,1250
1372,1023
-1,-1
588,369
477,359
1455,1096
635,555
-1,255
1215,908
1439,1072
1032,-1
1749,-1
108,-1
78,45
1397,1088
1744,-1
297,247
1572,1227
1643,1190
-1,316
354,201
799,637
-1,-1
1240,911
1579,1127
-1,360
-1,589
-1,755
188,172
517,405
452,446
-1,-1
1721,1300
948,913
-1,-1
504,489
1423,1024
-1,-1
1459,1070
516,423
997,-1
92,-1
105,105
-1,-1
-1,-1
-1,-1
355,287
1770,1307
359,278
1031,789
-1,-1
357,271
70,-1
1206,983
570,531
710,497
1338,953
-1,1037
321,260
858,698
763,772
1643,1190
1132,960
1393,1054
1120,963
801,512
-1,283
-1,-1
1093,694
-1,-1
742,652
1480,1142
1563,1176
140,155
-1,-1
1512,1042
461,320
898,881
410,364
1218,980
1583,1205
455,375
676,530
853,627
1575,1110
614,519
5,4
-1,-1
1016,845
910,417
-1,-1
1321,998
1134,814
1253,924
1591,1055
880,682
38,-1
-1,933
503,463
378,300
985,790
461,320
1707,1289
770,738
403,336
1029,566
1707,1289
1232,914
606,-1
1635,1157
744,571
275,-1
1368,987
327,-1
1722,1301
170,111
-1,2
496,388
-1,-1
-1,-1
227,223
1060,779
827,795
68,83
1763,1305
405,-1
1292,957
-1,100
1458,1113
1164,870
804,547
1585,1229
1470,1084
1300,932
1156,939
1127,-1
-1,-1
1026,569
356,286
-1,-1
1599,1050
1101,574
339,251
1439,1072
43,43
-1,-1
1381,507
734,-1
-1,-1
971,843
1365,480
956,867
-1,-1
322,265
-1,-1
-1,-1
1264,860
69,84
1170,675
130,110
-1,1156
1485,1152
-1,-1
629,-1
373,299
-1,-1
341,272
-1,-1
1669,1245
950,690
566,434
873,719
538,688
641,709
-1,-1
1319,949
1772,1275
389,307
1377,579
188,172
1516,1150
712,511
299,245
788,723
459,414
493,440
1625,1063
1667,1075
1537,1134
-1,-1
1485,1152
-1,772
1603,1221
349,282
253,31
-1,1106
249,122
575,426
230,246
888,539
1151,786
685,523
-1,-1
1082,823
519,438
847,775
68,83
956,867
626,532
1043,692
910,417
-1,-1
1131,323
-1,1125
1769,1306
456,356
-1,-1
1803,1224
283,230
-1,-1
356,286
401,327
1351,991
-1,317
1197,563
479,487
-1,-1
24,9
-1,-1
421,350
1704,1196
-1,-1
710,497
1470,1084
14,24
1808,1226
1796,-1
164,187
-1,276
399,425
-1,-1
966,806
53,41
-1,-1
306,263
-1,-1
934,665
701,736
867,821
-1,1210
1710,-1
1724,1282
543,503
-1,542
-1,-1
1376,578
-1,-1
470,345
-1,-1
630,-1
-1,647
1382,-1
307,258
450,403
714,747
1182,972
1455,1096
245,213
547,485
731,662
560,-1
832,514
93,61
-1,-1
1111,667
1284,-1
-1,-1
985,790
1658,1249
896,784
1079,876
1583,1205
280,212
1357,1018
394,318
113,106
323,217
566,434
1508,1201
340,273
208,152
1722,1301
141,-1
423,360
1148,-1
-1,837
-1,-1
1689,1283
-1,-1
339,239
291,238
1164,-1
722,506
1132,960
1070,782
-1,-1
875,683
1812,1219
1005,886
504,490
1528,1100
979,517
890,535
-1,-1
285,226
-1,-1
-1,560
1424,1024
-1,7
899,892
-1,721
479,487
-1,-1
-1,448
621,629
390,317
591,728
696,448
1484,1081
579,448
