ref,boot
1798,1276
-1,-1
779,500
979,720
813,738
1752,1227
-1,1261
827,604
1664,1172
-1,-1
574,516
254,227
1399,-1
750,-1
76,53
955,-1
824,779
271,221
445,367
1154,853
1370,961
342,255
89,81
504,407
1011,694
901,429
994,411
1584,1165
1069,697
-1,-1
1689,1183
670,540
1110,611
66,49
1736,1279
-1,1029
1179,967
676,660
1070,874
303,237
-1,-1
1459,1077
985,536
326,254
1402,1013
1715,1206
893,613
1524,1081
177,136
152,93
978,718
-1,473
1338,941
258,163
105,40
17,22
1484,1020
16,21
-1,-1
51,63
1632,1239
1153,852
447,343
1069,697
1253,370
985,536
767,735
890,534
1013,-1
-1,-1
972,839
915,788
-1,-1
1017,867
-1,1045
1324,979
-1,1061
15,19
1567,1129
1494,1157
-1,38
1144,850
1013,772
157,106
339,245
1146,792
261,162
836,863
398,315
655,523
-1,-1
-1,-1
787,716
473,442
399,293
160,148
883,569
1553,1119
-1,-1
-1,-1
1142,603
224,206
-1,-1
299,224
-1,585
1757,1166
1601,1078
694,-1
811,672
-1,163
1689,1183
500,474
-1,-1
-1,-1
-1,-1
720,705
-1,-1
1768,1271
1126,485
1118,880
428,-1
307,186
-1,-1
221,188
704,658
1495,1019
-1,-1
11,-1
12,13
1228,925
-1,-1
1103,758
808,563
1568,1100
1479,1253
-1,-1
-1,1072
97,23
428,507
689,592
1109,610
205,168
-1,-1
1197,848
1448,1089
-1,-1
652,488
1702,-1
-1,-1
986,-1
1631,1239
763,822
-1,-1
410,387
1552,1120
1157,983
-1,3
290,208
1699,1246
-1,-1
1178,882
1549,1159
624,663
-1,111
1619,1148
368,275
1463,1033
882,601
-1,-1
-1,830
1803,1294
1228,925
1206,918
219,174
579,514
519,350
1427,1037
-1,1264
240,228
369,270
381,279
-1,-1
-1,-1
1745,1163
63,26
476,344
1701,1273
-1,163
1523,1096
769,728
126,58
1434,-1
1013,813
1626,1169
197,-1
654,598
190,149
292,213
162,110
1499,1237
1744,1104
528,445
290,208
937,412
376,276
870,785
1600,1092
1188,712
1480,1254
464,331
940,892
1289,768
-1,186
1026,789
220,187
-1,-1
-1,-1
-1,-1
1006,811
67,82
147,99
-1,1291
-1,-1
899,741
-1,26
333,233
733,730
915,788
1571,1061
1459,1077
785,807
1454,1134
264,164
1448,1089
637,470
599,700
1060,771
600,701
127,58
520,440
784,715
1550,1190
1152,-1
702,652
-1,-1
89,81
1716,1265
-1,-1
-1,54
69,84
1398,-1
1521,1054
587,310
1541,1066
803,586
901,429
246,196
1020,755
1565,1065
-1,-1
-1,-1
903,455
818,729
1434,-1
591,480
1433,1058
1099,290
537,424
574,516
664,432
1720,1218
1782,1272
1264,843
1621,1275
1386,975
340,251
1088,833
379,273
599,700
1686,1181
338,-1
445,367
1764,1259
1553,1120
-1,-1
-1,280
435,296
-1,-1
251,198
664,432
1480,1254
1156,931
173,108
487,306
416,301
-1,-1
1600,1093
468,389
-1,736
1286,928
1759,1284
-1,-1
495,544
1739,1233
949,426
1167,698
848,394
1237,750
-1,-1
59,42
1644,1187
1054,481
428,507
445,367
287,118
53,72
427,404
519,-1
928,494
94,67
1190,-1
1498,1238
725,-1
-1,562
954,452
1189,713
214,129
703,542
1235,800
1149,831
1411,1032
676,660
287,118
-1,-1
890,534
539,449
899,741
279,222
432,348
753,549
643,393
1423,1015
763,822
-1,-1
-1,-1
826,529
-1,272
1711,1176
-1,-1
1068,696
1186,518
49,-1
-1,-1
47,50
829,532
1029,766
1549,1159
334,201
133,16
291,199
868,-1
328,247
684,549
-1,488
1652,1177
611,465
325,201
1554,1073
1800,1291
-1,-1
1771,1266
785,807
495,544
918,602
1187,518
-1,-1
399,293
1466,1121
1532,1083
654,598
1036,667
681,-1
1627,1261
-1,-1
652,488
1460,1112
-1,-1
208,38
922,719
1637,1275
973,875
1526,1043
360,263
1616,1113
429,377
1238,-1
-1,16
856,655
1058,803
1725,1204
-1,-1
712,471
1727,1029
386,280
1109,610
407,312
930,650
-1,-1
1283,955
-1,-1
1471,1152
-1,92
616,505
671,541
875,528
-1,-1
397,285
1028,765
309,210
1086,644
1214,747
1278,636
342,255
211,142
-1,859
1233,517
1374,968
248,91
-1,852
31,33
585,385
-1,-1
-1,-1
-1,-1
465,303
934,538
1199,900
1027,790
1032,609
1480,1254
622,555
359,226
1528,1140
1348,883
929,573
1317,988
-1,-1
-1,1069
1293,844
430,378
650,495
676,660
1105,873
864,897
-1,1031
-1,549
181,114
369,270
654,598
837,631
971,773
521,503
1133,854
150,116
1201,902
93,77
528,445
757,732
832,615
971,773
835,623
1714,1205
480,380
-1,-1
1338,941
-1,-1
1212,371
702,652
-1,405
163,123
747,570
650,495
1623,1110
-1,137
272,119
1332,-1
-1,-1
1178,882
270,128
1442,1025
131,135
740,-1
156,-1
1696,1164
-1,-1
951,890
1466,1121
-1,1088
-1,-1
1079,780
1647,1168
1171,643
461,300
1096,929
1279,637
157,106
674,542
1694,1242
569,402
871,786
765,-1
1814,1286
1568,1100
156,139
135,54
1453,1133
1229,925
896,511
599,700
303,237
386,280
1061,856
-1,-1
771,467
-1,-1
265,-1
567,582
346,259
535,383
404,337
246,196
-1,-1
1666,1228
1290,769
785,784
1068,696
952,736
1671,1196
-1,-1
598,579
1320,1007
606,-1
1249,938
763,822
-1,-1
566,581
710,373
1157,983
449,295
910,845
425,347
1623,1110
420,301
452,625
732,730
376,276
1094,824
545,438
887,646
977,871
1319,865
1484,1020
720,705
997,841
800,471
1510,-1
1190,997
-1,-1
-1,-1
283,166
-1,-1
771,467
760,563
-1,-1
1057,484
733,730
854,727
167,95
150,116
195,171
8,9
399,293
316,-1
1327,483
-1,108
502,446
-1,-1
1171,643
309,210
40,56
692,737
1265,594
102,104
332,234
929,573
80,18
1689,1183
1450,1012
891,535
677,677
127,58
852,522
592,435
1641,1214
1782,1272
187,165
1124,915
1797,1276
717,327
1749,1225
-1,-1
1689,1183
1812,1299
-1,431
1753,1241
1419,1040
544,437
-1,328
664,432
1215,748
-1,1043
-1,1053
1480,1254
290,208
826,529
1154,853
-1,549
141,-1
572,584
319,235
-1,1199
928,494
-1,-1
-1,-1
1134,910
-1,-1
821,500
34,57
575,448
-1,-1
682,384
200,27
927,572
231,160
812,738
910,845
214,129
1599,1092
16,21
586,-1
1293,844
102,104
-1,239
1121,-1
264,164
974,699
960,987
1812,1300
1312,634
368,274
1064,693
604,704
-1,-1
315,219
1511,1048
74,11
877,567
1725,1204
-1,-1
1334,1005
248,91
-1,-1
1659,1109
1400,1038
152,93
232,160
1457,1057
919,763
1776,-1
138,79
1473,1057
1689,1183
867,828
-1,393
-1,457
1384,-1
1437,1142
597,-1
163,123
68,83
1609,1143
631,479
1651,1063
240,228
-1,644
935,726
485,356
368,274
817,654
830,-1
1121,-1
798,462
1608,1143
348,204
1028,765
88,96
1197,848
442,319
412,363
1060,771
1161,638
1298,1003
255,147
272,119
221,188
-1,1227
1544,-1
-1,917
1796,1192
441,369
96,17
1812,1299
177,136
1206,918
1056,484
519,351
-1,1060
808,563
881,600
344,258
-1,1136
41,36
-1,201
1415,1024
1342,894
23,5
-1,93
-1,-1
138,79
279,222
253,8
607,562
679,524
1672,1281
1651,1063
445,367
74,11
375,272
1129,289
1391,753
712,471
-1,-1
-1,886
535,383
635,501
-1,-1
1175,872
631,479
-1,-1
1029,766
1308,912
331,244
1543,1223
1235,800
330,253
-1,-1
1497,1213
-1,410
1663,1172
-1,974
284,223
1126,485
1004,834
-1,759
225,207
1813,1286
1288,830
47,-1
392,283
1713,1258
1299,858
-1,-1
1209,937
1541,1066
1622,1179
1289,768
737,806
567,582
105,41
1380,802
89,81
1054,-1
-1,-1
858,468
-1,-1
837,631
706,641
29,5
1452,1071
570,-1
139,109
12,13
7,-1
361,264
-1,758
90,80
1637,1275
766,-1
1556,1139
592,435
495,543
748,493
865,781
1101,921
-1,-1
1058,803
-1,426
1397,-1
919,763
1538,1127
105,40
1209,937
1064,693
517,333
1181,797
-1,-1
-1,759
-1,1057
1254,799
1771,1266
1334,1005
-1,-1
416,301
693,670
646,630
1254,799
1103,758
110,87
-1,426
770,653
1599,1092
1220,-1
-1,1045
-1,862
-1,-1
1114,-1
-1,-1
-1,22
1259,759
927,572
1184,971
-1,19
767,735
951,890
109,86
1214,747
-1,-1
1484,1020
1338,941
79,60
1524,1081
284,223
490,628
227,181
341,250
1160,977
1295,372
-1,-1
713,473
578,419
552,509
1308,-1
1154,853
119,76
85,55
1497,1213
1606,1099
308,185
1374,968
303,237
1382,-1
1533,1115
-1,498
1046,879
540,313
1712,1176
1657,1042
462,-1
1674,1290
-1,-1
997,841
-1,-1
1224,886
1339,920
1140,899
1659,1109
648,589
1624,1111
671,541
931,649
777,400
1425,1056
-1,239
446,367
612,466
1744,1104
1603,1274
-1,-1
1805,1297
875,528
1542,1223
1313,825
-1,30
1778,1199
1317,988
14,4
670,540
-1,6
-1,-1
586,311
176,144
-1,-1
-1,603
1024,531
761,-1
1074,866
1181,797
503,-1
348,204
-1,1060
293,214
-1,-1
79,60
150,116
449,295
1191,993
1110,611
476,344
1675,1197
61,61
775,690
1549,1159
556,-1
-1,-1
1059,803
92,69
157,106
330,253
1693,1094
245,217
274,179
-1,1200
-1,-1
18,-1
1690,-1
926,571
331,244
357,-1
1689,1183
1770,1263
1487,1224
311,232
445,367
1690,-1
614,430
-1,-1
394,298
1351,957
388,-1
1660,1232
-1,498
1749,-1
-1,-1
935,726
211,142
-1,-1
226,180
1254,799
1046,879
861,815
367,268
645,590
1666,1228
1110,611
1295,372
1601,1078
1236,749
1037,666
901,429
1410,1028
1494,1157
698,574
342,255
1420,1055
946,878
1599,1092
195,171
521,503
-1,-1
180,176
373,248
62,26
1682,1210
-1,379
218,173
-1,-1
-1,-1
924,607
165,65
-1,-1
164,137
1325,940
1016,861
504,408
34,57
219,174
-1,471
259,211
18,-1
544,437
220,187
-1,549
-1,-1
1532,1083
-1,-1
1393,1035
-1,991
-1,-1
1444,-1
1298,1003
811,672
348,204
589,428
1453,1133
658,580
1085,717
784,715
1705,1182
20,14
94,67
774,686
-1,-1
1667,1194
-1,933
1048,950
765,817
184,-1
234,124
1583,1097
393,283
1539,1062
-1,-1
530,408
16,21
135,54
500,474
379,273
-1,1128
939,673
1540,1147
1764,1259
709,492
177,136
754,558
-1,-1
1790,1175
-1,-1
623,662
695,-1
900,746
307,186
1471,1152
491,417
-1,283
370,257
430,378
1189,713
119,76
1344,751
-1,-1
-1,-1
158,107
1065,-1
1280,859
1396,1068
1411,1032
578,419
-1,390
-1,1286
583,703
1670,1222
-1,-1
988,648
1730,1184
1790,1175
1733,1249
1269,325
366,268
1565,1065
-1,-1
1289,768
1812,1299
765,818
1672,1281
235,124
-1,-1
-1,-1
-1,412
-1,426
1076,896
1694,1242
307,186
-1,-1
499,401
742,642
459,447
1587,1130
200,27
874,527
1791,1280
215,189
-1,296
998,879
1731,1184
1700,1236
-1,-1
653,488
1310,943
-1,-1
90,80
1193,908
1094,824
1808,1292
-1,-1
283,166
474,335
424,346
1523,1096
181,114
399,293
1375,969
493,309
24,31
494,308
1757,1166
183,100
1673,1289
926,571
275,195
318,235
-1,-1
150,116
181,114
1303,711
-1,-1
284,223
1177,882
307,186
340,251
359,226
1647,1168
1349,1009
1070,874
1417,1037
1343,894
1075,895
311,231
344,258
1308,912
1302,710
340,251
-1,-1
378,262
-1,1125
-1,1227
492,417
827,604
993,549
1004,834
-1,-1
944,-1
-1,444
1325,940
634,-1
714,473
737,806
926,571
1025,531
1476,1107
339,246
685,366
285,216
284,223
1030,722
326,254
1454,1134
519,350
929,-1
394,298
1062,576
20,14
914,787
1578,1084
912,847
228,183
1560,1021
1739,1233
439,321
-1,102
1349,1009
450,-1
100,69
407,312
1474,1057
991,-1
798,462
932,-1
1393,1018
1326,940
683,471
441,368
1643,1188
-1,-1
1525,1081
1192,-1
432,348
389,291
-1,-1
661,585
-1,-1
-1,-1
107,120
1565,1065
-1,443
15,19
768,357
1066,837
845,876
1728,1029
1056,484
-1,-1
201,28
746,399
1754,1241
-1,698
710,373
-1,725
-1,-1
1030,722
874,527
1517,1052
1720,1218
1252,370
1069,697
966,835
1606,1099
457,361
826,529
671,541
269,113
1802,1293
1408,-1
1550,1190
493,309
12,13
295,215
1615,1149
82,88
1142,603
293,214
1644,1187
392,283
489,422
-1,-1
246,196
1536,1076
1173,887
1147,792
1319,865
-1,736
1459,1077
419,302
46,51
416,301
331,244
1503,1243
125,78
8,9
-1,698
-1,-1
1159,972
254,227
-1,905
1762,1269
524,550
1732,1277
1041,935
1409,1027
644,393
238,182
572,584
873,526
204,161
572,584
456,360
525,475
1640,1155
322,194
1127,-1
918,602
792,490
-1,830
1812,1300
1229,926
185,145
475,336
1426,1036
-1,-1
-1,-1
1739,1233
-1,-1
-1,823
114,133
792,490
481,381
1097,518
1746,1269
323,-1
130,125
584,622
124,79
-1,-1
1292,966
1069,697
1086,644
239,8
-1,1005
726,819
31,33
1233,517
1019,755
110,-1
-1,1263
251,198
1778,1199
1069,697
-1,-1
885,678
1814,1286
-1,1072
-1,-1
421,329
675,659
407,312
-1,-1
889,647
-1,698
367,268
1392,753
-1,-1
86,37
1323,979
302,-1
1191,993
1559,1150
1437,1142
1613,1086
1755,1252
851,676
823,816
1509,-1
-1,-1
198,97
-1,161
305,155
339,245
-1,672
-1,-1
-1,-1
1618,1064
1160,976
-1,-1
427,404
664,432
-1,5
1148,-1
1705,1182
1072,699
243,200
1647,1168
275,195
578,419
160,148
934,538
1801,1293
846,-1
785,-1
157,106
1346,991
