ref,boot
1620,1096
-1,1115
527,-1
1662,1213
591,660
1763,1176
-1,587
1600,1036
1264,971
1206,964
556,648
128,91
-1,-1
171,-1
806,899
739,665
686,696
1254,918
519,466
742,668
144,172
734,474
1316,905
1435,1094
476,325
169,198
535,383
1635,1097
1224,663
1695,1267
1017,708
398,276
1299,786
1461,1084
621,534
1460,1147
-1,1103
546,421
-1,-1
24,17
-1,19
871,550
-1,1300
221,197
-1,61
-1,236
1079,893
1049,-1
1456,1182
55,32
1339,987
-1,-1
-1,561
1502,1079
-1,-1
1586,-1
1301,788
1088,684
1194,747
-1,-1
-1,-1
-1,-1
663,-1
-1,-1
740,-1
1273,746
1246,843
308,107
1814,1280
290,137
1055,-1
1338,851
1337,851
851,800
-1,-1
226,239
1153,895
1724,1200
1261,844
865,736
126,42
-1,412
689,568
-1,-1
630,621
14,6
967,471
-1,-1
710,513
1727,1246
1544,1080
1814,1280
785,578
1099,947
1228,769
705,-1
731,418
801,451
1253,872
332,137
696,791
-1,-1
1230,817
-1,311
-1,-1
706,629
525,318
-1,-1
-1,1210
-1,-1
730,389
858,472
399,362
1724,1200
-1,-1
1204,957
631,625
-1,1236
1414,1100
1270,974
1561,1024
74,119
1381,1032
1427,1090
83,133
1756,-1
1054,793
1185,923
-1,1191
785,578
-1,-1
547,452
-1,79
1182,935
1114,412
450,409
518,-1
1795,1317
539,460
720,824
-1,-1
-1,112
711,557
-1,1191
1561,1024
1514,1207
909,601
-1,-1
1529,1253
1452,1158
1777,1311
1672,1218
83,133
1499,1263
218,183
1068,690
639,437
287,204
1271,973
-1,7
233,178
148,87
701,524
391,308
671,367
745,514
332,137
-1,168
1660,-1
1689,1144
-1,1083
1742,1310
1667,1123
1782,1301
227,240
-1,-1
809,731
1558,1250
1653,1259
1096,880
692,619
260,228
-1,-1
-1,-1
1209,891
1450,1095
1584,-1
96,176
1268,982
756,302
896,848
293,259
339,233
669,468
1577,1230
3,4
-1,864
-1,-1
285,135
793,671
-1,-1
1539,1016
8,11
-1,-1
252,48
1694,1268
373,283
957,886
776,-1
390,307
83,133
374,289
-1,-1
-1,-1
1529,-1
1570,1103
-1,-1
832,491
767,760
683,424
348,-1
470,316
1163,598
386,267
177,205
-1,-1
-1,-1
1208,891
-1,-1
1733,1335
8,11
1393,1071
817,415
1229,770
204,112
977,806
65,38
342,151
211,128
956,-1
588,617
1150,846
478,-1
20,50
1476,1073
238,140
-1,-1
285,135
