ref,boot
1803,1328
-1,-1
862,670
1458,1104
675,833
1657,1158
126,94
203,221
678,451
874,662
1258,954
1487,1176
478,556
1611,-1
1567,1115
991,743
467,427
-1,-1
326,198
293,267
428,423
-1,-1
340,260
8,35
1338,1002
1396,1084
403,394
1523,1094
267,182
-1,-1
321,257
1078,731
945,548
705,803
1778,1294
-1,-1
-1,317
1739,1219
959,625
971,918
1572,1167
1027,498
459,445
1728,1032
-1,1159
92,69
-1,980
-1,830
553,646
1602,1224
-1,-1
1016,975
845,673
861,875
1648,1298
-1,372
-1,263
390,392
290,178
1381,845
-1,-1
179,223
1458,1104
1042,629
552,645
1727,1032
452,541
-1,325
340,261
-1,-1
1549,1036
744,533
179,223
530,470
552,645
843,586
-1,-1
890,746
-1,12
-1,-1
282,255
-1,-1
1528,1035
401,301
1415,1058
154,127
394,296
268,158
279,138
-1,-1
137,-1
-1,-1
1442,1040
139,82
-1,118
293,267
838,419
1350,996
-1,-1
1290,977
1759,1324
-1,-1
979,572
1108,526
-1,-1
1030,606
-1,-1
1291,785
-1,-1
154,127
211,114
566,774
708,501
517,516
162,122
1620,1141
1719,1107
1005,937
-1,-1
525,440
1240,990
-1,934
62,12
437,369
1761,1217
388,283
1209,680
1088,776
435,290
2,-1
1776,1217
1341,-1
213,209
1492,1066
615,492
1146,527
-1,-1
1270,959
-1,-1
1576,1121
1246,655
21,11
503,-1
1393,1054
1616,1207
961,886
977,694
1053,402
163,164
81,100
-1,350
-1,-1
90,83
1796,1308
402,362
-1,1081
729,848
279,138
596,519
1739,1219
589,342
619,688
1503,1111
573,601
-1,-1
737,-1
669,768
1737,-1
1739,1219
1432,-1
-1,-1
-1,-1
868,666
126,95
1380,884
1496,1059
847,681
-1,-1
564,421
1160,753
1070,921
1688,1143
714,773
-1,1002
-1,1132
8,34
-1,-1
915,663
1149,718
-1,524
1274,954
-1,-1
-1,1111
1207,511
1601,1153
138,167
74,73
-1,179
406,357
84,90
1562,1231
1063,949
-1,574
376,307
929,720
818,829
410,361
907,830
778,899
600,687
-1,1067
307,247
1224,697
567,775
-1,-1
1388,867
972,874
372,280
-1,-1
1054,737
459,445
380,313
1693,1248
-1,-1
1444,1134
1600,1171
1133,894
1809,1307
-1,-1
709,500
765,370
674,801
-1,512
1282,1001
120,45
922,497
1155,513
-1,-1
-1,309
934,523
-1,1032
39,74
-1,-1
1698,1312
785,580
850,847
475,382
861,875
-1,-1
949,430
1573,-1
543,540
-1,396
928,-1
494,560
1148,-1
678,451
-1,-1
1146,527
36,77
445,412
1348,1010
-1,-1
1144,608
-1,-1
1752,1330
1603,1177
131,204
939,372
715,348
977,694
826,779
256,230
-1,-1
761,677
-1,44
-1,-1
74,73
747,449
-1,263
1501,1103
307,247
1583,1114
330,215
101,173
545,435
676,834
757,263
893,653
813,702
-1,-1
954,755
274,236
337,264
396,305
1306,957
1190,925
1005,937
339,278
350,214
811,587
732,872
1028,571
521,552
1518,1214
-1,-1
1124,402
376,307
1739,1219
-1,171
-1,1076
1602,1224
414,-1
436,368
-1,-1
513,399
792,578
-1,-1
1706,-1
-1,430
1121,929
-1,-1
1303,970
-1,625
-1,-1
1063,949
220,200
1137,813
253,13
-1,-1
-1,1252
902,757
554,714
-1,-1
182,97
-1,811
893,653
1160,753
1535,1210
-1,-1
-1,161
1065,914
491,478
-1,-1
5,-1
1157,927
1414,1049
921,497
-1,-1
-1,-1
1615,-1
600,687
1414,1049
-1,-1
300,256
136,131
207,224
359,285
433,-1
-1,-1
826,779
1736,1314
1100,389
1208,679
-1,-1
397,306
1302,969
-1,-1
340,-1
1811,1289
1693,1248
-1,-1
-1,-1
315,265
-1,1037
1335,1023
-1,-1
-1,-1
242,216
1552,1102
411,380
173,104
852,888
201,8
1699,1311
1660,1197
1266,864
153,58
-1,488
1239,817
357,213
700,763
719,630
-1,-1
249,251
1687,1143
818,829
311,219
236,242
1061,936
-1,-1
-1,-1
640,476
74,73
-1,-1
-1,130
-1,1252
1484,1061
-1,1162
537,417
1533,1193
-1,-1
28,36
692,701
-1,-1
1198,528
1699,1311
66,39
1404,1025
1630,1200
1790,1306
203,221
-1,-1
552,645
1476,1154
221,201
-1,32
221,201
47,60
495,595
1747,1250
-1,524
-1,-1
1507,1028
-1,785
139,82
1095,584
686,347
-1,535
757,263
1352,825
423,405
1209,680
155,126
811,587
1427,1120
-1,1269
-1,1088
402,362
1787,1315
64,30
-1,211
1719,1107
1648,1298
276,145
664,826
1795,-1
1478,1142
342,233
1790,-1
370,304
457,465
242,216
78,40
176,18
561,636
218,191
1685,1226
327,-1
509,418
-1,705
303,268
41,28
285,156
-1,-1
428,423
-1,1270
547,-1
-1,-1
1450,1124
1770,1274
-1,-1
1369,973
-1,-1
659,468
889,425
1512,1123
648,672
1597,1232
287,241
450,-1
1510,1137
1658,1132
1550,1126
-1,-1
1283,988
286,155
78,40
1743,1267
92,79
498,438
74,73
-1,105
516,479
348,282
-1,-1
884,611
670,797
436,368
58,46
633,760
362,232
1752,1330
1460,-1
1277,932
-1,-1
-1,-1
982,568
93,55
-1,-1
459,445
311,219
-1,-1
1246,655
1476,1154
1533,1192
1479,1109
1712,1223
593,485
528,685
1396,1084
1270,959
-1,1265
246,259
-1,-1
-1,-1
929,-1
723,403
1623,1117
1194,952
763,675
-1,1039
-1,-1
1366,634
1169,857
1649,1302
1634,1173
-1,-1
1812,1290
1182,961
1124,402
646,-1
711,495
453,-1
668,765
180,110
1134,940
312,218
1561,1092
675,833
1255,865
1453,1230
1784,1316
232,176
412,424
983,473
1102,855
1263,943
1497,-1
1002,509
-1,263
1199,474
-1,1138
743,728
195,-1
608,431
1312,995
415,295
-1,-1
-1,-1
1491,1086
1453,1229
1461,1068
-1,-1
1481,1063
-1,1250
1005,937
449,-1
1044,459
461,298
919,749
-1,-1
1747,1250
-1,-1
553,646
1545,1144
-1,-1
738,537
206,26
1012,915
1125,821
1215,863
411,380
75,29
-1,632
445,412
248,250
-1,1162
1155,513
1530,1051
1018,-1
102,183
959,625
1578,1039
886,565
505,558
1185,819
1441,1101
1778,1294
685,333
1567,1115
28,36
-1,-1
379,308
-1,-1
97,134
808,-1
1577,1039
1407,1041
1694,1278
1701,1277
459,445
236,-1
1334,-1
-1,699
746,530
1265,883
1076,751
394,296
1154,651
808,458
1429,1032
808,458
508,299
341,245
425,422
493,-1
1534,1209
452,583
512,400
-1,214
384,315
1782,1277
1735,1314
-1,-1
1456,1134
618,639
250,21
756,263
840,375
1565,1130
-1,729
119,93
117,38
1557,1140
1233,931
501,-1
736,667
245,-1
976,694
669,768
285,156
647,733
-1,-1
-1,-1
-1,683
1312,995
-1,-1
922,497
584,715
966,911
1110,806
205,26
231,177
-1,-1
1551,1125
-1,804
303,268
1442,1040
1732,1325
943,590
1628,1151
67,71
1400,956
118,38
664,826
38,15
1549,1036
1374,1017
-1,1266
1536,1149
1107,526
594,488
677,505
238,42
96,133
568,600
-1,785
-1,894
1699,1311
677,505
94,54
-1,-1
944,547
367,231
806,-1
1639,1234
845,673
-1,-1
1236,841
1414,1049
376,307
1120,838
366,231
-1,631
690,354
871,534
368,252
808,-1
72,-1
1080,782
374,302
1310,991
1166,876
676,834
615,598
-1,-1
-1,1067
1144,608
282,255
273,236
8,35
308,247
687,-1
937,359
1749,1282
-1,-1
-1,-1
1024,691
-1,-1
886,565
-1,-1
-1,-1
992,709
1196,942
918,576
-1,-1
-1,-1
1238,816
114,109
-1,-1
-1,-1
725,-1
1289,978
546,637
-1,-1
1706,1263
711,495
1297,966
538,-1
65,48
-1,1066
1705,1235
830,525
445,412
115,111
467,427
747,449
1246,655
527,684
1725,1288
1283,988
208,224
145,206
1180,545
891,747
631,429
-1,-1
1510,1137
1632,1042
-1,-1
637,486
1154,651
1395,1078
57,52
495,595
224,124
-1,263
699,762
1567,1115
541,538
1540,-1
963,891
212,-1
1805,1321
1712,1223
1174,723
1565,1130
-1,-1
910,622
650,767
-1,508
1181,-1
139,82
1705,1235
1116,629
1483,965
890,746
906,849
961,-1
-1,-1
775,770
1237,841
1287,879
-1,508
1338,1002
-1,-1
767,507
55,47
1635,1174
443,316
-1,-1
-1,-1
-1,-1
1385,999
1814,1275
623,643
1081,695
473,467
532,-1
864,730
452,541
1289,978
971,918
184,140
-1,-1
476,391
107,172
92,79
230,157
-1,643
852,888
1325,1020
-1,-1
-1,-1
845,673
832,603
1109,807
1041,678
998,704
-1,-1
495,551
776,770
-1,3
786,-1
1672,1262
219,192
835,397
1396,1084
-1,724
1384,981
55,47
929,-1
870,535
1400,956
-1,-1
-1,1032
854,890
791,692
1779,1252
783,-1
109,186
-1,-1
1279,882
-1,-1
-1,-1
1162,756
828,408
165,161
1285,974
1011,916
1363,-1
1707,1227
1067,963
-1,586
1556,1140
292,266
567,-1
1515,1072
554,-1
165,161
466,317
-1,-1
1450,1124
459,445
12,-1
23,25
719,630
-1,-1
447,390
282,237
1739,1219
869,665
-1,996
-1,-1
-1,-1
339,278
619,688
470,463
889,425
227,19
1187,821
1622,-1
19,17
-1,-1
299,228
-1,-1
791,692
855,893
246,259
1529,1139
829,496
354,235
1327,1016
883,612
89,84
956,791
111,149
1753,1246
655,450
858,898
-1,697
125,-1
-1,180
900,460
200,7
1325,1019
538,453
680,499
-1,-1
1183,960
-1,998
840,375
596,519
950,430
1549,1036
618,639
785,579
1411,1050
1420,1038
1625,1195
709,500
1782,1277
20,16
1129,332
935,649
-1,-1
1176,689
870,535
1020,-1
1054,737
154,-1
-1,-1
872,664
297,248
1667,1201
1070,921
974,804
1407,1041
1499,1240
445,412
954,755
1200,474
-1,-1
1603,1177
1645,1122
1620,1141
1296,483
85,132
1693,1248
482,472
-1,-1
1808,1320
-1,-1
441,329
138,-1
299,228
1680,1254
341,245
288,-1
-1,-1
1544,1131
1485,1212
711,495
632,428
1450,1124
517,516
440,323
1777,1293
-1,850
419,318
-1,263
1600,1171
146,185
538,453
1346,980
303,268
688,589
1309,991
1758,1272
792,578
873,577
239,-1
1608,1077
535,472
1077,732
891,747
1165,986
1097,822
979,572
1047,859
1684,-1
702,796
-1,-1
1345,980
357,225
445,412
8,-1
-1,-1
95,159
14,4
1626,1099
-1,1031
531,446
933,-1
464,364
1552,1102
903,758
348,293
1680,1254
386,262
1323,987
996,432
829,496
-1,-1
504,-1
1590,1089
1054,737
762,676
1372,1037
1782,1277
-1,-1
-1,-1
788,727
381,314
592,484
1665,1182
100,80
582,550
339,278
934,523
1215,863
1520,1150
418,352
1245,656
1476,1154
1095,584
1340,-1
1163,894
1147,527
1179,786
804,-1
1518,1214
1719,1107
290,178
1620,1141
1665,1182
-1,-1
1466,1075
726,543
543,540
1029,570
126,94
994,358
665,827
339,278
-1,-1
1489,1113
1000,839
1101,815
1650,-1
-1,1039
1517,1215
-1,976
689,353
1489,1113
132,184
720,376
-1,488
690,354
1487,1176
881,532
868,666
690,354
382,310
1160,753
190,27
391,393
1408,-1
599,686
-1,951
-1,-1
903,758
770,892
-1,-1
1323,987
1239,817
375,303
1306,957
1354,-1
1216,-1
1714,1179
1660,1197
1571,1045
1172,566
959,625
479,557
1749,1282
1557,1140
1260,811
323,246
472,466
-1,-1
968,896
767,507
675,833
228,43
1174,723
330,215
1809,1307
353,235
-1,179
107,172
-1,-1
1475,1093
-1,-1
1088,776
1539,1128
686,346
-1,-1
-1,-1
463,365
1524,1097
8,34
915,663
1408,-1
-1,430
1693,1248
55,47
221,201
220,200
690,354
-1,-1
1402,1052
-1,1310
481,521
1697,1251
661,263
-1,241
-1,-1
1277,932
1086,566
139,82
-1,-1
150,146
417,-1
386,262
-1,-1
-1,-1
780,-1
147,185
1318,992
708,501
805,420
971,918
1285,974
1483,965
-1,-1
-1,-1
-1,517
132,184
927,721
1111,718
66,-1
418,352
538,452
962,891
15,10
92,79
364,-1
1178,481
1406,1005
481,522
-1,-1
304,269
254,196
227,19
34,67
723,403
1652,1186
711,495
-1,-1
223,199
1510,1137
-1,-1
1805,1321
3,1
1372,1037
-1,1075
354,235
495,595
-1,-1
339,278
1279,882
747,449
778,899
525,440
188,44
-1,-1
-1,-1
176,18
1136,942
463,365
1092,545
1578,1039
47,60
1427,1120
67,71
-1,-1
436,368
-1,414
552,645
-1,-1
709,500
679,615
871,534
221,201
-1,-1
676,834
-1,-1
1635,1174
-1,108
525,440
407,331
1660,1197
652,409
1049,838
994,358
1597,1232
495,596
597,520
1209,680
-1,-1
-1,78
575,386
-1,-1
1210,840
950,430
1291,785
509,418
519,559
1336,955
691,404
501,-1
280,91
579,542
-1,-1
-1,616
110,207
-1,700
969,897
1061,936
814,681
1667,1202
1162,756
338,279
1346,980
1395,1078
991,743
747,449
1715,1179
451,330
1233,931
1374,1017
348,293
1440,1003
982,568
223,199
805,420
190,27
407,331
587,312
1355,-1
1644,1135
1435,-1
-1,-1
791,692
503,-1
1191,881
149,147
1197,529
-1,-1
629,-1
570,640
562,439
853,889
1731,1300
-1,-1
-1,257
-1,-1
856,828
93,55
1472,1211
601,716
438,351
1450,1124
128,45
1777,1293
1159,783
677,505
1081,695
555,385
-1,1281
1129,332
785,580
397,306
1680,1254
889,425
381,314
1789,1310
1053,402
1494,982
1487,1176
432,396
-1,1097
53,59
1446,1055
1343,908
1723,-1
1192,-1
-1,85
-1,-1
165,161
-1,-1
495,551
592,484
310,179
1554,1183
-1,-1
876,659
198,148
1427,1120
1133,894
1494,982
990,744
-1,-1
638,-1
-1,741
1281,1011
791,692
705,803
978,724
1286,991
784,619
1094,514
204,143
44,33
765,370
1257,990
-1,-1
312,218
1433,1079
-1,-1
-1,1042
929,719
-1,-1
434,290
356,276
-1,345
-1,-1
1012,915
726,543
1721,1280
843,586
1283,988
1352,824
589,343
177,202
603,263
797,-1
752,741
1198,-1
-1,91
1200,474
1675,1095
152,56
667,764
974,804
333,211
147,185
1503,1111
-1,-1
1113,649
1343,908
1109,807
106,162
696,671
-1,-1
1024,691
439,322
507,299
902,757
265,243
250,21
1641,1243
773,769
1529,1139
1746,1217
-1,-1
-1,-1
793,613
1370,973
1004,909
671,798
1413,1014
1299,950
-1,-1
500,491
1692,1247
511,367
-1,-1
986,605
-1,263
218,191
1707,1227
1059,887
1403,1052
635,771
-1,235
753,710
985,809
-1,295
-1,965
407,331
1186,821
238,42
1218,924
62,12
65,48
856,828
1021,781
1564,1169
817,-1
1719,1107
836,631
178,202
-1,-1
326,198
1135,941
1624,1118
234,105
25,63
929,719
532,641
771,851
-1,-1
220,200
1312,995
192,41
1197,529
24,62
38,15
-1,402
55,47
32,49
-1,297
1119,838
1580,1236
1150,718
1529,1139
1611,1257
1640,1148
1689,1191
-1,732
220,200
713,772
1706,-1
-1,616
1814,1275
787,504
1607,1118
-1,-1
1464,1070
861,875
440,323
-1,-1
407,331
456,464
82,101
-1,-1
1768,1292
394,296
487,-1
149,147
-1,-1
732,872
1229,609
622,642
917,614
262,170
1635,1174
1504,1112
86,102
673,800
731,831
1660,1197
633,760
389,297
1008,871
236,242
1507,1028
500,491
1698,1312
32,49
1175,722
623,643
1667,1202
883,612
1262,943
-1,-1
1458,1104
473,467
1478,1142
874,662
875,661
1600,1170
1056,789
97,134
-1,-1
1734,1333
205,26
-1,-1
787,504
454,436
841,461
-1,179
1004,909
26,10
80,119
-1,-1
230,157
1131,388
201,8
1334,1006
1667,1201
-1,-1
558,593
1114,649
126,95
957,792
1747,1250
40,75
-1,1165
-1,-1
553,646
1670,1203
682,805
58,46
1247,777
384,315
-1,1181
1537,1184
553,646
372,280
1726,1296
1012,915
1034,745
1459,1127
1270,959
-1,-1
138,168
-1,-1
56,53
850,847
459,-1
643,340
1420,1038
66,39
1287,879
1742,1268
798,494
-1,330
589,342
361,238
874,662
295,154
987,605
19,17
1585,1178
1292,785
356,276
574,326
1282,1001
1067,963
-1,-1
657,742
1520,1150
242,216
354,235
-1,-1
967,912
1623,1117
1379,884
474,381
74,73
816,869
1605,1160
-1,-1
53,59
1240,990
-1,85
190,27
218,191
1041,678
