ref,boot
708,-1
258,76
202,187
644,752
-1,-1
220,151
-1,409
1368,1008
-1,-1
1186,756
1323,981
348,281
1404,430
278,231
1210,786
128,134
554,438
1380,840
1653,1191
-1,870
-1,-1
1498,1183
350,238
1430,1039
1078,529
1599,1131
-1,-1
1232,946
757,466
1472,1108
617,-1
-1,1052
285,200
-1,-1
574,594
690,868
1071,686
445,360
687,-1
1028,916
-1,-1
500,404
817,735
100,72
1660,1188
597,437
384,282
122,97
917,446
-1,571
811,694
355,254
414,298
753,624
-1,-1
1597,1233
774,736
846,-1
833,606
1192,943
1264,831
565,386
-1,-1
705,655
676,745
1394,-1
56,93
20,52
593,474
726,827
519,422
1737,1210
152,69
1215,838
1524,1103
260,99
1042,934
325,250
1609,1170
11,-1
596,436
421,348
1170,814
1375,1016
1101,574
463,333
515,410
-1,1258
958,-1
-1,-1
-1,38
1303,892
661,325
339,267
-1,377
-1,-1
-1,975
1786,-1
-1,-1
-1,-1
1302,891
492,409
590,-1
1670,1175
-1,1249
-1,-1
144,204
382,297
878,667
204,199
1058,851
-1,-1
546,452
702,710
219,170
597,437
-1,-1
758,418
-1,-1
34,106
1225,955
-1,870
128,134
1100,395
1310,931
1653,1191
707,446
1105,897
713,540
198,157
1265,701
-1,-1
607,660
1805,1281
1702,1238
15,10
218,169
1384,1007
441,376
1006,857
343,160
1525,1102
362,270
1081,557
452,488
431,356
1660,1189
1410,1029
504,483
1288,972
324,243
1513,1092
-1,-1
1689,1046
355,254
-1,-1
95,-1
1264,831
630,547
66,60
1583,1117
573,439
392,295
494,366
452,488
-1,13
1127,702
-1,411
-1,387
1254,895
-1,910
957,629
300,-1
-1,-1
495,566
1004,855
1279,727
137,64
-1,1108
742,470
1635,1084
-1,-1
-1,-1
494,366
208,13
565,386
1814,1249
362,270
214,-1
823,826
404,321
1585,1201
-1,-1
-1,-1
139,-1
-1,-1
1622,1236
-1,550
-1,-1
34,106
1621,-1
308,155
559,563
-1,-1
1584,-1
1812,1248
671,647
1650,-1
787,494
1000,960
139,66
-1,1118
-1,1161
1463,487
612,576
1227,877
153,42
1748,1245
1255,809
382,296
538,591
248,184
248,184
342,240
138,65
1640,1139
-1,1017
996,889
407,335
1717,1252
1121,978
1021,675
1674,1218
1407,1020
153,42
-1,-1
396,302
1267,808
88,55
1366,631
773,648
-1,-1
984,767
855,779
965,-1
918,636
1013,798
1470,1088
1015,800
1059,851
1446,485
894,688
144,204
1764,1268
946,725
221,152
1088,926
221,152
1759,1271
776,651
956,628
354,171
219,170
1761,1230
401,305
861,743
-1,29
1079,-1
-1,560
1522,1066
452,488
320,153
1562,1211
120,135
68,137
445,360
-1,976
971,-1
599,691
-1,-1
158,182
256,219
1226,878
1776,1208
-1,-1
1232,946
1610,1167
52,-1
1489,1082
-1,975
1316,966
-1,-1
1524,1103
1276,831
1418,1040
465,332
102,188
-1,-1
162,176
258,76
-1,181
1413,985
1150,876
1037,505
268,79
182,92
-1,-1
354,172
1354,663
1575,1101
-1,229
1798,1285
656,-1
303,279
82,143
610,575
92,-1
1407,1020
651,649
235,207
883,605
1167,746
110,141
-1,-1
1019,613
488,377
389,312
45,29
-1,-1
1317,980
505,454
489,377
250,224
356,255
-1,-1
203,187
2,2
290,122
861,743
-1,-1
919,638
465,332
519,421
372,-1
1297,388
-1,969
554,438
56,93
1041,-1
-1,863
1428,1030
642,-1
120,135
1693,1105
1,1
971,859
209,144
631,517
536,393
994,600
-1,-1
65,68
1209,969
-1,-1
483,521
-1,-1
829,764
1530,1091
683,536
376,291
-1,-1
1539,1024
791,448
79,45
1255,809
812,749
103,139
42,-1
1102,797
1558,1165
-1,-1
-1,-1
359,293
808,726
87,49
-1,295
-1,975
-1,-1
55,43
970,718
606,696
234,206
331,259
1606,1031
1574,1101
227,227
348,281
1444,1133
696,587
508,320
818,715
1790,1250
326,247
1425,1058
-1,328
1590,1196
-1,1157
732,684
1662,1114
1549,1141
1791,1239
-1,1029
1168,616
-1,729
1074,617
317,237
-1,-1
245,164
-1,-1
-1,-1
1599,-1
458,-1
931,771
1088,926
595,535
952,659
686,445
14,6
1240,929
473,368
368,276
-1,732
548,435
1605,1031
-1,156
467,442
1723,-1
139,66
913,609
1117,934
928,846
1442,1061
1244,-1
375,290
-1,-1
971,-1
-1,-1
488,377
346,256
785,611
1301,945
-1,-1
500,-1
1448,-1
649,678
494,366
1382,-1
1403,1025
949,863
98,-1
926,765
124,56
92,73
111,139
1802,1284
1703,1142
441,376
104,31
1196,906
1326,967
537,393
-1,438
340,234
1409,1029
654,-1
1069,742
-1,460
95,-1
617,585
619,568
1472,1108
-1,-1
-1,-1
387,-1
109,140
177,168
869,495
670,578
1047,961
44,104
-1,-1
753,656
504,483
439,323
550,387
1188,757
1038,522
1651,1053
65,68
1802,1284
-1,-1
701,710
253,12
789,467
451,350
662,861
1216,809
239,12
1620,1085
1442,1061
1622,1236
899,888
517,502
283,129
1190,347
916,446
874,635
1370,1010
1061,879
-1,-1
726,827
1698,-1
1698,1275
-1,1083
823,826
-1,-1
-1,-1
369,277
1295,490
180,111
-1,475
845,886
718,-1
1456,-1
466,331
262,78
1052,1004
-1,-1
1214,837
284,217
412,342
824,530
1649,1269
259,98
1792,1283
225,213
-1,515
-1,-1
-1,-1
992,657
432,440
814,569
1471,1153
4,4
519,422
1605,1031
1143,843
1061,879
777,-1
1268,396
571,507
648,545
1600,-1
1005,856
864,677
812,749
65,68
1306,-1
-1,-1
-1,-1
1246,964
1061,879
369,277
272,209
1647,1242
37,-1
1086,790
729,775
1652,1122
-1,-1
55,43
-1,156
1171,790
1683,1123
-1,328
467,442
618,585
27,10
1338,984
-1,-1
330,233
1074,617
1459,1069
603,383
1498,1183
-1,582
13,46
1558,1165
316,230
695,586
1677,1255
-1,249
-1,-1
635,581
-1,-1
1726,1087
604,383
775,651
150,41
538,591
-1,425
1558,1165
1139,497
1005,856
1469,1157
1122,987
-1,1083
29,38
-1,1043
1377,839
358,285
944,937
-1,-1
1088,926
1411,441
1196,906
-1,-1
1165,927
-1,831
1647,1242
1449,-1
1352,813
1043,870
697,588
1635,1084
-1,957
1152,925
55,43
1282,956
1199,921
-1,-1
729,775
-1,-1
256,219
996,889
1806,1257
1028,917
496,476
-1,564
483,521
188,179
919,638
920,638
1499,1184
-1,-1
205,26
66,60
895,689
1304,914
-1,-1
1677,1255
499,353
-1,446
264,-1
1319,962
-1,-1
895,689
1240,929
278,231
357,262
830,769
208,13
768,548
1187,756
733,685
1,1
938,804
1256,413
635,581
-1,-1
105,30
794,-1
-1,539
42,-1
145,205
757,466
1376,788
312,163
-1,340
986,733
-1,-1
1624,1023
897,721
1272,882
558,562
-1,998
676,745
1666,1197
1013,798
392,295
77,18
450,463
1008,682
1307,977
335,244
-1,-1
-1,-1
681,622
596,436
1670,1175
538,591
808,726
1454,1090
1016,885
-1,627
342,240
700,-1
-1,-1
505,454
627,414
519,422
543,459
408,334
627,414
1401,1038
681,621
665,734
229,100
-1,643
209,144
899,888
119,95
1798,1285
1113,773
1533,1136
543,459
954,700
1424,1041
906,780
81,142
1493,1064
1057,755
133,35
468,-1
1298,388
1565,1045
815,-1
67,125
1512,1111
1565,1045
-1,-1
-1,18
-1,-1
150,41
-1,-1
1120,959
968,781
707,446
378,272
1727,1017
896,-1
260,99
1355,664
1254,895
602,480
1268,396
1751,1240
742,470
-1,122
1191,-1
-1,-1
633,-1
1743,1168
1287,-1
-1,-1
733,685
1749,1129
1391,729
90,54
342,240
-1,-1
805,785
1196,906
1611,1166
785,611
-1,1017
-1,-1
1149,875
840,833
1212,699
790,448
1202,940
597,437
461,310
177,168
317,237
68,137
1085,761
277,58
1243,842
176,19
1383,-1
1445,1070
1035,903
259,98
-1,-1
821,579
483,521
1757,1272
205,26
1600,1047
1159,1001
1359,1012
1660,1189
696,587
496,476
646,518
343,160
1369,1010
1676,1118
364,160
1560,1056
1362,996
286,194
1491,510
1812,1248
88,55
1735,1259
796,671
1700,1260
888,-1
-1,381
674,-1
429,370
1500,-1
597,437
396,302
-1,976
238,63
1094,948
-1,-1
194,111
-1,112
1153,795
-1,-1
262,78
114,77
1721,1237
900,870
1110,900
167,117
735,499
225,213
1141,762
991,848
14,6
1414,1059
132,189
8,9
381,288
979,789
72,47
1667,1125
1612,1223
495,565
959,509
-1,-1
517,502
1440,1076
609,464
282,248
477,-1
955,595
198,157
1257,930
-1,-1
-1,-1
871,492
903,596
1548,1141
1462,457
705,655
382,-1
-1,-1
-1,-1
614,399
528,455
-1,369
965,-1
283,129
967,680
430,356
1679,1159
1504,1083
675,719
-1,1027
1764,1268
1313,894
114,77
538,590
1436,486
1591,1164
-1,-1
713,540
126,148
705,655
-1,-1
1091,522
941,913
-1,-1
445,360
674,564
149,40
240,121
726,827
-1,-1
856,619
1242,841
250,224
293,264
-1,919
1106,898
798,707
-1,-1
377,-1
359,294
-1,580
1520,-1
245,164
232,191
1576,1093
810,694
424,344
1754,1206
886,640
1218,346
1107,953
1021,675
1070,860
1661,1115
438,378
959,509
1222,908
205,26
1193,944
1233,873
-1,177
1708,1214
229,100
-1,-1
660,325
1562,1194
445,360
1364,1005
-1,724
748,672
1376,788
1153,795
386,292
678,432
-1,-1
1694,1192
930,772
384,282
1334,462
1193,944
1287,971
-1,-1
1110,901
872,608
169,127
1109,845
863,471
1093,-1
1660,-1
1797,1286
203,187
1411,441
-1,-1
321,196
1249,965
1738,1207
306,228
-1,174
-1,-1
1510,1100
269,112
432,440
1450,1094
497,-1
-1,-1
1254,895
1643,1254
348,281
10,10
493,-1
248,184
1270,316
593,474
919,638
692,748
31,87
-1,-1
-1,-1
907,681
428,357
971,859
746,555
1420,428
701,710
228,50
241,174
727,589
967,680
1302,891
-1,1095
786,-1
1516,-1
-1,316
1651,1053
1087,874
534,369
935,674
-1,1280
-1,-1
1471,1153
664,777
321,196
889,820
1599,-1
1054,753
67,125
1335,461
1451,1099
287,220
-1,-1
1342,1002
184,218
-1,-1
1764,1268
1641,1187
-1,388
392,295
-1,-1
1076,558
273,241
650,678
-1,836
1439,1077
378,272
507,319
55,43
243,-1
457,352
8,9
787,494
-1,-1
-1,958
1079,613
12,8
1414,1060
274,242
646,518
436,362
1342,1002
525,478
474,340
-1,-1
1781,1250
596,436
1746,1231
487,391
1187,756
876,704
1431,1039
1435,1072
1101,574
847,569
564,385
81,142
1137,615
1035,903
184,218
907,681
512,379
971,858
994,600
-1,-1
682,539
759,-1
1088,926
-1,-1
161,124
1013,798
1484,1034
86,48
3,-1
59,59
838,807
41,15
486,380
758,418
604,383
1714,1037
189,201
-1,1278
219,170
-1,39
-1,1162
-1,-1
1296,491
195,146
-1,-1
1586,-1
-1,-1
962,854
1739,1177
1301,945
366,269
1137,615
339,267
-1,-1
705,655
147,-1
971,-1
1245,963
542,513
192,203
514,512
690,868
272,209
1562,1211
938,804
-1,1097
1470,1088
96,88
204,198
-1,-1
1583,1117
572,506
275,90
1521,1019
-1,-1
870,493
190,27
690,867
732,684
1401,1038
-1,-1
-1,-1
619,568
196,223
-1,-1
-1,-1
-1,-1
785,610
1273,825
-1,-1
-1,147
802,633
-1,336
1616,1185
955,595
1419,1033
1065,-1
764,-1
1618,1051
738,527
1516,1212
1667,1125
287,220
255,58
851,776
1636,1204
340,234
140,70
1487,1144
1151,924
-1,686
-1,1031
719,829
535,369
1715,1037
1185,-1
-1,444
241,174
-1,-1
-1,-1
1040,801
875,602
692,748
24,85
1370,1010
1281,825
1314,894
55,43
1506,1143
755,465
90,54
771,713
1475,1107
1485,1108
1110,901
1090,522
-1,-1
591,519
1342,1002
221,152
1506,1143
1544,1119
-1,-1
-1,-1
-1,1101
1729,1169
285,200
1565,1045
1370,1010
1374,1015
986,733
1459,1069
1443,1071
645,593
-1,-1
1260,573
922,816
1590,1196
836,912
1186,756
936,623
1627,1270
1118,910
1491,510
910,500
-1,466
247,208
1537,1150
238,63
294,214
-1,-1
619,568
-1,-1
826,668
1713,1225
1484,1034
181,67
1777,1290
-1,-1
-1,665
226,226
1435,1072
-1,418
476,341
66,60
428,357
1612,1223
281,263
-1,-1
1437,1078
723,835
457,352
1484,1034
1412,1036
131,211
-1,-1
1296,491
1069,742
-1,830
1247,952
1315,549
424,344
246,208
226,226
686,445
20,52
1636,1204
596,-1
776,651
619,568
795,670
1596,1251
-1,-1
1767,1221
874,635
-1,-1
158,182
928,-1
856,619
328,274
761,724
1415,1048
624,583
1600,1047
551,543
1157,986
499,353
-1,-1
-1,-1
1681,-1
-1,-1
15,10
1095,1003
238,63
218,169
-1,-1
1360,1011
447,339
1774,1264
720,750
-1,659
603,383
-1,-1
1694,1192
-1,-1
1524,1103
1686,1216
1787,1284
1061,879
876,703
228,50
826,668
-1,-1
-1,706
-1,397
1046,695
245,164
-1,-1
1205,933
1606,1031
-1,994
1176,951
-1,-1
-1,-1
344,251
1726,1087
-1,-1
1112,850
870,493
151,57
-1,-1
62,29
428,357
-1,995
407,335
1583,1118
17,22
291,221
153,42
79,45
1782,1247
155,83
522,401
-1,1209
996,889
791,448
1691,1178
-1,1017
1704,1142
-1,-1
-1,-1
-1,-1
254,120
-1,501
-1,-1
546,452
993,623
272,209
112,138
-1,-1
591,519
235,207
155,83
547,403
781,687
743,468
-1,-1
-1,-1
1172,790
-1,387
175,181
1199,921
1324,981
-1,1067
660,325
-1,-1
785,-1
1674,1218
426,372
-1,-1
1132,-1
1224,501
53,25
295,215
552,543
-1,-1
62,29
273,241
459,-1
55,43
1080,676
1189,758
745,555
680,-1
1037,505
-1,-1
-1,-1
604,383
-1,-1
1338,984
1567,1202
-1,726
574,594
77,18
-1,-1
-1,841
380,287
-1,-1
957,629
410,374
1758,1272
598,424
487,391
739,526
418,361
441,375
-1,-1
491,409
1687,1173
600,690
303,279
1138,821
-1,-1
-1,-1
1583,1117
757,466
220,151
1365,730
903,596
1490,510
-1,-1
1262,973
418,-1
63,29
1474,1057
709,553
421,348
1080,676
1660,-1
1480,1120
1075,559
835,665
38,32
936,-1
783,614
-1,790
-1,-1
1419,1033
168,109
1675,1118
302,278
107,165
1495,1075
1420,428
-1,3
284,217
1430,1039
-1,-1
140,70
1483,1096
586,-1
-1,747
212,173
1423,1041
441,375
816,-1
150,41
1604,1227
1234,-1
962,854
597,437
752,621
670,578
-1,-1
327,161
906,780
183,222
904,-1
1031,768
1120,959
709,553
362,270
184,-1
-1,804
607,660
1004,855
390,308
500,404
-1,-1
1240,929
206,26
525,478
962,854
36,108
1456,1154
361,258
148,33
1294,831
66,60
737,528
1797,1286
1631,1127
998,695
1771,1267
826,668
277,58
293,264
-1,-1
-1,-1
158,182
1714,1037
-1,996
901,661
562,354
527,455
-1,1123
505,454
947,725
1351,990
1327,915
191,202
1476,1050
-1,-1
-1,-1
1302,891
-1,-1
544,450
-1,-1
872,-1
349,239
-1,-1
1414,1060
664,778
453,-1
192,203
1233,873
1393,723
859,580
-1,-1
672,650
-1,192
1386,1022
58,96
1040,801
1498,1183
150,41
43,102
612,576
357,262
-1,-1
706,469
-1,1241
1384,1007
-1,-1
588,696
138,65
525,477
928,846
336,246
221,152
-1,-1
746,555
238,63
-1,906
900,870
359,294
1254,-1
898,865
1629,1147
1465,1097
732,684
3,-1
388,315
1316,966
1122,987
424,344
1107,953
-1,-1
1515,1109
1782,1247
-1,-1
304,280
1476,1050
1670,1175
1286,932
1277,836
1484,1034
525,478
-1,-1
1133,712
-1,-1
85,61
25,86
410,374
-1,-1
1673,1219
-1,-1
311,162
134,36
103,139
-1,-1
1589,1158
442,333
-1,-1
1061,879
1176,951
1638,1226
613,-1
1453,1090
-1,-1
348,281
1550,1043
238,63
-1,-1
-1,-1
96,88
-1,-1
-1,408
1579,1099
271,253
150,41
1547,1170
1063,653
1250,849
554,438
1625,1199
632,517
-1,-1
1339,997
246,208
474,340
-1,-1
788,467
833,606
1693,1105
968,781
666,-1
1205,933
223,174
99,72
1270,316
1069,742
1015,800
-1,-1
824,530
1483,1096
514,512
1184,1009
58,96
-1,1093
1732,1273
116,81
246,208
884,605
689,834
1778,1289
-1,-1
1446,485
145,205
-1,1158
831,770
-1,-1
218,169
1236,810
55,43
1427,1027
1419,1033
461,310
356,255
268,79
1117,934
1700,-1
-1,-1
201,21
-1,1241
-1,113
195,146
-1,336
1593,1163
378,272
190,27
1399,-1
-1,680
132,189
-1,466
-1,-1
346,-1
204,199
782,433
1533,1136
-1,-1
1372,546
-1,896
1698,1275
1784,1280
258,76
207,13
174,181
1357,514
-1,-1
91,39
756,466
448,-1
926,765
1513,1092
424,344
163,-1
1667,1125
678,432
357,-1
162,-1
259,98
1075,559
955,595
1190,347
393,-1
1191,-1
83,126
1776,1208
1763,1161
14,6
315,245
1272,882
1526,408
92,73
1010,716
12,8
1796,1256
924,791
433,355
-1,-1
450,-1
-1,-1
1063,653
632,516
1719,1067
1479,1121
-1,1080
127,149
451,350
-1,-1
678,432
411,326
1783,1246
-1,457
1168,616
43,102
465,332
-1,-1
1023,732
817,735
-1,-1
396,302
913,609
-1,-1
607,660
1595,1222
109,140
224,212
1056,755
-1,998
1721,1237
-1,-1
640,398
-1,-1
425,372
347,283
-1,4
547,403
-1,-1
1523,1065
1455,1155
1549,1141
677,364
918,636
1450,1094
1733,1261
976,644
69,136
519,421
1498,1183
79,45
-1,-1
1782,1247
109,140
1210,786
1471,1153
-1,-1
603,383
1538,1149
858,652
717,551
304,280
807,726
-1,33
973,905
332,130
1724,1224
389,312
412,342
966,680
1140,497
-1,-1
92,73
622,481
987,733
-1,-1
529,387
1229,939
1769,1161
-1,71
1381,759
1689,1046
525,478
-1,160
1111,875
79,45
293,-1
1414,1059
1135,881
508,320
1629,1147
169,127
1160,1014
55,43
1589,1158
-1,1067
1796,1256
1787,1284
-1,-1
1024,571
831,770
1699,1276
-1,-1
1395,692
392,295
1675,1118
1233,873
127,149
1415,1048
1249,965
1044,870
-1,1097
1474,1057
-1,-1
30,87
1351,990
110,141
368,276
1334,462
1604,1227
1246,964
-1,-1
754,666
826,668
1735,1259
123,-1
1066,799
1107,953
679,447
1047,961
93,84
643,751
800,537
-1,-1
567,359
1094,948
31,87
474,340
1315,549
929,923
858,652
-1,-1
872,608
1169,560
-1,-1
336,246
1159,1001
1701,1229
-1,-1
989,794
728,589
850,776
431,356
1612,1223
1372,546
1660,1188
61,103
684,625
1469,1156
1263,974
-1,965
-1,-1
1050,887
1409,1029
1111,-1
165,33
833,606
1697,1237
684,625
1795,1281
439,323
1474,1057
546,452
575,390
403,321
-1,1099
416,329
69,136
52,159
-1,-1
-1,-1
679,447
1110,900
1327,915
1603,1174
1341,970
1385,1022
-1,295
1395,692
443,338
525,405
1708,1214
162,175
-1,-1
1163,712
-1,-1
1608,1170
-1,-1
-1,669
-1,-1
962,854
874,635
664,777
359,-1
133,35
-1,1017
305,228
1666,1197
87,49
382,-1
767,658
676,744
-1,-1
691,835
1223,501
425,372
-1,-1
510,380
1131,395
1739,1177
195,146
516,410
-1,-1
43,102
1352,813
1337,983
822,579
-1,10
1316,966
640,398
118,71
1381,759
1654,1191
-1,487
-1,-1
1749,-1
1263,974
1013,798
791,448
-1,-1
189,201
583,567
720,750
-1,-1
1221,907
-1,836
389,312
1262,973
943,968
1686,1216
1220,825
1352,813
903,596
141,-1
219,170
1654,1190
1236,810
806,-1
1020,613
-1,-1
-1,-1
678,432
1628,1128
-1,761
2,2
1421,408
1433,1042
1380,840
1270,316
1209,969
497,-1
929,942
1036,505
-1,-1
333,131
494,366
1637,1203
1298,388
1705,1068
1615,-1
-1,1237
-1,-1
1428,1030
537,393
1026,669
1251,849
376,291
772,619
293,265
540,-1
-1,-1
785,611
17,22
711,572
1626,1213
-1,648
1290,706
961,852
1737,-1
-1,-1
228,50
20,52
596,436
600,690
368,276
-1,698
-1,1145
194,111
495,566
543,459
1736,1259
1751,1240
-1,-1
-1,-1
319,177
530,482
362,270
1055,754
-1,790
1282,956
526,456
110,141
73,17
1715,1037
1036,505
1473,1057
887,640
1425,1058
1161,662
767,658
520,533
115,80
911,-1
861,743
1510,1100
1485,1108
1017,-1
979,789
997,934
-1,-1
261,78
935,674
226,226
570,544
1013,798
1635,1084
979,789
186,132
339,268
-1,-1
1689,1046
-1,322
1504,1083
1261,706
1084,761
1657,1172
-1,-1
391,309
-1,885
-1,-1
1166,746
339,267
-1,1039
271,252
-1,-1
1285,928
330,233
1563,1151
89,53
544,450
55,43
1069,742
589,697
851,776
1202,940
1802,1284
1626,1213
1119,959
-1,160
1188,757
929,923
677,364
205,26
32,74
1358,489
818,715
1243,842
1006,857
1705,1068
72,47
89,53
