satNo,name,line1,line2,inclination,apogee,raan,argument_of_perigee,eccentricity,mean_motion,hdbscan_labels
42991,SKYSAT C7,1 42991U 17068E   26027.28780223  .00017225  00000-0  53303-3 0  9990,2 42991  97.4305 163.5347 0005466 245.3479 114.7194 15.33533526460754,97.4305,476.1574076768812,163.5347,245.3479,0.0005466,15.33533526,333
42992,SKYSAT C6,1 42992U 17068F   26027.30070264  .00016295  00000-0  53085-3 0  9994,2 42992  97.4338 163.9275 0001217 211.4063 148.7106 15.31911769460733,97.4338,478.0792270923695,163.9275,211.4063,0.0001217,15.31911769,332
43005,MOHAMMED VI-A,1 43005U 17070A   26027.30743029  .00001719  00000-0  25029-3 0  9991,2 43005  97.9514 101.6643 0001245  85.8367 274.2986 14.77131955443180,97.9514,646.4023617266612,101.6643,85.8367,0.0001245,14.77131955,298
43016,MAKERSAT 0,1 43016U 17073D   26027.21378877  .00032552  00000-0  10261-2 0  9991,2 43016  97.4852 269.1006 0123852  52.5284 308.7141 15.25566564444924,97.4852,581.2735915227681,269.1006,52.5284,0.0123852,15.25566564,-1
43017,AO-91,1 43017U 17073E   26027.12317399  .00013801  00000-0  63072-3 0  9999,2 43017  97.4915 257.3098 0159623  94.5970 267.3511 15.09926161444081,97.4915,653.9347393520577,257.3098,94.597,0.0159623,15.09926161,114
43022,JILIN-01-04,1 43022U 17074A   26027.26300496  .00018795  00000-0  49884-3 0  9993,2 43022  97.4778 133.6431 0004039 357.7808   2.3418 15.38336863452577,97.4778,460.9223145842012,133.6431,357.7808,0.0004039,15.38336863,56
43023,JILIN-01-05,1 43023U 17074B   26027.24594209  .00010026  00000-0  32887-3 0  9993,2 43023  97.4799 131.8105 0005759  23.6939 336.4566 15.31801279452412,97.4799,481.51919883403275,131.8105,23.6939,0.0005759,15.31801279,57
43024,JILIN-01-06,1 43024U 17074C   26027.28035894  .00010976  00000-0  36023-3 0  9998,2 43024  97.4740 128.9875 0007765  30.8176 329.3520 15.31745312452250,97.474,483.05997394667753,128.9875,30.8176,0.0007765,15.31745312,-1
43028,YAOGAN-30 D,1 43028U 17075A   26027.26964736  .00005541  00000-0  41741-3 0  9992,2 43028  34.9956  49.0560 0001881 184.0927 175.9766 15.01895047446047,34.9956,569.4953521879138,49.056,184.0927,0.0001881,15.01895047,199
43029,YAOGAN-30 E,1 43029U 17075B   26027.25004082  .00006172  00000-0  46517-3 0  9998,2 43029  34.9947  48.7399 0002074  79.9703 280.1238 15.01851814446152,34.9947,569.7624753577448,48.7399,79.9703,0.0002074,15.01851814,199
43030,YAOGAN-30 F,1 43030U 17075C   26027.29443949  .00005619  00000-0  42389-3 0  9991,2 43030  34.9961  48.4133 0003049 255.8100 104.2270 15.01833652446222,34.9961,570.4950221478883,48.4133,255.81,0.0003049,15.01833652,199
43034,LKW-1,1 43034U 17077A   26027.28643293  .00007793  00000-0  32708-3 0  9999,2 43034  97.1203  68.8988 0002085  98.2755 261.8719 15.23721640453249,97.1203,503.1967576895133,68.8988,98.2755,0.0002085,15.2372164,184
43080,LKW-2,1 43080U 17084A   26027.31427845  .00013396  00000-0  55061-3 0  9998,2 43080  97.1418  73.7367 0003128  53.7721 306.3806 15.24285346450217,97.1418,502.21851109092125,73.7367,53.7721,0.0003128,15.24285346,282
43081,YAOGAN-30 G,1 43081U 17085A   26026.99909288  .00005376  00000-0  40471-3 0  9997,2 43081  34.9965 290.0808 0004894 347.6495  12.4093 15.01918106441475,34.9965,571.5150701389769,290.0808,347.6495,0.0004894,15.01918106,192
43082,YAOGAN-30 H,1 43082U 17085B   26027.02077383  .00005245  00000-0  39544-3 0  9999,2 43082  34.9956 290.0373 0004526 201.5186 158.5332 15.01871292441450,34.9956,571.4039720350262,290.0373,201.5186,0.0004526,15.01871292,192
43083,YAOGAN-30 J,1 43083U 17085C   26027.04483223  .00005535  00000-0  41705-3 0  9990,2 43083  34.9959 290.3198 0005789 334.5675  25.4748 15.01880807441516,34.9959,572.2510753631648,290.3198,334.5675,0.0005789,15.01880807,192
43099,SUPERVIEW-1 03,1 43099U 18002A   26027.27250259  .00023766  00000-0  68772-3 0  9992,2 43099  97.3235 112.7813 0051816 328.6352  31.1803 15.34235456446726,97.3235,505.77837548516595,112.7813,328.6352,0.0051816,15.34235456,378
43111,CARTOSAT 2F,1 43111U 18004A   26027.32571984  .00005270  00000-0  25257-3 0  9997,2 43111  97.4248  89.2095 0001675  48.1558 311.9819 15.19344201445947,97.4248,516.111770277407,89.2095,48.1558,0.0001675,15.19344201,346
43146,LKW-3,1 43146U 18006A   26027.32504233  .00012199  00000-0  39832-3 0  9992,2 43146  97.6413 182.8787 0004120  85.8610 274.3102 15.31908885447121,97.6413,480.0758714747699,182.8787,85.861,0.000412,15.31908885,125
43152,ASNARO-2,1 43152U 18007A   26027.26615271  .00013813  00000-0  60014-3 0  9998,2 43152  97.4025  36.3521 0001716  53.3451 306.7943 15.22407648445970,97.4025,506.89785674402395,36.3521,53.3451,0.0001716,15.22407648,285
43159,JILIN-01-07,1 43159U 18008E   26027.27649635  .00013177  00000-0  42672-3 0  9991,2 43159  97.1911  51.1153 0008083 192.0104 168.0947 15.32114117443400,97.1911,482.17776174424307,51.1153,192.0104,0.0008083,15.32114117,172
43160,JILIN-01-08,1 43160U 18008F   26027.33065056  .00013597  00000-0  45059-3 0  9997,2 43160  97.1936  50.6055 0005362 203.0842 157.0159 15.31382072443378,97.1936,482.49776211360097,50.6055,203.0842,0.0005362,15.31382072,172
43169,WEINA 1A,1 43169U 18011A   26027.01986045  .00004456  00000-0  35095-3 0  9998,2 43169  34.9969 299.5887 0003609 260.2738  99.7562 15.00253182436906,34.9969,575.7581439004317,299.5887,260.2738,0.0003609,15.00253182,-1
43170,YAOGAN-30 K,1 43170U 18011B   26027.01455392  .00005407  00000-0  40705-3 0  9997,2 43170  34.9968 290.8600 0003371 185.9928 174.0740 15.01923317436904,34.9968,570.4421864657309,290.86,185.9928,0.0003371,15.01923317,192
43171,YAOGAN-30 L,1 43171U 18011C   26027.00848847  .00005328  00000-0  40286-3 0  9994,2 43171  34.9959 290.6505 0001338 221.9835 138.0771 15.01766939436972,34.9959,569.5132323922869,290.6505,221.9835,0.0001338,15.01766939,192
43172,YAOGAN-30 M,1 43172U 18011D   26027.00425058  .00005304  00000-0  40095-3 0  9992,2 43172  34.9975 290.9326 0003286 273.4053  86.6279 15.01770684436842,34.9975,570.8535227647396,290.9326,273.4053,0.0003286,15.01770684,192
43180,KANOPUS-V 3,1 43180U 18014A   26027.27230483  .00005274  00000-0  22355-3 0  9994,2 43180  97.3675 295.5746 0001822  88.8067 271.3379 15.23557572443277,97.3675,503.50949189180136,295.5746,88.8067,0.0001822,15.23557572,194
43181,KANOPUS-V 4,1 43181U 18014B   26027.30509294  .00000497  00000-0  23677-4 0  9999,2 43181  97.3689 295.7483 0001882  88.2009 271.9444 15.23555938443294,97.3689,503.5556466964604,295.7483,88.2009,0.0001882,15.23555938,194
43182,LEMUR 2 JIN-LUEN,1 43182U 18014C   26027.26203155  .00155169  00000-0  15779-2 0  9991,2 43182  97.5473 314.2196 0008730  78.3991 281.8247 15.64620225438961,97.5473,387.36311245866585,314.2196,78.3991,0.000873,15.64620225,75
43184,LEMUR 2 KADI,1 43184U 18014E   26027.30232422  .00093152  00000-0  12885-2 0  9995,2 43184  97.4804 309.7831 0007492  69.6024 290.6035 15.56779994438938,97.4804,409.1962573709572,309.7831,69.6024,0.0007492,15.56779994,116
43186,S-NET D,1 43186U 18014G   26027.27121207  .00010077  00000-0  54178-3 0  9998,2 43186  97.5474 293.0115 0009488 136.6880 223.5099 15.15037231437419,97.5474,534.5483058234854,293.0115,136.688,0.0009488,15.15037231,169
43187,S-NET B,1 43187U 18014H   26027.28002586  .00010209  00000-0  54915-3 0  9994,2 43187  97.5477 293.0025 0010261 133.5518 226.6568 15.15009485437413,97.5477,535.165917467529,293.0025,133.5518,0.0010261,15.15009485,169
43188,S-NET A,1 43188U 18014J   26027.27073116  .00009956  00000-0  53517-3 0  9995,2 43188  97.5486 293.1770 0010146 133.8390 226.3683 15.15043184437414,97.5486,534.9841698549865,293.177,133.839,0.0010146,15.15043184,169
43189,S-NET C,1 43189U 18014K   26027.28316913  .00010198  00000-0  54851-3 0  9994,2 43189  97.5501 293.2420 0011699 128.5082 231.7201 15.15001894435965,97.5501,536.1810785874334,293.242,128.5082,0.0011699,15.15001894,169
43194,ZHANGHENG 1,1 43194U 18015C   26027.33580669  .00015451  00000-0  69908-3 0  9994,2 43194  97.6686 190.3138 0016678  45.6999 314.5601 15.20877688443238,97.6686,521.8055753444954,190.3138,45.6999,0.0016678,15.20877688,152
43215,PAZ,1 43215U 18020A   26027.28063839  .00002752  00000-0  13418-3 0  9998,2 43215  97.4454  36.6794 0001745  90.9793 269.1641 15.19151314439612,97.4454,516.742935865351,36.6794,90.9793,0.0001745,15.19151314,285
43236,LKW-4,1 43236U 18025A   26026.41095944  .00042251  00000-0  72268-3 0  9998,2 43236  97.6204 187.5034 0003501  95.9057 264.2593 15.51149134437975,97.6204,422.8844801104916,187.5034,95.9057,0.0003501,15.51149134,153
43259,GAOFEN 1-02,1 43259U 18031A   26027.26724953  .00001781  00000-0  26333-3 0  9998,2 43259  98.0735  90.0564 0004186  88.2174 271.9515 14.76469625421906,98.0735,650.5650089640003,90.0564,88.2174,0.0004186,14.76469625,317
43260,GAOFEN 1-03,1 43260U 18031B   26027.31302282  .00001575  00000-0  23373-3 0  9995,2 43260  98.0725  89.9754 0003464 143.6398 216.5047 14.76453284421906,98.0725,650.1100688263997,89.9754,143.6398,0.0003464,14.76453284,317
43262,GAOFEN 1-04,1 43262U 18031D   26027.28880557  .00001579  00000-0  23452-3 0  9991,2 43262  98.0738  90.1255 0001392 122.9534 237.1809 14.76430675421894,98.0738,648.7274610445955,90.1255,122.9534,0.0001392,14.76430675,317
43440,ZHUHAI-1 OVS-02,1 43440U 18040B   26027.33379794  .00009753  00000-0  41625-3 0  9995,2 43440  97.0534  53.0036 0005139  55.5923 304.5800 15.23078724431264,97.0534,507.2306269006226,53.0036,55.5923,0.0005139,15.23078724,141
43441,ZHUHAI-1 OHS-02,1 43441U 18040C   26027.32355051  .00010194  00000-0  42605-3 0  9995,2 43441  97.0554  59.7849 0010259  21.6123 338.5546 15.23741159 92814,97.0554,508.75580144080055,59.7849,21.6123,0.0010259,15.23741159,-1
43476,GRACE-FO 1,1 43476U 18047A   26027.26563680  .00006697  00000-0  18432-3 0  9996,2 43476  88.9845 217.3336 0008893 311.0520  48.9965 15.36968820428141,88.9845,468.2925806990117,217.3336,311.052,0.0008893,15.3696882,12
43477,GRACE-FO 2,1 43477U 18047B   26027.26594230  .00006724  00000-0  18506-3 0  9995,2 43477  88.9845 217.3337 0008901 311.0875  48.9610 15.36969236428145,88.9845,468.2968131770678,217.3337,311.0875,0.0008901,15.36969236,12
43484,GAOFEN 6,1 43484U 18048A   26027.32374861  .00000995  00000-0  14958-3 0  9998,2 43484  97.7960  95.0448 0010761 272.5077  87.4901 14.76577450412606,97.796,654.8377007711399,95.0448,272.5077,0.0010761,14.7657745,-1
43485,LUOJIA-1 01,1 43485U 18048B   26027.26665166  .00004063  00000-0  46353-3 0  9997,2 43485  97.8228 107.7177 0008328 218.1442 141.9186 14.86635104413270,97.8228,621.4137075857558,107.7177,218.1442,0.0008328,14.86635104,-1
43529,PAKTES 1A,1 43529U 18056A   26027.33017115  .00003744  00000-0  31922-3 0  9999,2 43529  98.1045 178.0738 0020942 218.2796 141.6940 14.98239583410820,98.1045,594.0281916548088,178.0738,218.2796,0.0020942,14.98239583,154
43530,PRSS 1,1 43530U 18056B   26027.33512964  .00001415  00000-0  18614-3 0  9999,2 43530  97.7999  99.0224 0001693  92.5376 267.6031 14.81710345407576,97.7999,632.2530506351311,99.0224,92.5376,0.0001693,14.81710345,313
43585,GAOFEN 11,1 43585U 18063A   26027.33348457  .00027353  00000-0  47492-3 0  9996,2 43585  97.1491  94.9135 0006048 125.7999 234.3816 15.50794997418487,97.1491,425.64879439595154,94.9135,125.7999,0.0006048,15.50794997,278
43613,ICESAT-2,1 43613U 18070A   26027.24423687  .00004713  00000-0  17113-3 0  9997,2 43613  92.0016 253.0104 0001944  30.3368 329.7993 15.28275140410937,92.0016,489.4387959107682,253.0104,30.3368,0.0001944,15.2827514,18
43618,SSTL S1-4,1 43618U 18071A   26027.24441669  .00001932  00000-0  17601-3 0  9995,2 43618  97.5234 264.5230 0000286  91.0576 269.0679 14.96263752401863,97.5234,585.7889029368703,264.523,91.0576,2.86e-05,14.96263752,160
43619,NOVASAR 1,1 43619U 18071B   26027.27967218  .00001788  00000-0  16340-3 0  9990,2 43619  97.5281 265.1866 0001331  99.0230 261.1143 14.96233248401861,97.5281,586.6104290896737,265.1866,99.023,0.0001331,14.96233248,160
43641,SAOCOM 1-A,1 43641U 18076A   26027.30899168  .00000450  00000-0  63102-4 0  9996,2 43641  97.8867 216.0699 0001534  80.9272 279.2115 14.82168982395237,97.8867,630.6969587095268,216.0699,80.9272,0.0001534,14.82168982,139
43642,YAOGAN-32 A,1 43642U 18077A   26027.30932108  .00002833  00000-0  56104-3 0  9990,2 43642  98.1644  57.4530 0001059  77.9093 282.2227 14.63063344389242,98.1644,691.1847979176482,57.453,77.9093,0.0001059,14.63063344,163
43643,YAOGAN-32 B,1 43643U 18077B   26027.30855126 -.00000043  00000-0  82911-6 0  9995,2 43643  98.1649  57.4030 0004792 308.6495  51.4277 14.62954578389237,98.1649,694.1709925831333,57.403,308.6495,0.0004792,14.62954578,163
43662,CFOSAT,1 43662U 18083A   26027.27720272  .00005661  00000-0  29388-3 0  9998,2 43662  97.3632  35.9422 0002240  56.7434 303.4013 15.16503802401083,97.3632,525.0982989731384,35.9422,56.7434,0.000224,15.16503802,285
43672,GOSAT 2,1 43672U 18084B   26027.32747107  .00004471  00000-0  54011-3 0  9991,2 43672  97.8670 140.6649 0001592  90.7768 269.3629 14.84239968392662,97.867,624.2229487807732,140.6649,90.7768,0.0001592,14.84239968,93
43676,KHALIFASAT,1 43676U 18084F   26027.27350214  .00003533  00000-0  28402-3 0  9991,2 43676  98.0861 204.0737 0004206 200.6429 159.4625 15.00705335394634,98.0861,574.7772196074519,204.0737,200.6429,0.0004206,15.00705335,77
43677,TEN-KOH,1 43677U 18084G   26027.07999402  .00004357  00000-0  33600-3 0  9999,2 43677  98.0717 213.5453 0008588 229.7226 130.3248 15.02135818394970,98.0717,573.4073080561664,213.5453,229.7226,0.0008588,15.02135818,-1
43678,DIWATA 2B,1 43678U 18084H   26027.29262545  .00002788  00000-0  23079-3 0  9990,2 43678  98.1099 217.6243 0007280 259.3637 100.6765 14.99749558395095,98.1099,579.8630350333583,217.6243,259.3637,0.000728,14.99749558,139
43679,STARS-AO,1 43679U 18084J   26027.03835023  .00012014  00000-0  64511-3 0  9999,2 43679  98.0636 232.3545 0001348 313.7891  46.3228 15.15092711396088,98.0636,528.7640745641896,232.3545,313.7891,0.0001348,15.15092711,54
43681,AUTCUBE 2,1 43681U 18084K   26027.10648635  .00007961  00000-0  50926-3 0  9991,2 43681  98.0793 225.8038 0009531 154.4993 205.6706 15.08855323395644,98.0793,553.4269402389695,225.8038,154.4993,0.0009531,15.08855323,41
43711,SHIYAN 6 (SY-6),1 43711U 18094B   26026.99405230  .00009098  00000-0  33446-3 0  9995,2 43711  97.3687  42.5876 0011519 293.5486  66.4543 15.28062812399918,97.3687,496.6424992805822,42.5876,293.5486,0.0011519,15.28062812,127
43717,MOHAMMED VI-B,1 43717U 18095A   26027.27364936  .00000975  00000-0  14510-3 0  9997,2 43717  97.9499 101.6380 0001397  96.9455 263.1914 14.77123077387382,97.9499,646.5371313086581,101.638,96.9455,0.0001397,14.77123077,298
43719,HYSIS,1 43719U 18096A   26027.32158723  .00001467  00000-0  20742-3 0  9992,2 43719  98.0027  95.0594 0000719 126.2892 233.8385 14.78639351386603,98.0027,641.2634810579988,95.0594,126.2892,7.19e-05,14.78639351,-1
43758,MINXSS-2,1 43758U 18099A   26027.16579514  .00044381  00000-0  12034-2 0  9991,2 43758  97.4723 100.2198 0009607  58.2052 302.0127 15.37455110392399,97.4723,467.338135470612,100.2198,58.2052,0.0009607,15.3745511,284
43759,SIRION PATHFINDER-2,1 43759U 18099B   26027.12565929  .00008687  00000-0  49508-3 0  9999,2 43759  97.4480  79.5288 0010564  71.9437 288.2944 15.12984382391281,97.448,541.5362934897896,79.5288,71.9437,0.0010564,15.12984382,281
43762,STPSAT-5,1 43762U 18099E   26027.09743948  .00009261  00000-0  53918-3 0  9997,2 43762  97.4314  80.7060 0004707 100.6549 259.5212 15.12232841391532,97.4314,539.7805996572208,80.706,100.6549,0.0004707,15.12232841,348
43763,UPPER FREE FLYER,1 43763U 18099F   26027.10296931  .00006898  00000-0  42356-3 0  9992,2 43763  97.4584  79.9504 0014519  73.0421 287.2399 15.10316763391245,97.4584,552.4077158382348,79.9504,73.0421,0.0014519,15.10316763,281
43764,POLAR SCOUT KODIAK,1 43764U 18099G   26027.25744725  .00079849  00000-0  14017-2 0  9996,2 43764  97.4365 104.1204 0006736  24.5689 335.5882 15.50231521392933,97.4365,427.76309231511317,104.1204,24.5689,0.0006736,15.50231521,372
43765,HAWK-A,1 43765U 18099H   26027.14919329  .00012132  00000-0  51606-3 0  9997,2 43765  97.4147  81.2727 0037904  62.7028 297.8060 15.22493232391620,97.4147,531.5246363665397,81.2727,62.7028,0.0037904,15.22493232,347
43766,SPAWAR-CAL-O,1 43766U 18099J   26027.15623464  .00028487  00000-0  99422-3 0  9999,2 43766  97.4551  90.3736 0010217  76.0618 284.1758 15.29513892391920,97.4551,491.40559363578075,90.3736,76.0618,0.0010217,15.29513892,357
43767,CORVUS BC4,1 43767U 18099K   26027.08129620  .00008593  00000-0  51575-3 0  9990,2 43767  97.4291  74.1635 0009754 123.2211 236.9955 15.11122373391080,97.4291,546.6537744049634,74.1635,123.2211,0.0009754,15.11122373,282
43768,AISTECHSAT-2,1 43768U 18099L   26027.10977413  .00009306  00000-0  51949-3 0  9993,2 43768  97.4522  78.2367 0006342  74.3686 285.8245 15.13734401390927,97.4522,536.3383446208331,78.2367,74.3686,0.0006342,15.13734401,183
43770,AO-95,1 43770U 18099N   26027.14198312  .00018229  00000-0  77088-3 0  9999,2 43770  97.4606  88.1103 0010505 120.7728 239.4544 15.23219196391726,97.4606,510.4964805913251,88.1103,120.7728,0.0010505,15.23219196,326
43773,RANGE A,1 43773U 18099R   26027.08467277  .00008381  00000-0  49156-3 0  9997,2 43773  97.4189  73.7724 0011973 112.8070 247.4427 15.11944150391165,97.4189,545.679918735723,73.7724,112.807,0.0011973,15.1194415,282
43776,SPAWAR-CAL-R,1 43776U 18099U   26026.56461945  .00003164  00000-0  22625-3 0  9994,2 43776  97.4599  71.8993 0021862 121.7148 238.6214 15.04963378390691,97.4599,573.9049302631039,71.8993,121.7148,0.0021862,15.04963378,-1
43778,SPAWAR-CAL-OR,1 43778U 18099W   26026.11061916  .00015563  00000-0  71372-3 0  9990,2 43778  97.4029  76.8308 0013724  94.9574 265.3228 15.20446787391048,97.4029,521.0746852601878,76.8308,94.9574,0.0013724,15.20446787,196
43779,M1,1 43779U 18099X   26026.56119185  .00004234  00000-0  28814-3 0  9998,2 43779  97.4605  74.0516 0013866 153.2156 206.9791 15.06750573390806,97.4605,562.8755092758304,74.0516,153.2156,0.0013866,15.06750573,282
43782,SNUSAT-2,1 43782U 18099AA  26027.11997081  .00013538  00000-0  64291-3 0  9999,2 43782  97.4289  82.7626 0012230  72.5288 287.7282 15.19289959391597,97.4289,523.5439947344875,82.7626,72.5288,0.001223,15.19289959,214
43783,KAZSTSAT,1 43783U 18099AB  26027.04770507  .00002928  00000-0  24291-3 0  9991,2 43783  97.4477  65.2588 0009239 140.3061 219.8841 14.99496965390150,97.4477,582.004439787468,65.2588,140.3061,0.0009239,14.99496965,-1
43784,SNUGLITE,1 43784U 18099AC  26027.11727681  .00018776  00000-0  78540-3 0  9999,2 43784  97.4101  82.9779 0004347  75.8873 284.2847 15.23621725391819,97.4101,505.0519690497396,82.9779,75.8873,0.0004347,15.23621725,214
43786,ITASAT,1 43786U 18099AE  26026.96344511  .00012775  00000-0  64896-3 0  9992,2 43786  97.4258  81.3401 0014411 122.1600 238.1033 15.16926585391488,97.4258,532.2066995506594,81.3401,122.16,0.0014411,15.16926585,347
43790,EAGLET 1,1 43790U 18099AJ  26027.12293886  .00006822  00000-0  40397-3 0  9990,2 43790  97.4458  80.4926 0012947 110.7812 249.4807 15.11658906391014,97.4458,547.2229549268279,80.4926,110.7812,0.0012947,15.11658906,348
43792,ESEO,1 43792U 18099AL  26027.06830637  .00003988  00000-0  29456-3 0  9999,2 43792  97.4177  70.3938 0013205  94.5610 265.7125 15.03716067390598,97.4177,571.7424598500636,70.3938,94.561,0.0013205,15.03716067,184
