"cluster_id","stability"
-1,0.256101638305647
0,0.136666666666667
1,0.231666666666667
2,0.100148264433979
3,0.0900844665996181
4,0.0166666666666667
5,0.0420833333333333
6,0.0114942528735632
7,0.00505050505050505
8,0.013
9,0.05
10,0.0416666666666667
11,0.0503367003367003
12,0.0233333333333333
13,0.0056547619047619
14,0.02
15,0
16,0.0176767676767677
17,0
18,0.01620029455081
19,0.0460557960557961
20,0.0180952380952381
21,0
22,0
23,0.0333333333333333
24,0.005625
25,0.005
26,0.0038659793814433
27,0.01875
28,0
29,0.0122222222222222
30,0.0283505154639175
31,0.0025
32,0.01
33,0.00222222222222222
34,0.018
35,0
36,0
37,0.00374149659863946
38,0
39,0
40,0
41,0
42,0.00134680134680134
43,0
44,0
45,0
46,0.0111317254174397
47,0
48,0
49,0
50,0.0168350168350168
51,0.00428571428571429
52,0.000714285714285714
53,0.0166666666666667
54,0
55,0.00714285714285714
56,0
57,0.01
58,0
59,0
60,0
61,0
62,0
63,0.00618556701030928
64,0
65,0
66,0
67,0.02
68,0.02
69,0
70,0
71,0.0102040816326531
72,0.00966666666666667
73,0
74,0.000555555555555556
75,0.00833333333333333
76,0.0101010101010101
77,0.0204081632653061
78,0
79,0.0180952380952381
80,0.00603254769921436
81,0.0210526315789474
82,0.01525
83,0.021865889212828
84,0.048
85,0.04
86,0
87,0
88,0.01
89,0.021712962962963
90,0.00333333333333333
91,0
92,0
93,0.01
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0.0180412371134021
102,0.006
103,0.0025
104,0.01
105,0.04
106,0
107,0.01
108,0
109,0.0075
110,0.00875
111,0
112,0.01
113,0
114,0.005
115,0
116,0
117,0
118,0.006
119,0.004
120,0.00151171579743008
121,0
122,0
123,0
124,0
125,0.01
126,0.018
127,0.00416666666666666
128,0.0208928571428571
129,0
130,0.00285714285714286
131,0.0185714285714286
132,0
133,0.0138528138528138
134,0.00144300144300144
135,0
136,0
137,0
138,0
139,0.00583333333333333
140,0.0121818181818182
141,0.0036231884057971
142,0
143,0.00701754385964913
144,0.014
145,0.0201666666666667
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0.00333333333333333
156,0.0176767676767677
157,0
158,0
159,0.0098116169544741
160,0.00153846153846154
161,0
162,0.00285714285714286
163,0
164,0
165,0.0181818181818182
166,0
167,0.00288600288600289
168,0.0123737373737374
169,0
170,0
171,0
172,0.005
173,0.00171821305841925
174,0
175,0
176,0
177,0
178,0
179,0.01
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0.00214285714285714
190,0.01
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0.0103092783505155
199,0.0103092783505155
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0.0075
213,0
214,0
215,0
216,0
217,0
218,0.0175
219,0.01
220,0.009
221,0.019
222,0.0101010101010101
223,0.00706436420722135
224,0.01
225,0
226,0
227,0
228,0
229,0.019
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0.01
260,0
261,0
262,0
263,0
264,0
265,0
266,0.00673400673400674
267,0
268,0
269,0.00255102040816327
270,0
271,0
272,0.03
273,0.00555555555555555
274,0
275,0
276,0.0170068027210884
277,0.00340136054421768
278,0
279,0
280,0
281,0
282,0.00555555555555556
283,0
284,0
285,0.005
286,0
287,0
288,0
289,0
290,0.002
291,0.0075
292,0.00153846153846154
293,0.00555555555555556
294,0.00868055555555555
295,0.00833333333333333
296,0.010752688172043
297,0.01
298,0
299,0.0101010101010101
300,0
301,0
302,0.00333333333333333
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0.0105263157894737
316,0.00905797101449275
317,0.00204081632653061
318,0
319,0.00340136054421768
320,0
321,0
322,0.0101010101010101
323,0
324,0.01
325,0.0102040816326531
326,0.0116666666666667
327,0
328,0.032
329,0.01
330,0.01
331,0.0175
332,0
333,0
334,0.00536487322201608
335,0.000651041666666667
336,0.0166666666666667
337,0.01
338,0.00631313131313131
339,0.005
340,0
341,0
342,0.0144166666666667
343,0
344,0.01
345,0.00574712643678161
346,0
347,0.0111111111111111
348,1e-04
349,0.01
350,0
351,0.00584415584415585
352,0
353,0.00185528756957329
354,0.00375
355,0.01
356,0.0116666666666667
357,0.00100840336134454
358,0.01
359,0.00878205128205129
360,0.0103092783505155
361,0.0076530612244898
362,0.0336309523809524
363,0.0075
364,0
365,0
366,0.0134680134680135
367,0
368,0.00992857142857143
369,0.0075
370,0
371,0.0103092783505155
372,0
373,0.00666666666666667
374,0.0124320124320124
375,0.0286666666666667
376,0.03
377,0.00520833333333333
378,0.0363333333333333
379,0.01
380,0
381,0.02
382,0.04
383,0.0206185567010309
384,0.01
