ref,boot
1669,1225
1443,-1
1068,711
708,546
546,390
544,332
747,455
1218,964
1231,901
721,700
598,373
1653,1243
16,12
-1,-1
493,320
-1,-1
218,185
184,147
-1,-1
219,184
-1,-1
-1,-1
246,101
386,431
757,919
1180,900
1446,1127
767,489
1812,1311
-1,-1
1558,1078
32,9
220,194
258,17
-1,581
517,330
-1,1016
35,19
133,11
428,396
92,156
-1,-1
1678,-1
452,518
1402,1005
1654,1244
-1,-1
266,183
1076,551
-1,-1
607,659
527,447
553,532
567,417
836,869
126,131
-1,450
1291,898
1677,1231
1747,1227
1782,1303
851,624
1069,633
1575,1123
976,754
312,259
1520,1030
1090,961
1014,848
1420,1107
620,472
305,159
1075,552
1019,780
1234,-1
1071,591
-1,-1
770,495
647,407
894,535
737,-1
1752,1256
392,730
23,52
-1,-1
-1,-1
1341,969
618,669
190,103
1120,884
924,507
874,645
1136,849
1063,707
412,319
146,91
1812,1311
1594,1140
-1,157
1798,1170
102,87
1410,996
-1,1197
1182,904
1627,1209
-1,-1
1262,892
299,228
1791,1310
1397,1086
703,468
1041,897
1016,765
770,495
815,623
139,116
251,55
320,208
-1,331
957,831
-1,-1
1801,1268
-1,-1
1733,1221
1260,775
855,522
1461,1129
1079,825
403,339
-1,-1
1790,-1
342,276
906,523
251,55
1726,1280
31,20
214,165
1160,917
1274,826
583,472
307,218
723,735
1480,1178
437,344
875,646
1213,814
1660,-1
1367,987
1474,1094
1268,-1
1009,631
1202,679
1774,1241
25,21
1254,-1
-1,-1
1672,1278
1567,1164
220,194
977,753
65,153
-1,58
1599,1091
-1,-1
-1,-1
232,222
-1,-1
533,-1
531,366
-1,-1
1109,771
510,370
443,294
-1,-1
606,621
345,-1
52,-1
1044,844
-1,-1
117,127
1148,746
694,828
535,476
1387,1020
-1,-1
1109,771
481,376
403,339
-1,-1
651,383
481,376
524,446
64,98
465,302
858,630
-1,-1
646,-1
-1,-1
290,243
919,-1
1354,-1
67,61
1776,-1
1298,981
1548,1104
1265,811
1524,1166
594,348
665,463
1297,981
961,760
1401,1063
504,353
227,81
-1,-1
1244,772
1412,1028
999,857
-1,205
-1,7
72,62
1078,513
1724,1298
765,461
80,14
31,20
382,268
895,535
1756,1264
565,363
-1,-1
1171,506
1546,1180
211,157
1319,968
1352,983
474,315
1313,967
591,381
-1,-1
47,114
1396,1087
735,459
919,726
1291,898
487,285
1569,-1
475,315
162,146
66,53
-1,-1
51,-1
1696,1228
1476,1125
883,543
342,276
-1,-1
-1,-1
-1,-1
858,630
-1,-1
237,56
1206,958
908,563
354,233
1635,1137
196,-1
274,130
257,17
-1,-1
1568,1196
1437,1050
906,523
751,423
19,31
-1,1073
-1,-1
-1,-1
880,641
268,175
767,489
1196,850
896,534
1360,990
701,493
199,79
1215,894
86,71
348,283
600,714
1476,1125
872,774
-1,-1
1101,652
-1,-1
933,742
-1,-1
-1,-1
1745,1251
293,237
-1,-1
1230,671
958,-1
-1,233
1727,1051
578,346
-1,1079
718,737
682,422
1461,1128
-1,-1
910,429
489,308
1749,1291
-1,-1
797,477
1002,587
568,374
1028,575
538,435
-1,-1
506,503
523,393
168,169
-1,-1
-1,-1
1444,-1
1232,902
1043,844
209,-1
472,350
1583,1139
1160,917
1075,552
-1,214
1003,757
52,123
682,422
761,882
1516,1118
664,492
951,559
1161,895
292,236
424,305
241,238
-1,-1
-1,-1
1581,1049
-1,1037
1683,-1
1245,680
1752,1256
-1,1051
-1,-1
1565,1124
907,563
1427,1031
1332,985
-1,-1
152,145
-1,-1
1473,1094
1704,1289
-1,-1
816,661
92,156
1609,1152
106,33
899,889
1274,826
-1,-1
-1,-1
126,131
-1,10
1143,722
-1,-1
962,465
1426,1032
855,522
462,-1
570,670
463,324
1423,1037
1396,1087
-1,1227
368,292
1357,1006
-1,936
-1,1142
-1,-1
959,516
1155,881
1603,1260
1484,1059
1426,1032
95,50
407,284
286,250
646,588
47,114
-1,962
1054,787
-1,-1
218,185
-1,-1
1596,1168
1272,938
552,504
990,797
616,316
384,277
-1,181
215,65
-1,142
891,505
1744,1218
924,507
158,42
217,77
192,120
1356,988
1638,1232
552,504
-1,847
1618,1167
399,-1
-1,-1
1194,906
539,304
1613,1149
923,480
-1,-1
1618,1167
148,84
1807,1258
1691,1185
259,193
129,-1
-1,-1
1009,631
918,608
-1,316
1668,-1
-1,989
1366,987
1338,930
1681,-1
983,640
753,500
-1,-1
249,48
399,328
1643,1201
1759,1285
-1,669
840,699
683,470
5,2
517,330
-1,1204
204,198
-1,143
1412,1028
444,294
1424,-1
1432,-1
433,367
-1,-1
1650,-1
731,412
1241,806
1218,964
703,468
-1,894
