ref,boot
883,498
256,196
331,233
1041,889
723,780
-1,-1
791,408
119,109
525,353
525,353
-1,1114
746,377
655,502
452,605
556,345
-1,-1
285,193
1087,674
1484,-1
221,147
213,192
441,462
548,401
570,454
1528,1149
1372,1048
899,879
-1,-1
608,728
1421,660
953,664
1611,1276
1698,1269
206,11
-1,-1
-1,154
438,432
1326,948
1538,1111
684,487
1149,697
258,50
18,33
875,473
248,120
-1,-1
450,662
499,338
-1,-1
1157,903
139,101
548,401
461,301
-1,-1
-1,351
179,68
-1,-1
-1,1034
939,946
1233,927
1528,1149
96,78
128,117
1182,891
639,346
913,689
1002,837
246,103
-1,-1
1706,981
430,310
-1,-1
-1,1118
572,427
519,516
268,-1
228,44
12,19
-1,-1
25,53
649,445
152,108
154,167
459,342
1792,1290
673,422
1512,1147
-1,-1
1135,839
1753,-1
896,678
172,116
361,213
710,376
1678,1170
-1,5
258,50
1706,981
292,241
1389,1125
932,625
55,102
826,475
389,278
1452,1113
1400,986
251,38
476,297
1583,1074
715,577
-1,-1
85,77
745,377
-1,913
1357,-1
-1,-1
1425,1064
1170,557
1550,1098
167,114
1420,684
1145,719
-1,-1
510,544
1760,1287
1261,820
489,431
1390,938
376,277
1472,1139
-1,-1
766,804
1214,1053
1570,1196
337,219
-1,832
236,-1
177,151
-1,-1
342,212
1805,1288
-1,-1
79,87
-1,524
362,254
552,354
32,48
-1,-1
947,917
-1,-1
766,804
1100,885
-1,-1
647,524
286,194
628,303
881,439
495,424
1720,1061
633,415
1038,548
357,237
-1,1229
-1,963
321,220
410,390
1484,-1
1079,783
-1,-1
1654,1134
941,866
260,187
1516,1234
1674,1230
1530,1144
272,127
770,597
1564,1082
-1,-1
-1,922
335,223
770,597
-1,638
570,454
1184,931
1108,696
1169,817
1022,442
1378,1127
907,680
428,315
469,333
-1,542
8,27
1598,1205
1546,975
1147,675
-1,982
1096,853
918,501
225,138
-1,-1
1529,1182
89,93
435,294
-1,-1
1767,1158
1615,1221
658,325
955,990
1506,1004
1234,925
1635,1039
466,-1
-1,-1
900,824
805,878
1662,1118
998,869
913,689
1016,793
1160,932
1510,1115
297,205
676,601
1374,1153
-1,633
937,497
1739,1008
0,-1
915,666
686,549
1238,-1
157,42
-1,-1
600,571
1060,703
883,498
-1,564
358,262
1485,1139
1195,861
473,350
63,14
678,551
1270,897
408,373
774,629
186,158
-1,-1
983,621
452,604
703,705
395,286
1016,793
986,588
424,300
632,526
-1,700
218,162
-1,-1
-1,-1
-1,24
898,868
-1,-1
137,144
1456,-1
1159,882
1582,1219
646,523
-1,-1
-1,-1
909,753
929,590
706,533
917,531
1165,788
1255,1015
1030,739
1210,926
-1,-1
-1,-1
1749,1023
-1,-1
856,627
1614,1065
340,249
435,294
595,383
968,726
591,459
1304,994
-1,-1
-1,837
1778,1263
861,727
150,143
-1,1067
701,485
-1,1238
1797,1268
1755,1110
82,57
803,606
299,228
-1,-1
1295,953
1583,1074
6,1
871,607
