ref,boot
872,626
-1,-1
1509,1117
989,609
-1,1021
692,700
227,153
594,411
-1,11
690,814
-1,1066
1667,1215
190,156
-1,464
1643,1222
-1,-1
-1,126
-1,126
1404,1039
407,338
-1,-1
-1,-1
1196,856
-1,752
1270,950
-1,306
1071,713
1301,877
1772,1285
219,114
445,396
1155,953
1527,1103
1096,906
55,48
-1,111
682,401
206,193
1341,1028
611,585
1769,1269
1253,900
81,87
427,570
595,411
922,674
1292,834
-1,-1
1196,856
-1,420
413,291
761,754
1157,904
1641,-1
1427,1045
1034,710
929,677
924,523
121,-1
957,920
-1,606
1481,1000
1541,1071
618,686
-1,-1
-1,-1
1094,812
860,784
633,620
-1,-1
573,535
-1,-1
1085,708
1201,491
342,212
1748,1273
1088,737
1489,1120
1208,887
-1,-1
-1,-1
706,513
1222,715
116,34
585,313
1798,1299
143,176
399,-1
1550,1069
232,133
934,531
1778,1259
735,673
498,394
1319,-1
156,62
425,375
1401,1037
798,497
1169,601
990,680
1317,927
1535,1063
519,429
-1,315
398,-1
1505,1121
1297,970
796,521
1078,756
1812,1287
1536,1108
330,211
-1,-1
1414,1056
-1,1046
-1,179
382,299
246,256
117,53
1025,518
765,778
657,449
-1,1007
1456,1140
-1,295
-1,-1
5,0
-1,-1
250,240
-1,-1
-1,-1
1071,713
1736,1294
1562,1193
1467,1067
145,180
1256,941
-1,-1
-1,1224
392,295
1411,1042
762,591
1398,1025
667,663
-1,-1
850,696
-1,-1
1711,1157
1374,1012
-1,-1
-1,-1
-1,-1
1524,1118
-1,-1
932,-1
90,70
71,99
598,475
980,675
1214,959
231,132
1638,1213
1185,-1
1740,1217
1487,1186
1725,1281
723,794
464,483
1562,1193
1075,488
537,382
1170,736
63,21
1116,923
1274,946
-1,-1
166,125
55,48
1403,1044
1372,988
1105,468
258,195
540,587
-1,-1
-1,-1
1647,1197
340,232
50,89
1768,1283
1368,1013
399,351
574,545
-1,-1
1207,836
128,38
1618,1122
-1,-1
826,-1
-1,-1
720,727
627,312
924,523
-1,460
855,-1
1090,333
1236,917
-1,-1
1567,1177
-1,-1
-1,-1
592,480
416,339
1734,1264
661,301
-1,-1
1499,1171
1451,-1
107,123
805,870
1540,-1
1215,958
85,151
-1,-1
1168,600
749,425
664,586
303,186
542,623
787,670
1190,940
1162,930
1803,-1
126,50
