ref,boot
1085,580
1593,1114
247,75
110,100
1294,940
996,853
147,53
599,623
312,240
851,708
8,14
1010,815
1422,-1
1233,834
-1,-1
1319,937
1536,1029
1237,956
738,325
1,2
1087,421
1589,1103
1611,1116
1301,892
-1,-1
1606,1121
-1,-1
510,733
-1,228
441,631
1812,1308
761,865
-1,-1
-1,200
293,229
-1,-1
464,440
272,186
-1,995
-1,-1
480,506
-1,-1
-1,-1
271,165
528,470
1004,658
126,109
-1,-1
1626,1180
-1,-1
1751,1217
-1,-1
-1,668
-1,-1
672,540
552,527
24,24
1454,1101
184,107
-1,-1
29,25
1029,481
-1,-1
132,65
-1,-1
-1,-1
1432,1018
1410,1002
1774,1289
-1,1312
-1,-1
118,69
690,856
141,-1
604,287
256,154
412,391
1606,1121
756,287
-1,1032
578,605
1581,1132
-1,921
525,434
274,153
228,95
575,606
424,344
1480,1156
-1,167
1338,912
694,-1
919,519
84,39
1777,1257
1237,956
664,662
1739,1300
1590,1181
1695,1272
-1,-1
1352,762
1801,1285
1112,-1
-1,-1
340,227
1513,1045
292,219
587,371
337,-1
256,154
105,85
1246,550
328,245
683,535
1239,-1
-1,-1
348,247
190,60
320,270
1735,1215
671,511
20,17
1395,1038
1635,1204
-1,-1
1773,-1
399,442
538,-1
183,157
78,83
958,-1
-1,995
70,46
1744,-1
1178,853
131,63
615,509
997,852
702,686
572,-1
1338,912
55,68
991,592
-1,402
-1,-1
1322,922
1431,995
420,400
1376,-1
550,466
245,175
1707,-1
1717,1246
1339,959
50,27
1535,1030
-1,-1
-1,158
1333,792
1739,-1
346,-1
1729,1199
132,65
986,490
1551,1050
-1,819
1536,1029
759,853
-1,287
856,626
920,520
1121,944
382,285
224,167
217,141
308,259
1160,957
668,705
258,86
1761,1302
157,134
-1,-1
1157,930
443,515
-1,-1
221,195
989,493
149,169
1121,944
1644,1207
1405,1022
1267,960
439,632
1152,676
1565,1125
583,698
927,552
1598,1098
1017,389
925,420
214,146
631,667
1172,416
1440,1052
1096,-1
969,600
676,719
1724,1211
1539,1192
1008,783
-1,254
218,178
-1,-1
525,393
583,699
1062,804
150,170
906,659
546,397
1463,1142
55,68
-1,157
1787,1292
678,306
73,28
463,440
1396,1056
