ref,boot
1753,1238
538,730
948,-1
1236,870
279,194
-1,-1
665,565
447,350
162,85
1806,1240
1103,557
907,663
1570,1249
206,200
-1,1080
996,761
1581,1138
84,46
525,714
203,173
60,15
1093,888
849,846
1480,1060
1484,-1
1384,1007
87,73
1282,810
560,534
1387,996
-1,-1
1527,982
643,762
384,283
-1,321
340,-1
485,527
45,30
1343,-1
476,372
-1,1279
1743,1282
1197,719
961,850
190,160
828,579
1048,858
-1,1087
574,683
1566,1093
1665,1122
1344,908
-1,-1
-1,221
1745,-1
1478,1078
1140,423
879,446
-1,-1
202,174
1257,-1
104,117
326,214
1099,489
1799,1300
757,-1
883,476
691,-1
325,177
777,631
102,60
-1,-1
1139,423
-1,-1
-1,-1
-1,448
267,250
-1,366
-1,-1
538,730
107,99
-1,-1
1210,968
1401,1013
-1,-1
-1,-1
-1,-1
773,601
290,230
1146,675
273,241
-1,92
1107,610
-1,-1
675,666
-1,461
1234,-1
52,84
101,79
1004,736
-1,-1
1184,965
1700,-1
1774,1216
427,317
829,473
-1,-1
1278,823
-1,-1
1442,1106
975,425
-1,171
1087,-1
1313,949
922,578
495,533
332,229
1686,1242
324,178
282,152
1253,935
1484,1074
1008,704
-1,-1
1364,950
-1,-1
128,126
1265,823
447,350
89,-1
444,345
1096,955
-1,-1
246,209
-1,220
373,281
-1,557
1776,1257
-1,-1
699,563
1795,1294
-1,-1
-1,452
720,886
888,472
654,320
1351,1009
1689,1095
512,655
1643,1245
670,393
1702,1179
-1,-1
184,87
1148,-1
1609,1197
-1,-1
866,364
977,386
448,-1
1737,1217
625,467
1289,674
-1,819
-1,-1
1039,822
-1,175
1802,1299
1199,699
761,918
-1,681
509,624
1299,911
1721,1202
-1,-1
664,566
-1,-1
1263,747
1670,1200
1469,1137
1171,412
1697,1172
1544,1079
346,245
632,755
989,441
887,340
1089,507
189,184
145,105
1456,1056
-1,195
341,254
1189,848
812,860
-1,-1
1544,1079
1229,716
1054,798
1372,836
877,417
-1,-1
1308,876
612,432
860,-1
136,108
-1,454
-1,-1
473,370
-1,301
1081,426
654,320
-1,800
554,637
1521,1012
1042,977
1063,786
833,357
-1,-1
972,664
199,14
1716,1226
-1,57
-1,-1
747,474
746,443
577,729
1141,553
-1,-1
1056,947
-1,-1
969,740
110,72
-1,963
492,562
951,819
-1,-1
888,472
-1,937
15,17
181,113
1689,1095
916,343
-1,-1
392,299
1593,1209
548,436
-1,-1
1553,1165
1419,1019
-1,577
-1,-1
359,256
-1,-1
642,668
1781,1169
286,219
210,158
504,301
874,341
344,268
1598,1223
1742,1283
1705,1094
1402,1015
705,667
1181,-1
773,601
1313,949
264,-1
680,414
914,556
1402,1015
1219,522
1758,1268
-1,-1
579,621
1713,-1
1068,808
25,21
83,46
484,592
-1,-1
338,188
101,79
1296,826
-1,930
-1,-1
632,755
829,473
1306,723
594,461
637,458
-1,-1
112,52
706,383
1010,775
1772,1258
340,266
1692,1126
-1,923
-1,144
1303,991
1404,915
150,93
935,339
5,7
501,353
1498,1188
426,316
690,764
1563,1100
1666,1122
1583,1018
268,138
135,108
1333,910
248,242
648,-1
552,502
1370,1011
1107,610
1600,1040
237,210
504,301
1233,993
826,-1
-1,1014
200,213
-1,-1
47,44
1149,694
-1,-1
1781,1169
932,-1
1106,676
348,248
1647,1262
1724,1220
797,340
1725,1174
1320,752
924,413
526,314
1515,1210
517,455
410,428
1219,522
-1,-1
823,710
1375,1026
412,300
284,-1
568,314
-1,1046
-1,-1
1730,1274
587,451
102,60
-1,-1
765,760
74,54
8,9
1721,1202
299,215
495,573
260,197
-1,305
-1,-1
348,248
525,633
-1,-1
299,215
-1,-1
-1,101
1625,1072
382,286
574,683
735,427
1160,964
570,635
470,459
1562,1208
1185,-1
1152,638
-1,-1
1703,1135
985,359
1729,1278
411,312
-1,148
221,167
975,425
1233,992
-1,-1
70,-1
349,204
-1,-1
1175,642
139,-1
90,66
541,-1
821,706
-1,-1
771,568
935,339
1350,1008
1459,1136
1763,-1
-1,-1
1549,1231
544,367
1547,1196
735,427
-1,458
920,515
925,-1
219,136
957,869
96,121
1785,1297
931,547
443,345
-1,-1
525,714
1386,1039
1442,1106
-1,50
-1,174
1729,1278
1289,674
-1,-1
889,471
967,773
1251,671
356,272
967,773
623,500
1588,1193
977,386
672,661
-1,884
1778,1266
334,176
530,301
1247,696
220,168
-1,-1
1432,1071
248,242
572,504
1253,935
-1,-1
68,119
472,369
-1,-1
1784,1298
764,820
481,401
1655,1170
798,377
1112,544
-1,-1
1324,874
600,497
149,94
-1,-1
340,265
229,-1
1404,915
-1,1218
1343,-1
66,13
1094,888
1570,1249
396,-1
1776,1257
1246,748
270,221
1245,749
467,651
1694,1199
1755,1255
1086,412
951,819
153,41
-1,-1
378,276
106,127
218,135
1381,961
-1,1151
-1,-1
1068,808
517,455
303,182
355,273
1399,1010
190,160
687,452
867,344
-1,-1
286,219
1523,1041
51,83
-1,-1
173,89
373,281
1037,403
1047,858
1484,1074
710,444
228,191
1397,-1
1030,550
1169,587
1538,1160
671,457
1244,-1
238,211
668,598
218,135
1791,1276
575,591
28,-1
1812,1272
320,222
339,187
-1,-1
1110,548
-1,-1
-1,197
85,109
1141,553
1800,1300
1622,1180
1498,1188
-1,-1
382,286
1031,359
95,80
1342,1006
1559,1189
368,263
1706,1097
971,791
1461,953
1419,1019
1420,939
701,599
1021,559
1004,736
238,211
1165,828
755,649
781,572
-1,-1
1198,678
-1,445
1351,1009
566,352
344,268
138,57
-1,-1
1292,900
483,-1
-1,1192
219,136
1412,1090
1181,-1
-1,-1
830,509
795,475
996,761
507,389
1427,1032
507,390
11,-1
-1,-1
817,628
443,345
14,3
-1,-1
89,114
1154,669
1222,834
833,357
-1,-1
1568,-1
1054,798
674,492
279,194
1791,1275
638,308
1176,695
1352,-1
1341,999
1455,1056
1447,1146
1774,1216
-1,329
-1,-1
