ref,boot
524,486
-1,1118
1481,1116
1749,1195
1575,1062
1626,-1
-1,-1
404,310
360,252
498,489
412,325
957,859
1109,609
190,32
1364,937
939,854
1727,1178
-1,889
219,127
1475,1130
766,504
1102,816
805,758
544,496
840,831
95,79
857,-1
1246,681
1712,1271
1461,586
823,764
1296,294
1480,1152
-1,-1
356,276
-1,-1
909,736
-1,-1
76,59
1573,1048
615,380
171,171
1131,280
812,851
664,700
85,114
1016,860
1025,637
593,497
399,-1
112,60
228,70
824,665
1812,1283
963,865
700,812
1005,840
465,446
-1,456
1524,1098
176,31
-1,-1
1686,1172
203,169
631,683
-1,-1
1540,1136
960,-1
97,136
-1,622
1407,-1
205,35
492,410
1098,272
221,145
519,312
348,-1
-1,-1
1667,1281
167,125
118,101
177,160
-1,-1
444,471
494,297
772,661
-1,-1
428,321
1179,1010
1488,1124
538,652
1308,966
534,373
1097,953
362,260
-1,-1
126,83
713,620
-1,-1
929,552
1699,1238
528,383
1078,742
1809,1294
1743,1111
874,747
262,78
-1,943
1780,1218
168,125
591,799
1005,840
883,601
-1,-1
-1,-1
383,-1
1774,1275
1624,1148
339,288
228,70
1655,1219
1524,1098
1191,960
776,626
1249,941
38,-1
1673,1247
912,818
1439,1045
131,154
744,636
1303,919
1160,943
-1,188
382,304
214,194
-1,190
423,315
1302,919
509,590
744,636
1513,1133
1190,1008
1322,1000
-1,-1
259,181
1128,273
1181,898
-1,-1
-1,-1
89,88
155,102
1797,1303
-1,140
220,146
1264,918
1474,1081
177,160
105,149
154,121
1135,970
-1,-1
-1,1155
-1,1133
979,750
-1,-1
761,873
785,705
924,549
706,600
743,-1
1008,690
424,315
553,371
786,668
761,873
977,780
145,133
979,750
1472,-1
175,91
1185,943
1753,1258
633,596
-1,-1
-1,-1
274,159
13,-1
481,345
1628,1212
4,3
112,60
709,602
1470,1142
733,-1
-1,195
1235,-1
-1,-1
-1,-1
1299,968
1201,641
1375,1022
-1,-1
179,152
1090,510
190,32
484,575
1188,981
1139,892
12,12
1722,1264
105,150
1497,1132
1495,1095
1531,1133
355,277
731,770
1491,724
1100,280
1603,-1
1286,-1
884,601
-1,-1
1692,1221
20,39
954,900
1175,643
495,443
127,84
1812,1283
1408,553
1269,286
517,454
-1,367
615,380
1189,954
609,-1
-1,-1
305,224
217,74
441,476
823,764
394,460
-1,-1
1116,963
1588,1049
936,733
-1,-1
597,-1
705,686
1188,981
623,-1
1342,991
-1,-1
516,429
848,763
1359,1038
-1,-1
-1,-1
493,-1
-1,28
279,227
1627,1214
1107,645
258,51
525,467
888,676
292,222
55,64
997,-1
1254,996
759,916
188,117
1016,860
924,549
701,777
1747,1267
381,306
943,835
1342,991
1504,1125
594,453
-1,-1
-1,536
1502,1155
5,4
-1,-1
110,177
705,686
-1,-1
-1,896
1437,1060
679,580
-1,-1
1397,412
1718,1167
900,877
1536,1157
-1,-1
891,608
-1,-1
507,393
889,607
1106,716
1368,1017
1480,1152
-1,-1
468,409
710,603
1262,942
896,387
-1,-1
197,-1
775,626
1241,987
-1,51
129,139
1209,878
1395,391
1537,1138
-1,1120
205,35
-1,-1
918,711
873,746
1802,1307
1044,876
636,539
-1,-1
1004,862
287,208
176,31
1296,294
1794,1305
68,112
