ref,boot
1004,-1
-1,1107
1612,1164
89,63
92,67
1407,1017
-1,-1
1362,982
1689,1092
-1,-1
359,259
17,-1
1058,779
344,271
-1,-1
711,447
67,89
937,341
184,209
72,59
-1,934
467,353
-1,-1
1268,825
-1,480
-1,-1
-1,-1
513,327
-1,509
1706,1100
508,311
567,577
1556,1134
522,562
1489,1062
-1,-1
-1,1037
357,236
-1,-1
96,60
73,49
1808,1281
1672,1190
1611,1237
51,29
1376,993
-1,428
470,395
359,259
1054,512
528,578
-1,192
690,454
1777,1261
568,617
890,505
1282,970
-1,-1
588,437
1736,1222
1333,955
185,113
828,478
257,46
1416,-1
-1,-1
238,51
8,6
-1,-1
-1,1071
580,-1
409,323
1796,1279
138,119
881,684
1012,867
977,845
342,242
1031,650
1382,-1
1397,1003
1336,-1
368,275
1559,1087
1560,1019
-1,-1
-1,527
-1,-1
236,221
1206,901
283,185
554,450
1397,-1
180,92
1477,1064
379,284
-1,681
407,329
519,382
1499,1147
515,338
266,170
325,217
334,244
378,270
535,398
1369,914
194,92
-1,-1
155,132
165,168
570,-1
93,75
-1,-1
1397,1003
584,580
681,368
1401,1010
1791,1277
72,59
500,528
1205,917
477,510
687,326
1318,952
413,294
519,383
-1,203
334,244
690,454
190,35
1576,1118
1529,1133
-1,-1
-1,-1
934,543
1491,1054
996,882
1781,1264
500,528
849,584
643,401
1783,1272
-1,504
1347,-1
1645,1176
499,473
1016,812
-1,-1
1604,1195
1016,-1
1423,1090
1620,1082
650,441
-1,1014
-1,-1
425,352
1224,753
1314,965
-1,-1
505,413
1308,977
975,784
972,-1
-1,-1
-1,-1
361,263
818,552
-1,934
518,345
1805,1280
1279,857
1312,931
406,344
1471,1094
134,85
1497,1126
227,147
1536,1039
304,258
-1,-1
433,-1
1174,764
1168,932
1121,804
315,227
-1,965
85,74
287,167
808,514
110,78
1067,869
833,387
1105,765
307,205
1528,1122
1485,1071
199,-1
690,454
787,678
452,391
-1,-1
444,365
774,517
887,695
-1,-1
399,321
-1,-1
-1,-1
1739,1208
-1,459
1357,968
32,17
1178,883
1697,1201
53,54
773,670
-1,855
-1,327
72,59
983,611
1798,1275
1698,1258
1673,1216
1547,1193
-1,483
1497,1126
229,-1
21,24
833,387
348,-1
1334,963
1210,547
496,471
1228,851
-1,740
929,613
353,203
1699,1259
-1,-1
1765,1225
-1,-1
427,379
445,324
634,440
-1,459
-1,512
-1,25
1383,998
348,-1
1279,857
1319,980
525,816
-1,-1
1280,949
-1,-1
1716,1226
-1,-1
702,496
1746,1248
163,94
1270,944
248,225
347,247
1399,-1
794,644
753,778
1046,743
421,374
242,179
1428,1066
478,480
-1,-1
-1,-1
490,-1
-1,330
696,-1
1037,451
-1,-1
1782,1273
543,384
126,-1
65,81
102,104
57,47
336,-1
941,860
1215,940
709,608
1805,1280
517,377
-1,-1
1790,1278
575,-1
729,634
-1,-1
644,401
459,410
1700,1161
348,-1
-1,178
158,116
-1,-1
1113,508
-1,-1
-1,349
1622,1196
-1,-1
574,492
1244,818
824,635
-1,-1
1028,848
1330,-1
559,406
112,102
51,29
1764,1225
1112,615
-1,330
677,530
46,-1
1165,887
388,292
643,401
376,283
848,549
-1,-1
339,251
1590,1152
166,169
1338,979
89,63
-1,-1
1784,1269
-1,-1
1551,1121
118,42
1129,828
806,586
767,461
-1,689
363,-1
1675,1198
922,691
1636,1200
272,123
12,11
699,497
-1,-1
1530,1095
-1,-1
238,51
1256,825
1301,971
-1,-1
-1,46
16,3
692,711
1222,891
1440,1097
41,34
826,936
1713,1212
221,-1
319,224
139,37
-1,-1
535,398
1218,926
1644,1177
1660,-1
1215,940
753,778
-1,-1
1771,-1
1085,730
-1,-1
1771,1293
82,72
536,403
1514,1129
858,592
-1,-1
1725,1157
-1,401
136,108
784,724
1013,868
38,-1
131,152
1427,1043
-1,1207
565,475
1295,974
89,63
-1,934
1624,1076
1597,1067
-1,1225
956,656
193,92
348,277
1224,753
556,416
1064,-1
-1,327
477,510
1608,1194
92,67
344,271
-1,-1
-1,-1
433,-1
1425,1070
826,936
401,294
946,744
931,538
-1,-1
552,396
1119,834
1233,547
1611,1237
-1,-1
452,391
97,61
410,323
125,93
-1,938
935,479
846,-1
1666,1180
234,165
332,-1
1635,1081
694,453
636,394
-1,-1
104,97
1184,806
69,76
1446,1040
192,100
720,456
1687,1240
1550,1121
785,677
137,118
693,423
-1,-1
249,226
1737,1262
1045,743
438,361
1785,1268
846,807
973,673
1518,1032
486,357
540,354
1660,1270
1562,1068
453,430
1377,1001
-1,928
700,523
-1,-1
1473,1069
-1,-1
-1,312
142,151
-1,-1
-1,880
366,255
1497,1126
297,190
775,627
1013,868
1427,1043
356,274
65,81
1154,736
188,161
1522,1116
348,277
1467,1111
904,-1
1442,1048
317,-1
1368,939
399,321
-1,508
1787,-1
293,220
1534,1086
1386,928
527,578
-1,-1
93,75
-1,736
1681,1072
1515,1073
34,23
278,234
298,246
745,570
1014,909
406,344
486,357
1351,991
456,433
-1,-1
890,505
574,492
1457,1069
1652,1232
318,223
362,256
1109,821
483,422
627,315
1144,-1
1748,1256
-1,-1
-1,-1
370,279
-1,-1
1798,1275
-1,636
1539,-1
-1,-1
521,-1
-1,-1
50,45
1190,927
865,754
348,290
-1,624
1177,883
1267,800
1109,821
-1,-1
1059,780
714,842
770,628
-1,177
1658,1166
-1,-1
251,182
806,586
102,104
620,481
-1,-1
162,112
783,-1
188,161
1396,999
-1,-1
-1,-1
-1,47
-1,-1
996,882
109,77
1471,1094
1097,829
719,773
1398,-1
1408,-1
259,126
652,500
1570,1154
861,840
1437,-1
1186,830
1262,824
861,840
1642,1251
693,423
578,427
1206,901
-1,405
-1,748
1110,822
868,639
1404,1007
41,34
-1,178
58,68
637,394
739,532
525,816
42,57
521,498
463,349
20,20
1182,920
47,40
1015,923
622,483
714,842
384,309
251,182
1250,767
972,-1
1101,-1
714,842
351,-1
1142,733
-1,-1
1154,736
19,19
-1,268
-1,-1
254,143
1026,503
-1,-1
-1,-1
1070,922
713,841
-1,-1
538,404
1700,1162
342,242
1427,1043
249,226
-1,1033
1584,1188
861,840
762,515
68,88
179,140
386,267
200,21
66,69
1135,921
1232,664
404,378
1392,996
254,143
1156,663
254,143
739,532
416,364
1546,1103
299,245
1688,1239
229,-1
1182,920
756,288
839,490
212,196
135,107
138,119
-1,-1
82,72
248,225
-1,-1
1120,835
-1,-1
1069,889
205,38
149,129
181,65
333,215
510,358
1552,1035
929,613
840,489
1645,1176
560,632
-1,444
1338,979
966,716
121,-1
388,292
389,281
1721,1254
1529,1133
326,230
1195,722
305,166
973,673
1389,989
1447,-1
68,88
1150,702
1749,1123
1109,821
1449,-1
441,385
205,38
1626,1130
1334,963
443,365
227,147
-1,-1
1599,1245
731,556
697,545
756,288
966,716
593,428
723,488
551,396
1198,795
-1,657
248,225
80,87
1343,897
750,414
1635,1081
826,912
-1,-1
1325,986
-1,735
731,556
1253,657
1017,600
891,505
824,635
58,68
785,677
1634,1082
-1,-1
1737,1262
599,797
1564,1038
-1,-1
471,473
1524,1141
1744,1235
14,5
260,127
924,694
885,644
348,277
360,262
888,504
1762,1248
979,792
812,710
44,12
915,788
702,496
-1,-1
-1,-1
1742,1285
1781,1264
-1,-1
-1,1174
1386,928
-1,-1
-1,1128
1414,1011
567,577
954,-1
-1,1092
1319,980
885,644
1661,1182
1805,1280
-1,-1
278,-1
364,191
331,248
-1,-1
-1,-1
923,760
979,792
224,134
1087,645
-1,629
463,349
185,114
-1,10
545,468
150,158
1329,854
1373,975
380,269
-1,-1
1308,978
747,610
874,683
422,-1
576,-1
-1,-1
599,797
823,747
-1,1058
835,331
544,467
-1,625
1513,1096
-1,-1
23,10
532,-1
1426,1044
-1,211
226,148
-1,-1
53,54
652,500
-1,-1
885,644
788,789
1391,996
798,448
702,496
79,70
-1,-1
1013,868
1254,-1
1648,1192
65,81
8,6
230,-1
245,199
856,555
-1,-1
-1,636
424,350
1121,804
149,129
1200,763
-1,589
-1,-1
449,307
1783,1272
1080,911
-1,-1
22,7
250,181
-1,-1
1168,932
1,1
152,82
665,470
1377,1001
947,744
1029,759
-1,-1
1143,690
-1,-1
1249,823
1579,1087
271,235
1379,1001
242,179
93,75
1730,1175
218,155
-1,737
1716,1226
-1,-1
381,269
-1,-1
955,771
235,165
884,687
1390,-1
-1,-1
249,226
-1,-1
217,188
1814,1287
-1,-1
441,386
524,564
526,617
1097,829
720,456
24,18
718,624
793,607
1605,1023
809,623
228,52
662,590
607,458
1197,794
1126,881
995,342
364,191
-1,-1
495,524
1802,1283
-1,-1
259,126
333,215
1202,796
517,377
29,9
-1,1227
776,627
1548,1137
1106,646
1250,767
-1,-1
1488,1062
485,357
100,66
1104,847
-1,509
-1,-1
