ref,boot
1621,-1
1563,1156
1633,-1
245,-1
260,186
1310,946
-1,939
1660,1225
1229,911
1314,969
882,470
1141,503
-1,-1
-1,359
1498,1200
1349,413
1309,945
616,337
162,143
710,468
1569,1106
1375,1003
282,202
495,528
1270,297
475,310
723,517
-1,1029
1546,1068
534,725
1290,975
18,20
1022,578
1623,1069
479,495
612,373
1618,-1
-1,1173
441,370
-1,1032
817,635
-1,433
969,598
1726,1194
1055,-1
554,765
1812,1227
-1,796
537,454
609,444
1658,1038
1094,587
435,270
680,-1
1743,1261
602,724
1069,716
1226,871
107,-1
287,154
-1,-1
520,355
1014,-1
407,300
410,387
1506,1049
-1,-1
1111,-1
-1,178
78,85
1395,626
1497,1171
1684,1129
1647,1215
-1,-1
1028,808
872,615
1740,1151
152,106
1199,889
146,135
-1,575
-1,-1
1623,1069
-1,-1
-1,1030
100,121
56,63
14,10
78,85
1467,1036
538,550
243,248
-1,-1
676,641
1339,985
202,134
-1,-1
-1,-1
808,708
102,92
-1,-1
1328,964
-1,421
650,489
273,167
-1,-1
311,227
545,322
1403,1010
837,785
410,388
-1,132
599,720
646,482
343,-1
263,205
1414,1018
421,317
735,358
978,775
362,266
919,469
150,172
1089,802
1737,1182
1218,905
-1,1116
491,-1
1139,699
537,454
1027,774
-1,-1
495,528
594,421
-1,177
1528,-1
3,2
147,136
-1,-1
1278,950
415,-1
1699,1264
-1,1245
668,420
1077,433
449,303
1702,1251
-1,-1
1768,1167
-1,-1
1532,1117
663,-1
1562,1159
55,104
-1,896
-1,-1
1158,854
-1,1034
882,470
-1,289
1213,-1
-1,423
317,253
1705,1110
1119,827
-1,-1
316,-1
47,66
1528,-1
1045,669
554,765
1346,956
441,370
1752,1267
818,461
888,690
929,610
1753,1168
956,878
529,423
1219,905
-1,-1
1017,360
1415,1018
1294,970
235,118
-1,413
1427,1055
1181,965
864,703
1331,747
1235,948
-1,-1
505,721
1745,1181
1647,1215
1251,899
-1,-1
258,75
158,14
944,546
282,202
-1,-1
-1,-1
283,210
304,255
1174,736
286,204
1317,932
1598,1134
-1,-1
589,328
1558,1163
-1,-1
-1,351
1103,811
389,343
1658,1038
409,387
221,150
1808,1280
903,748
66,84
957,877
603,506
1016,795
1582,1092
340,268
1509,1075
706,472
476,356
361,221
468,441
1169,660
131,128
807,707
984,903
1565,1083
1190,906
-1,-1
-1,-1
842,548
97,53
125,122
1704,1155
713,718
866,701
690,447
140,146
442,372
517,320
906,634
1048,791
409,387
672,490
1437,1027
278,260
184,177
-1,-1
259,185
1762,1153
131,128
1003,516
829,-1
-1,-1
535,726
339,246
-1,1111
441,333
219,148
1295,514
1259,616
30,59
1243,809
-1,932
1559,1137
1593,1172
90,99
1105,649
689,448
1006,523
661,437
37,82
1218,905
-1,-1
328,238
906,634
58,57
615,337
477,568
-1,-1
131,128
424,340
-1,-1
948,792
600,763
25,58
194,140
594,421
1487,1126
540,-1
1524,1030
314,244
1466,1023
24,51
1005,523
-1,-1
406,379
234,118
1348,989
535,726
-1,339
699,487
870,618
-1,-1
-1,40
552,839
-1,242
-1,43
881,471
-1,-1
919,469
-1,1066
885,501
823,717
584,766
1732,1269
-1,698
1003,516
445,362
-1,67
1423,1074
1228,922
46,78
-1,-1
-1,-1
1106,686
1797,1285
-1,-1
1488,1048
510,367
1054,515
-1,-1
177,142
304,255
270,199
826,652
1006,523
38,64
265,-1
1755,1149
97,53
1669,1238
-1,-1
579,585
902,-1
1301,974
1036,500
1446,624
1671,1237
1391,926
1197,892
1506,1049
-1,-1
251,46
-1,-1
-1,-1
1283,940
-1,391
-1,-1
875,697
1247,733
453,-1
-1,-1
348,257
1341,984
1579,1138
450,350
488,313
228,96
810,590
-1,-1
1724,1230
397,291
238,95
1303,916
-1,-1
833,727
-1,-1
-1,-1
648,543
443,334
628,440
583,888
76,49
437,330
1430,1008
293,232
165,47
914,655
1197,892
713,718
1746,1153
1268,390
95,91
177,142
303,254
1393,665
1310,946
90,99
383,271
-1,-1
-1,1177
1563,1156
-1,-1
525,378
558,395
1698,1263
-1,-1
-1,-1
118,105
188,156
818,461
393,302
-1,-1
939,668
1585,1108
-1,-1
173,118
272,176
664,485
-1,-1
-1,-1
368,-1
1144,612
1568,1031
1176,689
955,879
-1,-1
412,404
1377,913
764,-1
163,-1
-1,737
1619,1190
775,561
1301,974
550,424
-1,-1
-1,-1
-1,-1
816,551
-1,258
1308,981
682,571
1338,983
-1,-1
1149,868
1517,1103
1427,1055
771,557
-1,-1
-1,-1
1006,523
1408,-1
543,706
418,-1
494,380
-1,105
481,607
-1,155
510,367
894,608
443,334
977,739
-1,-1
368,-1
-1,-1
-1,-1
1311,932
1552,1045
1433,1043
337,-1
363,-1
1438,1027
-1,-1
1644,1222
1581,1092
675,600
1068,715
1670,1236
-1,-1
364,187
276,223
1748,1235
-1,-1
-1,337
112,67
1651,1086
-1,-1
1448,-1
-1,-1
147,136
1726,1194
1312,963
119,-1
817,635
1491,663
818,461
753,761
-1,-1
771,557
1584,1107
-1,-1
345,258
800,798
-1,-1
765,452
1013,759
1321,973
767,756
732,639
1780,1178
1517,1103
414,-1
521,463
223,184
1741,1131
477,568
1185,919
1458,1041
255,222
215,126
-1,-1
-1,293
1689,1111
1500,1089
-1,224
62,87
96,52
1670,1236
1812,1227
-1,-1
1271,296
937,873
-1,-1
1145,648
-1,391
1181,-1
-1,-1
143,127
50,37
1584,1107
145,93
55,104
1476,1064
295,194
1374,1004
979,737
-1,669
-1,826
829,-1
149,162
717,584
31,59
-1,-1
-1,-1
74,38
1516,1199
1614,1217
1459,1040
210,200
1324,973
578,369
437,330
592,374
556,349
76,49
1372,512
1483,1058
1479,1125
-1,1008
-1,627
308,229
1696,1248
-1,571
-1,-1
-1,-1
783,-1
163,155
1209,627
411,324
676,640
-1,-1
-1,-1
255,222
113,12
107,131
472,402
1498,1200
119,116
1066,833
979,737
1169,661
217,171
-1,-1
900,629
530,534
1114,863
-1,-1
1781,1195
626,767
-1,-1
-1,772
1437,1027
1275,845
1064,677
905,553
1069,716
822,526
256,163
453,-1
1809,1232
618,-1
1521,-1
-1,1032
-1,1154
655,408
135,35
89,100
1013,759
833,727
105,33
536,453
679,430
835,740
1512,1139
1536,1157
966,757
519,426
1333,745
-1,-1
1366,780
1378,993
-1,-1
1088,901
399,287
-1,-1
-1,1033
63,86
787,539
-1,1178
959,508
349,218
-1,188
-1,-1
1352,819
-1,7
755,476
781,336
566,762
1111,-1
1801,1283
1241,931
638,409
-1,-1
315,216
775,561
1016,795
1559,1137
133,12
567,861
895,608
-1,-1
-1,-1
-1,199
1630,1020
432,425
566,762
118,105
-1,-1
864,703
595,421
510,367
-1,-1
1401,1009
-1,1076
234,118
204,180
882,470
-1,-1
-1,1032
313,250
128,137
1002,632
1792,1277
773,559
-1,-1
1700,1254
1716,1242
739,431
1717,1265
1259,616
747,692
996,850
-1,-1
220,149
31,59
1196,836
1028,808
299,197
-1,-1
845,829
96,52
1579,1138
282,202
14,10
1406,1012
732,639
1366,780
68,113
146,135
1497,1171
1642,1205
69,103
260,186
317,253
1253,938
97,53
-1,-1
1491,663
1003,516
1000,791
1243,809
-1,-1
1431,1008
273,167
510,368
-1,187
847,445
-1,35
1649,1240
1091,874
931,609
935,862
1376,914
-1,-1
880,695
1624,1070
81,68
1572,1121
647,483
1601,1084
1197,892
1764,1276
1005,523
1430,1008
1088,901
971,678
412,404
1558,1163
-1,-1
304,255
407,300
208,40
820,525
-1,-1
1455,1160
-1,-1
441,370
1197,892
1142,503
1800,1272
1169,661
1798,1284
824,434
883,428
978,775
314,244
1478,1097
1428,1014
82,68
615,337
188,156
1498,1200
678,474
1607,1052
748,538
1141,503
1325,982
1173,890
-1,-1
262,109
42,9
-1,-1
-1,-1
461,311
1508,1024
554,765
-1,-1
1808,1280
-1,-1
531,535
329,219
330,219
-1,-1
1133,831
335,240
1209,627
1430,1008
-1,14
1599,1088
1334,479
982,805
683,760
692,520
48,-1
242,183
880,695
663,-1
1112,-1
817,635
-1,125
16,-1
1567,1028
765,452
136,35
1229,911
89,100
959,508
214,201
986,870
102,92
180,140
-1,-1
957,877
278,-1
-1,-1
-1,789
1784,1274
927,770
1635,1166
1031,902
709,406
250,45
746,468
710,468
5,4
166,47
155,159
1343,987
1779,1178
334,239
1787,1278
76,49
32,43
578,369
758,507
1483,1059
1595,1241
1718,1051
-1,-1
1604,1128
631,457
72,29
1409,1007
1033,-1
184,177
319,213
41,-1
665,418
1784,1274
854,553
-1,563
1593,1172
1011,638
1391,926
557,543
1711,1066
-1,-1
485,331
227,55
-1,1169
1368,997
1674,1208
1190,906
784,580
-1,-1
196,193
1456,1160
295,194
1676,1079
708,-1
874,614
212,181
-1,-1
1240,941
470,323
1308,981
-1,-1
857,556
102,92
-1,-1
-1,-1
1390,996
1791,1192
-1,-1
1442,1057
1325,982
961,-1
1008,714
320,182
205,30
250,45
-1,-1
-1,-1
374,234
1194,930
-1,1051
390,280
1266,959
-1,601
652,410
544,321
-1,-1
-1,-1
1389,876
-1,854
-1,-1
668,420
369,282
1245,688
1615,1214
585,439
-1,299
-1,1167
-1,-1
1391,926
1375,1003
140,146
-1,-1
926,-1
567,860
784,580
-1,484
1102,814
984,903
458,532
-1,774
852,552
196,193
1352,819
1220,-1
1416,-1
1580,1138
615,337
-1,-1
-1,-1
-1,-1
-1,-1
-1,939
985,903
271,259
126,144
1318,932
474,310
709,406
1531,1035
1013,759
1711,1066
424,340
425,496
463,393
803,815
807,707
677,341
1694,1260
-1,133
1004,560
737,505
997,883
519,426
1466,-1
55,104
454,376
785,619
963,554
1566,-1
1481,1062
445,362
157,14
174,130
1665,1207
392,344
1600,1087
1706,1132
913,656
671,459
850,592
-1,-1
1487,1126
1071,354
237,94
-1,-1
55,104
1190,906
1008,714
625,767
1669,1238
501,-1
-1,118
1693,1147
1495,1094
1149,868
1411,541
464,394
-1,11
32,43
1426,1056
447,301
1064,677
515,545
-1,-1
-1,-1
695,586
1365,744
110,-1
607,351
1677,1037
1358,443
1814,1228
871,617
253,56
476,356
-1,125
-1,-1
-1,-1
210,200
1141,503
-1,-1
24,51
-1,-1
487,293
459,467
978,775
450,350
1165,674
1085,776
1004,560
116,42
-1,1275
1023,578
1074,385
1524,1030
44,70
1097,907
-1,-1
1661,1119
424,340
1089,802
1652,1065
1812,1227
1205,928
1624,1070
1763,1131
1242,809
372,274
1160,-1
1218,905
-1,-1
359,263
-1,-1
8,22
708,-1
581,355
-1,11
428,605
1732,1269
1473,1136
1408,510
-1,-1
1029,807
983,771
476,356
-1,-1
1034,844
16,-1
785,-1
712,797
-1,-1
1272,952
409,387
1743,1261
347,256
-1,1021
1792,1277
502,531
1,1
-1,828
1353,994
429,405
282,202
664,485
250,45
483,351
959,508
1611,1204
1714,1102
1307,967
1789,1252
646,482
1671,1237
1393,666
404,338
1513,1035
-1,-1
1290,975
238,95
1383,-1
1670,1236
-1,-1
-1,354
1167,353
1537,1071
1335,478
1569,1106
1281,966
968,598
1004,560
-1,-1
1461,778
793,613
1427,1055
748,538
-1,-1
1236,933
342,220
74,38
890,803
-1,-1
215,126
-1,-1
64,50
1094,587
1098,365
1611,1204
1711,1066
-1,-1
-1,337
-1,-1
582,355
-1,40
1570,1076
1283,940
-1,-1
517,320
589,328
1390,-1
796,693
1011,638
882,470
1102,814
1116,882
1170,809
355,277
1549,1122
1631,1029
-1,-1
165,47
1418,-1
1424,1074
1428,1014
882,470
621,722
-1,809
1684,1129
43,44
356,276
20,28
1070,910
-1,916
-1,543
675,600
1625,1243
55,104
190,74
38,64
-1,995
1012,638
696,586
-1,752
719,881
-1,-1
594,421
1565,1083
308,229
1075,582
-1,509
1330,-1
413,294
1529,1104
1778,1177
726,709
19,31
729,593
1008,714
1432,1044
922,738
-1,-1
1611,1204
384,279
1532,1117
1224,359
911,812
677,341
496,462
1726,1194
543,706
1353,994
1389,876
1258,931
-1,-1
-1,-1
36,60
-1,1173
685,777
-1,-1
107,131
1732,-1
-1,-1
251,46
1047,790
1271,296
295,194
837,785
54,65
-1,-1
591,-1
849,820
-1,130
200,61
774,460
-1,587
1270,297
889,646
1068,715
1254,960
397,291
1072,354
964,-1
1505,1047
369,282
5,4
-1,-1
156,157
1147,731
-1,429
232,190
1316,972
1264,971
340,268
1374,1004
877,650
787,539
-1,1025
195,-1
1727,1033
1812,1227
1228,922
-1,-1
1190,906
1739,-1
294,194
1259,616
1538,1071
620,887
-1,1011
534,725
901,820
-1,-1
1168,660
1396,665
1400,1005
-1,555
883,428
1075,582
-1,197
826,653
1260,616
710,468
-1,-1
1250,899
1744,1112
664,485
162,143
347,256
1262,953
-1,-1
1481,1062
819,525
1241,-1
336,216
-1,-1
1761,1153
1659,1038
386,-1
553,841
1353,994
538,-1
-1,-1
738,432
-1,-1
947,754
950,299
923,806
141,-1
-1,508
-1,503
1348,989
163,155
815,633
-1,-1
425,-1
-1,-1
1265,949
1047,790
-1,1102
1517,1103
1267,959
1110,920
1812,1227
1479,1125
715,818
-1,-1
965,524
145,93
1132,947
895,608
308,229
406,379
1306,363
1136,-1
529,423
804,787
-1,-1
1506,1049
148,48
246,102
139,-1
-1,-1
1304,951
1419,1016
-1,-1
7,6
1746,1153
856,556
1195,835
1189,927
-1,1011
1626,-1
524,494
1672,1226
-1,-1
594,421
1108,729
1415,-1
615,337
119,116
-1,-1
231,191
208,40
-1,-1
-1,-1
339,251
1261,955
822,526
730,-1
118,105
578,369
719,881
1056,908
1175,735
569,495
1355,-1
-1,242
999,789
1364,1001
709,406
-1,1029
570,569
-1,-1
1335,478
904,942
63,86
292,231
600,763
226,54
336,216
-1,-1
-1,699
874,614
1472,1113
937,873
881,471
957,877
157,14
-1,1023
125,122
1743,1261
97,53
502,531
619,837
348,257
1758,1189
1376,926
542,705
271,259
1495,1094
805,786
563,377
-1,914
950,299
-1,-1
-1,-1
340,268
633,419
-1,767
1706,1132
1009,713
