ref,boot
1721,1284
1741,-1
510,365
-1,1188
502,463
513,311
1563,1167
832,-1
10,10
1220,867
153,95
-1,-1
-1,-1
1558,1231
-1,-1
1305,473
404,341
246,213
-1,-1
1577,1186
846,-1
1620,1160
1286,987
547,485
1563,1167
1131,379
1647,1257
-1,6
537,397
-1,-1
-1,444
-1,241
-1,-1
457,350
1112,-1
447,340
1293,911
-1,-1
991,781
1476,1121
1001,944
-1,-1
1197,810
470,369
272,102
900,-1
692,751
364,236
584,749
807,857
808,858
260,122
822,616
957,645
1770,1206
376,288
-1,-1
961,798
465,361
205,225
871,766
7,4
955,472
1412,1086
325,219
356,273
1597,1168
787,722
-1,-1
466,361
1440,1068
525,408
-1,217
1739,1180
1742,1276
1418,1043
893,739
5,-1
1443,1094
1519,1130
852,529
110,177
664,614
599,593
48,90
-1,-1
14,3
1583,1088
-1,-1
601,748
1160,995
32,48
456,349
1484,1060
102,112
-1,-1
250,223
-1,-1
441,425
1440,1068
1561,1093
-1,5
1767,1270
783,833
1764,1229
956,644
-1,-1
828,584
1660,1290
603,446
1574,1176
1516,1136
320,252
1667,-1
994,510
971,796
1364,917
1599,1103
-1,54
914,807
1310,987
-1,-1
110,-1
218,101
358,281
498,370
259,123
1643,1252
1236,825
-1,-1
263,163
1414,1078
757,702
-1,-1
976,901
971,797
-1,-1
1461,419
180,138
697,553
-1,249
-1,-1
-1,-1
163,38
1484,1060
1396,1069
1243,691
1497,1131
1129,322
-1,-1
715,376
254,154
1013,716
1,0
-1,-1
1563,1167
512,311
-1,15
882,659
1253,862
1782,1309
1707,1150
38,17
100,61
1728,1047
1070,922
-1,-1
866,835
348,279
410,-1
792,689
-1,389
307,233
1558,1231
1071,621
1654,1260
47,41
-1,-1
-1,-1
1102,-1
662,750
1132,-1
-1,-1
1761,1237
1481,1156
595,389
-1,-1
138,63
3,2
1239,325
-1,-1
1258,-1
323,-1
58,85
1729,1264
494,454
42,15
424,395
629,-1
763,679
1051,945
270,174
902,-1
213,166
-1,-1
163,38
-1,-1
-1,-1
750,673
828,584
162,77
-1,-1
271,203
997,-1
1739,1180
-1,967
1202,-1
-1,-1
-1,1048
1302,561
608,513
587,309
261,97
497,387
1655,1266
485,366
378,285
1665,1119
1527,548
-1,-1
1621,1258
158,20
650,499
33,18
-1,-1
-1,-1
1097,-1
12,9
1159,963
1204,965
92,61
97,147
-1,363
824,801
1175,694
1556,1142
144,158
441,-1
314,-1
121,143
257,241
714,742
1215,708
1320,-1
1432,1055
1579,1054
32,48
1014,866
250,223
1437,1099
1564,1166
384,294
-1,-1
-1,670
864,899
19,33
1444,1065
1721,1284
1069,652
439,315
1764,1229
1584,1215
1084,808
834,417
655,625
230,-1
-1,-1
1076,721
87,91
1060,649
282,207
-1,-1
-1,-1
447,340
109,145
-1,30
918,628
-1,97
444,359
118,74
1158,964
379,289
1218,1011
-1,1170
-1,-1
482,444
193,139
400,-1
-1,-1
929,878
289,173
41,32
1120,946
1155,969
92,61
1427,1075
1248,670
704,570
1567,1181
-1,-1
648,-1
147,161
1353,917
232,135
596,392
857,566
1481,1156
119,72
47,41
610,-1
1419,1042
1214,707
1652,1212
682,675
308,232
-1,-1
86,91
110,188
703,568
1602,-1
1334,1018
988,740
997,-1
1696,1236
1052,993
893,739
1570,1132
828,584
251,224
1458,1092
-1,911
825,-1
-1,-1
566,507
1411,396
62,28
1196,868
518,480
-1,-1
-1,1098
263,-1
211,86
1395,1045
1482,1084
-1,-1
568,462
-1,-1
996,931
1298,1003
750,673
221,98
420,333
611,430
863,657
-1,-1
1274,1027
1401,1037
1101,800
1450,1118
809,641
1336,677
-1,-1
1673,1267
1781,1207
495,405
-1,-1
-1,-1
1252,861
-1,486
1724,1201
1416,1053
779,616
530,743
-1,-1
339,243
1439,1068
452,447
748,452
709,630
1061,891
1196,868
969,503
1395,1045
721,859
127,133
1241,1019
324,194
-1,-1
292,-1
1190,1010
-1,-1
301,165
1768,1269
1425,1053
