plane_id,n_sats,n_clusters,cluster_ids,max_cluster_sats,max_cluster_frac
8,15,4,"[np.int64(662), np.int64(765), np.int64(949), np.int64(950)]",8,0.5333333333333333
30,15,2,"[np.int64(1270), np.int64(1271)]",10,0.6666666666666666
2,14,3,"[np.int64(442), np.int64(463), np.int64(464)]",7,0.5
0,14,4,"[np.int64(491), np.int64(492), np.int64(515), np.int64(516)]",5,0.35714285714285715
12,14,4,"[np.int64(812), np.int64(813), np.int64(1206), np.int64(1207)]",5,0.35714285714285715
18,14,4,"[np.int64(691), np.int64(841), np.int64(944), np.int64(945)]",5,0.35714285714285715
28,14,2,"[np.int64(1295), np.int64(1296)]",8,0.5714285714285714
55,13,4,"[np.int64(1540), np.int64(1631), np.int64(1632), np.int64(1718)]",5,0.38461538461538464
68,13,4,"[np.int64(1413), np.int64(1429), np.int64(1727), np.int64(1728)]",7,0.5384615384615384
41,12,3,"[np.int64(1590), np.int64(1708), np.int64(1709)]",6,0.5
46,12,4,"[np.int64(1559), np.int64(1682), np.int64(1751), np.int64(1752)]",4,0.3333333333333333
19,12,3,"[np.int64(814), np.int64(847), np.int64(848)]",5,0.4166666666666667
64,11,3,"[np.int64(1756), np.int64(1779), np.int64(1780)]",6,0.5454545454545454
69,10,4,"[np.int64(1421), np.int64(1492), np.int64(1526), np.int64(1527)]",3,0.3
10,10,3,"[np.int64(1051), np.int64(1231), np.int64(1232)]",6,0.6
13,8,3,"[np.int64(719), np.int64(836), np.int64(1118)]",4,0.5
66,8,2,"[np.int64(1658), np.int64(1659)]",5,0.625
