Satellite 	COSPAR 	Date 	LS 		Launch Vehicle 	Remarks
Starlink v1.5 G2-1-1 (Starlink 3096) 	2021-082B 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-2 (Starlink 3090) 	2021-082C 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-3 (Starlink 3077) 	2021-082D 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-4 (Starlink 3078) 	2021-082E 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-5 (Starlink 3073) 	2021-082F 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-6 (Starlink 3084) 	2021-082G 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-7 (Starlink 3055) 	2021-082H 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-8 (Starlink 3058) 	2021-082J 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-9 (Starlink 3057) 	2021-082K 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-10 (Starlink 3118) 	2021-082L 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-11 (Starlink 3093) 	2021-082M 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-12 (Starlink 3042) 	2021-082N 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-13 (Starlink 3109) 	2021-082P 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-14 (Starlink 3100) 	2021-082Q 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-15 (Starlink 3119) 	2021-082R 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-16 (Starlink 3116) 	2021-082S 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-17 (Starlink 3071) 	2021-082T 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-18 (Starlink 3048) 	2021-082U 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-19 (Starlink 3053) 	2021-082V 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-20 (Starlink 3104) 	2021-082W 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-21 (Starlink 3102) 	2021-082X 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-22 (Starlink 3081) 	2021-082Y 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-23 (Starlink 3072) 	2021-082Z 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-24 (Starlink 3068) 	2021-082AA 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-25 (Starlink 3060) 	2021-082AB 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-26 (Starlink 3085) 	2021-082AC 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-27 (Starlink 3051) 	2021-082AD 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-28 (Starlink 3083) 	2021-082AE 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-29 (Starlink 3056) 	2021-082AF 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-30 (Starlink 3095) 	2021-082AG 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-31 (Starlink 3080) 	2021-082AH 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-32 (Starlink 3082) 	2021-082AJ 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-33 (Starlink 3088) 	2021-082AK 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-34 (Starlink 3106) 	2021-082AL 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-35 (Starlink 3052) 	2021-082AM 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-36 (Starlink 3089) 	2021-082AN 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-37 (Starlink 3054) 	2021-082AP 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-38 (Starlink 3101) 	2021-082AQ 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-39 (Starlink 3046) 	2021-082AR 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-40 (Starlink 3074) 	2021-082AS 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-41 (Starlink 3107) 	2021-082AT 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-42 (Starlink 3091) 	2021-082AU 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-43 (Starlink 3045) 	2021-082AV 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-44 (Starlink 3047) 	2021-082AW 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-45 (Starlink 3087) 	2021-082AX 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-46 (Starlink 3069) 	2021-082AY 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-47 (Starlink 3103) 	2021-082AZ 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-48 (Starlink 3086) 	2021-082BA 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-49 (Starlink 3043) 	2021-082BB 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-50 (Starlink 3050) 	2021-082BC 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-51 (Starlink 3059) 	2021-082BD 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-4-1 (Starlink 5277) 	2023-010A 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-2 (Starlink 5301) 	2023-010B 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-3 (Starlink 5306) 	2023-010C 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-4 (Starlink 5310) 	2023-010D 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-5 (Starlink 5291) 	2023-010E 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-6 (Starlink 5236) 	2023-010F 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-7 (Starlink 5260) 	2023-010G 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-8 (Starlink 5261) 	2023-010H 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-9 (Starlink 5299) 	2023-010J 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-10 (Starlink 5289) 	2023-010K 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-11 (Starlink 5323) 	2023-010L 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-12 (Starlink 5331) 	2023-010M 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-13 (Starlink 5298) 	2023-010N 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-14 (Starlink 5330) 	2023-010P 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-15 (Starlink 5317) 	2023-010Q 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-16 (Starlink 5337) 	2023-010R 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-17 (Starlink 5332) 	2023-010S 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-18 (Starlink 5338) 	2023-010T 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-19 (Starlink 5341) 	2023-010U 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-20 (Starlink 5311) 	2023-010V 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-21 (Starlink 5320) 	2023-010W 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-22 (Starlink 5266) 	2023-010X 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-23 (Starlink 5327) 	2023-010Y 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-24 (Starlink 5325) 	2023-010Z 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-25 (Starlink 5287) 	2023-010AA 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-26 (Starlink 5286) 	2023-010AB 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-27 (Starlink 5293) 	2023-010AC 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-28 (Starlink 5285) 	2023-010AD 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-29 (Starlink 5284) 	2023-010AE 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-30 (Starlink 5272) 	2023-010AF 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-31 (Starlink 5270) 	2023-010AG 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-32 (Starlink 5308) 	2023-010AH 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-33 (Starlink 5319) 	2023-010AJ 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-34 (Starlink 5321) 	2023-010AK 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-35 (Starlink 5322) 	2023-010AL 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-36 (Starlink 5318) 	2023-010AM 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-37 (Starlink 5316) 	2023-010AN 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-38 (Starlink 5295) 	2023-010AP 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-39 (Starlink 5288) 	2023-010AQ 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-40 (Starlink 5292) 	2023-010AR 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-41 (Starlink 5315) 	2023-010AS 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-42 (Starlink 5309) 	2023-010AT 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-43 (Starlink 5312) 	2023-010AU 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-44 (Starlink 5296) 	2023-010AV 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-45 (Starlink 5313) 	2023-010AW 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-46 (Starlink 5305) 	2023-010AX 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-47 (Starlink 4623) 	2023-010AY 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-48 (Starlink 5257) 	2023-010AZ 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-49 (Starlink 5265) 	2023-010BA 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-50 (Starlink 5180) 	2023-010BB 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-4-51 (Starlink 5196) 	2023-010BC 	19.01.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-4-1, …, G2-4-51
Starlink v1.5 G2-5-1 (Starlink 5484) 	2023-021A 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-2 (Starlink 5497) 	2023-021B 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-3 (Starlink 5303) 	2023-021C 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-4 (Starlink 5558) 	2023-021D 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-5 (Starlink 5546) 	2023-021E 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-6 (Starlink 5498) 	2023-021F 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-7 (Starlink 5500) 	2023-021G 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-8 (Starlink 5495) 	2023-021H 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-9 (Starlink 5218) 	2023-021J 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-10 (Starlink 5062) 	2023-021K 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-11 (Starlink 5507) 	2023-021L 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-12 (Starlink 5508) 	2023-021M 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-13 (Starlink 5069) 	2023-021N 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-14 (Starlink 5065) 	2023-021P 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-15 (Starlink 5478) 	2023-021Q 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-16 (Starlink 5483) 	2023-021R 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-17 (Starlink 5502) 	2023-021S 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-18 (Starlink 5102) 	2023-021T 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-19 (Starlink 5104) 	2023-021U 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-20 (Starlink 5510) 	2023-021V 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-21 (Starlink 5501) 	2023-021W 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-22 (Starlink 5469) 	2023-021X 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-23 (Starlink 5494) 	2023-021Y 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-24 (Starlink 5506) 	2023-021Z 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-25 (Starlink 5487) 	2023-021AA 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-26 (Starlink 5067) 	2023-021AB 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-27 (Starlink 5070) 	2023-021AC 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-28 (Starlink 5267) 	2023-021AD 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-29 (Starlink 5326) 	2023-021AE 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-30 (Starlink 5328) 	2023-021AF 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-31 (Starlink 5307) 	2023-021AG 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-32 (Starlink 5477) 	2023-021AH 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-33 (Starlink 5467) 	2023-021AJ 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-34 (Starlink 5475) 	2023-021AK 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-35 (Starlink 5479) 	2023-021AL 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-36 (Starlink 5473) 	2023-021AM 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-37 (Starlink 5480) 	2023-021AN 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-38 (Starlink 5474) 	2023-021AP 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
Starlink v1.5 G2-5-39 (Starlink 5457) 	2023-021AQ 	17.02.2023 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-5-1, …, G2-5-51
