ref,boot
1513,1132
110,135
1525,1092
1303,581
1471,1149
46,40
450,-1
926,823
-1,-1
793,760
921,814
1240,979
868,970
-1,-1
1209,495
348,254
797,-1
1521,1139
250,70
615,563
-1,646
-1,887
978,811
413,322
972,776
686,507
334,198
1021,1004
185,181
105,132
1501,1104
-1,-1
-1,1049
135,150
1218,633
101,-1
406,467
824,941
1600,1187
279,206
1202,822
1565,1109
1185,-1
1107,896
1432,1048
-1,651
-1,614
-1,354
-1,-1
290,240
670,727
147,171
-1,-1
570,543
-1,472
1330,640
1046,489
1018,846
1706,1223
918,781
82,86
1565,-1
-1,1270
1069,938
683,741
412,480
208,178
1662,1087
1147,866
710,703
43,57
-1,969
1514,1117
671,728
-1,-1
1051,484
-1,1229
525,629
472,559
246,186
-1,-1
578,395
367,283
1677,1130
1724,1209
370,-1
876,857
-1,-1
-1,-1
-1,-1
-1,-1
179,177
744,736
1478,1127
1570,1079
-1,-1
681,796
1664,1073
1788,1250
373,225
253,52
519,627
479,598
723,494
439,314
55,55
829,-1
330,294
1085,810
747,644
1442,1046
1706,1223
-1,-1
710,703
-1,1207
1146,866
-1,-1
1744,-1
1379,427
64,-1
740,-1
1778,1264
1209,495
1734,1278
-1,-1
1384,996
763,382
1776,-1
872,1014
1151,958
810,422
8,24
689,462
-1,-1
1691,1189
358,253
1560,1061
686,507
1771,1249
548,626
1484,1085
1530,1146
494,520
286,246
1675,1128
14,9
-1,954
457,558
1125,464
918,781
132,149
590,-1
-1,-1
434,275
711,738
150,109
987,825
1052,470
97,97
1625,1073
495,683
1231,604
1439,1095
162,93
-1,-1
52,-1
342,295
181,196
-1,-1
1069,938
1084,810
341,243
1061,835
565,540
-1,-1
93,43
-1,-1
622,767
1639,1209
211,101
716,548
409,337
883,701
65,89
1617,1165
1009,905
1270,600
1283,983
-1,1057
426,567
775,674
770,729
-1,-1
1388,447
1709,1169
1109,947
985,867
-1,98
1620,1173
599,632
1619,-1
1579,1118
-1,-1
594,590
439,314
102,104
1467,1086
149,108
1539,1156
150,109
-1,735
-1,-1
1726,1245
-1,1078
-1,-1
172,184
865,952
297,238
1294,615
1393,976
250,70
518,-1
349,290
-1,393
500,562
1394,975
1410,1025
-1,-1
-1,-1
1101,849
1544,1065
1118,423
685,-1
1541,-1
757,312
1601,1190
768,353
143,147
1411,373
437,328
-1,183
105,132
200,72
1103,993
450,-1
-1,1114
1287,973
-1,-1
560,660
-1,-1
-1,-1
60,20
691,-1
247,187
1808,1291
573,651
1130,-1
1746,1260
1279,388
1169,-1
1068,937
203,169
1340,770
1261,1006
11,4
1395,989
-1,463
477,505
220,154
937,574
1075,847
1254,465
1657,1144
310,251
213,162
-1,-1
-1,-1
1563,1074
856,693
578,395
28,32
1406,1034
-1,1114
812,458
1163,877
119,92
219,139
742,956
210,214
340,242
1790,1216
220,155
1289,1007
1737,-1
53,42
1148,-1
1111,897
-1,1075
-1,-1
777,-1
591,358
1440,1094
1589,1184
-1,-1
1354,-1
846,406
1028,859
-1,782
-1,248
1556,1151
1459,1076
845,483
1720,1217
508,431
-1,-1
950,362
228,-1
-1,1078
519,628
378,274
-1,1027
772,694
1565,1109
-1,381
139,179
204,141
1112,951
491,365
334,198
371,-1
1301,978
-1,-1
1680,1219
-1,389
-1,-1
532,-1
1215,445
1186,498
297,238
205,29
67,103
1236,586
1427,1071
304,224
1656,-1
180,157
-1,-1
1706,1223
572,664
845,483
-1,308
1357,899
1535,1168
1210,497
271,200
-1,-1
348,258
1400,1023
131,148
1470,1119
-1,-1
1782,1295
1123,512
1685,1237
1628,1063
-1,-1
190,-1
1621,1175
1509,1103
642,662
1395,989
1372,919
1297,745
592,588
13,3
554,797
1012,960
1801,1298
284,217
-1,-1
1414,1080
205,29
-1,-1
-1,260
-1,-1
-1,-1
425,567
585,413
544,608
1653,1254
138,137
630,366
-1,325
1031,914
1451,1118
421,323
1028,859
1070,882
-1,588
271,200
-1,215
528,547
1011,961
1789,1250
-1,-1
-1,854
1362,689
973,699
1159,577
109,134
1682,1200
526,597
698,725
899,424
-1,-1
-1,-1
450,-1
1190,634
1285,984
1121,578
963,903
-1,-1
1264,638
-1,1242
25,7
352,237
566,572
-1,-1
1794,1268
189,-1
1042,-1
219,139
447,412
-1,-1
465,332
408,326
-1,1209
1331,-1
1668,1159
1257,965
348,-1
463,325
1220,977
883,701
729,834
1672,1232
-1,-1
-1,-1
1583,1129
1309,965
1487,1161
513,360
-1,-1
1524,1092
271,200
1755,1272
1574,-1
1176,864
1386,936
1299,1011
993,870
1773,-1
-1,-1
-1,-1
1120,485
1647,1211
1404,375
1221,843
759,-1
526,597
974,647
411,477
320,233
-1,-1
829,783
1459,1076
71,68
678,884
-1,-1
1812,1283
1199,862
1329,691
1707,1224
553,711
93,43
-1,-1
533,665
314,215
1267,619
-1,-1
54,42
-1,965
667,692
1063,880
720,517
-1,1250
-1,-1
1026,706
1282,991
-1,-1
979,815
127,81
676,698
758,312
1693,1253
621,768
-1,581
664,751
714,686
-1,369
285,247
874,855
-1,-1
728,468
1706,1223
-1,-1
870,928
890,824
-1,-1
1420,355
313,-1
1204,472
1229,913
554,797
1288,974
1505,1042
-1,420
-1,-1
1618,1172
-1,-1
1544,1065
1581,1082
467,453
1569,1114
951,438
1016,842
924,819
-1,-1
-1,30
-1,-1
1471,1149
1190,634
871,929
406,467
901,398
965,804
220,155
643,369
13,3
-1,-1
1306,799
785,972
1094,496
431,478
1017,845
1068,937
188,209
738,944
1452,1082
1223,966
323,188
861,732
1522,1125
1563,1074
-1,-1
367,283
-1,-1
1266,618
1193,836
84,87
-1,-1
-1,651
340,242
678,884
1170,813
1551,1226
-1,1206
773,694
-1,-1
368,271
12,-1
1623,1163
760,-1
495,648
821,840
833,621
700,801
147,171
312,256
937,574
245,229
234,174
-1,-1
1307,1013
-1,1101
1173,861
1207,423
-1,-1
105,132
-1,471
327,232
-1,1141
-1,-1
1446,372
1153,828
840,533
418,-1
1423,1058
589,440
-1,981
1339,769
756,312
669,726
1298,746
1022,853
-1,-1
1357,899
1228,912
464,325
-1,-1
547,625
1368,800
631,418
1487,1161
382,291
1510,1215
303,223
293,235
1533,1117
1319,583
40,15
152,90
-1,-1
1751,1238
1515,1148
-1,-1
1791,1280
929,827
157,61
1715,1177
1284,-1
1172,818
97,97
40,15
-1,1206
621,768
1308,1017
1263,995
720,517
1640,1136
1437,1044
-1,1169
1657,1144
1631,1064
-1,-1
139,179
1091,523
-1,646
733,775
1420,355
448,-1
1041,-1
8,24
1074,844
939,530
662,344
982,817
-1,1177
460,541
-1,-1
818,756
971,925
1660,1248
1427,1071
-1,-1
1190,634
626,651
591,358
1696,1230
1436,434
1069,938
-1,-1
471,539
140,91
-1,-1
1209,495
1618,1172
500,562
1210,497
303,223
-1,-1
1256,301
-1,-1
475,451
-1,49
1731,1267
1480,1052
1256,301
-1,536
461,403
311,255
1548,1199
1393,976
1676,1128
35,5
259,202
1047,487
1005,837
542,436
72,76
-1,-1
709,702
165,166
903,391
906,802
16,11
1681,-1
-1,-1
866,953
1054,386
1281,982
-1,-1
399,304
979,815
407,310
1147,866
808,474
-1,-1
335,-1
1464,-1
-1,1045
823,778
1315,-1
372,-1
1330,640
577,380
928,827
213,162
1009,905
675,697
-1,-1
25,7
1030,933
1558,1166
96,96
1297,745
1743,1258
1030,-1
123,-1
253,52
397,306
1498,1135
8,-1
989,898
1670,1218
1017,845
1666,1100
617,596
-1,-1
-1,-1
-1,-1
1396,1010
651,657
432,542
1623,1163
-1,-1
1706,1223
-1,174
893,869
-1,-1
1459,1076
457,558
72,76
1161,475
-1,1298
125,78
965,804
-1,311
1275,-1
1209,495
-1,1064
1180,472
1402,1035
1076,848
481,521
419,319
442,325
1758,1235
778,-1
-1,1240
1739,1205
726,456
236,176
980,815
875,856
164,168
1006,838
39,15
190,39
971,925
1302,581
284,217
584,714
732,774
1062,879
874,855
-1,-1
808,474
984,867
-1,1282
1630,1089
128,192
-1,-1
201,73
8,24
1567,1091
1412,1038
-1,52
339,264
543,452
1370,832
883,701
-1,-1
347,245
-1,-1
1475,1040
538,348
566,572
579,437
513,360
1141,782
348,276
1608,1114
-1,-1
771,656
1679,1219
192,165
161,-1
-1,782
1144,788
537,351
655,-1
884,701
-1,-1
238,107
1246,821
-1,-1
792,-1
1072,647
588,383
-1,-1
421,323
717,549
1651,1108
1288,974
1297,745
1097,407
1110,-1
1499,1135
1626,1202
136,151
-1,1027
1620,1174
1585,1142
395,318
922,814
579,437
538,348
737,911
1700,1279
1401,1026
1779,1207
294,231
-1,-1
-1,-1
1000,486
-1,-1
438,333
-1,696
1258,1039
-1,-1
690,491
829,783
683,741
1032,915
-1,-1
1109,947
55,55
1421,-1
-1,-1
862,734
-1,-1
969,643
1428,1041
847,384
784,946
355,269
1549,1198
1088,949
701,753
456,557
59,50
-1,-1
451,357
954,399
1587,1176
770,729
1305,335
275,212
768,353
107,117
556,313
204,141
-1,-1
237,106
1235,584
510,343
357,-1
1640,1136
1134,-1
-1,-1
443,341
432,542
446,339
1811,1282
1390,1008
1291,525
765,361
86,69
392,297
254,220
525,-1
530,612
1635,1140
195,140
295,231
62,17
716,548
