ref,boot
702,730
1407,1022
1384,1013
742,588
395,289
115,91
1043,689
529,390
1742,1277
164,137
218,198
858,657
386,276
-1,-1
574,581
346,229
690,535
1068,840
19,28
1310,999
-1,960
537,423
421,349
568,393
180,202
-1,-1
822,794
444,348
538,492
-1,339
-1,-1
930,628
958,-1
1267,914
-1,-1
1420,685
1255,915
-1,257
293,243
282,190
329,253
1308,930
1425,1068
-1,242
130,133
1746,1252
881,439
422,417
1032,520
1629,1154
1372,864
979,478
279,206
254,189
1450,1055
44,23
124,118
191,183
-1,-1
869,618
-1,1144
1160,952
192,184
-1,346
855,-1
175,145
32,37
-1,-1
138,152
-1,-1
525,611
1443,1075
538,492
82,86
286,219
1588,1123
-1,-1
1059,891
397,293
285,219
1393,894
1654,1171
294,220
1155,901
-1,-1
1395,894
1261,679
1020,823
529,390
119,113
1601,1115
1532,1142
234,169
-1,-1
-1,930
-1,-1
-1,-1
145,147
1565,1127
1127,835
277,174
324,216
509,424
470,407
-1,277
875,473
313,-1
391,294
953,721
1406,1014
1736,1256
1113,527
1232,852
1561,1066
-1,397
713,698
351,250
582,-1
1557,1121
222,-1
68,101
-1,-1
832,452
887,557
-1,722
870,669
-1,1042
195,179
-1,1115
412,330
631,601
1384,1013
320,234
643,724
1016,933
-1,-1
503,-1
1303,833
-1,413
203,136
1662,1123
734,796
648,-1
830,412
271,204
1201,558
198,121
437,338
677,547
1129,280
610,-1
1303,833
1075,821
427,392
215,94
1663,1108
731,771
-1,-1
220,208
1689,1161
963,836
623,459
270,157
783,664
89,108
742,588
1446,715
1461,716
340,266
359,263
1600,1190
299,232
651,-1
799,450
279,206
567,528
-1,-1
1704,1183
1660,1181
154,106
399,304
944,605
441,464
876,512
1286,-1
72,-1
413,326
-1,-1
392,292
953,721
342,251
1759,1287
1090,-1
719,-1
1805,1298
344,268
711,482
1401,1027
768,538
1427,1051
1379,763
144,146
1759,1287
15,13
-1,-1
1622,1164
1464,531
1481,1026
1353,1001
504,387
1563,1130
1234,-1
1691,1208
1424,1070
1149,753
1574,1146
-1,356
592,375
737,587
427,392
935,598
-1,-1
906,814
537,423
235,169
845,850
883,476
710,442
1368,990
392,292
416,315
705,778
1743,1276
17,18
1149,753
594,378
335,222
250,62
847,648
-1,362
538,492
372,-1
1389,496
-1,-1
215,94
-1,435
1570,1047
1036,569
1516,1191
-1,-1
873,511
348,212
615,362
285,219
339,214
882,440
1369,991
502,347
309,192
1698,1259
907,878
47,71
1019,823
1580,1180
537,423
1227,845
1402,1030
1736,1256
554,346
747,445
-1,972
1584,1165
340,266
669,693
1792,1303
517,316
128,104
-1,-1
1189,873
685,498
-1,-1
-1,-1
1672,1205
1289,680
1321,978
1393,894
1571,-1
598,505
-1,-1
-1,742
1515,1106
706,588
889,481
-1,1023
-1,-1
1704,1183
1566,-1
554,346
1204,963
1240,931
1748,1227
-1,112
1224,507
832,452
519,303
173,170
765,339
-1,-1
467,637
818,791
-1,-1
1531,1090
334,222
1040,926
-1,680
1560,1066
1805,1298
-1,757
968,816
543,634
723,536
1229,517
69,102
157,52
-1,-1
1595,1223
612,583
1152,681
68,101
1677,1201
-1,-1
1532,1142
-1,-1
414,-1
-1,-1
546,503
1313,945
-1,-1
52,27
956,812
619,487
-1,-1
990,525
1201,558
492,638
1597,1155
942,974
-1,-1
626,369
858,657
1680,1182
