ref,boot
1081,822
535,325
464,495
278,244
712,676
585,850
725,-1
808,878
-1,-1
564,420
301,267
506,-1
25,9
1079,905
1028,628
1655,1197
1528,920
-1,-1
-1,311
-1,829
472,378
1171,658
1602,-1
1575,1089
594,435
1554,-1
-1,-1
1784,1278
1322,1042
1561,1145
1706,988
250,-1
1233,-1
1673,1195
-1,-1
1310,858
160,75
1148,831
-1,-1
94,41
1718,1112
-1,-1
712,676
37,13
-1,-1
1020,906
841,881
-1,165
1039,-1
-1,-1
-1,-1
1282,930
303,261
566,341
-1,-1
1732,1249
412,300
1559,1120
976,800
-1,-1
482,325
1069,712
1378,-1
1036,469
1480,1086
1302,1018
1514,1177
525,463
-1,-1
-1,719
-1,-1
870,803
-1,-1
287,146
364,200
920,766
1215,1046
293,234
25,9
1302,1018
-1,-1
1657,1128
665,519
1420,781
70,104
-1,-1
765,537
1124,894
110,133
672,451
1761,1247
1677,1209
-1,-1
974,612
812,796
931,596
495,460
-1,-1
121,140
395,385
1132,867
-1,-1
-1,-1
1430,1059
1739,1200
-1,1103
-1,-1
-1,-1
-1,150
109,132
-1,-1
-1,-1
379,288
1215,1046
271,233
-1,-1
232,193
-1,-1
223,211
1261,946
869,732
-1,-1
1365,-1
479,-1
32,46
882,556
-1,-1
1323,978
399,362
1270,721
307,239
1128,648
720,899
432,306
1412,-1
379,288
151,161
-1,-1
1084,692
1490,931
599,-1
55,45
1660,1151
452,470
1075,768
-1,-1
-1,1074
-1,12
623,354
1561,1145
-1,-1
951,790
589,729
328,270
1279,1001
1119,793
1741,995
1762,1247
41,24
-1,-1
250,79
1462,918
483,-1
699,601
1522,1154
1382,998
-1,-1
1149,664
527,-1
524,-1
144,150
298,-1
632,535
515,574
1625,1103
1729,1193
1209,1008
531,335
1466,1065
-1,536
-1,1074
1565,1140
948,-1
1555,-1
1137,853
589,729
-1,-1
599,-1
126,-1
843,797
-1,-1
207,115
763,580
1142,584
282,222
1599,1165
808,878
1529,1078
1627,1248
462,501
678,541
1187,1002
1189,-1
-1,-1
809,901
155,88
1730,1215
-1,-1
518,302
651,365
1419,1076
1349,935
1471,1117
-1,-1
304,257
1059,832
-1,200
382,292
901,-1
1230,561
1487,1088
-1,-1
433,-1
429,305
823,675
884,479
913,824
1627,1248
424,297
701,668
192,181
727,866
1212,981
-1,-1
1626,1178
400,290
1512,1123
856,521
-1,-1
-1,-1
-1,793
69,105
1137,853
1730,1215
280,250
1141,584
-1,612
334,258
428,320
82,153
829,484
-1,-1
221,141
667,564
201,51
1348,1084
1370,1070
671,376
1620,1174
-1,910
-1,-1
-1,-1
-1,683
139,-1
-1,-1
452,470
1603,1130
1473,1115
1630,1141
58,38
634,390
1512,1123
-1,425
1063,609
-1,379
1664,1103
783,546
556,397
-1,-1
932,739
445,400
-1,-1
66,54
-1,402
1150,-1
-1,-1
466,401
-1,-1
564,420
1306,-1
-1,-1
273,174
690,879
1610,-1
1180,-1
-1,-1
791,735
-1,-1
1376,-1
17,29
518,302
54,65
348,278
957,953
-1,-1
1058,833
586,686
258,69
1654,1243
-1,-1
1732,1249
631,536
-1,-1
-1,228
651,365
546,492
135,121
711,448
-1,-1
470,394
65,59
1093,-1
1512,1123
-1,-1
1599,1166
1314,1057
784,688
1660,1151
81,152
374,284
-1,-1
1226,736
1606,862
-1,1031
1392,1096
1283,914
-1,-1
-1,-1
1700,1228
649,602
906,603
775,454
268,187
1215,1046
390,293
1303,1017
924,513
-1,-1
1475,-1
696,865
1797,1277
1446,864
68,89
-1,-1
-1,938
-1,1000
1155,848
482,325
368,276
709,-1
-1,-1
-1,1162
564,420
-1,-1
1233,966
1123,895
1326,915
395,385
1169,807
-1,-1
-1,-1
1544,-1
27,43
-1,-1
1151,705
1011,745
533,356
-1,-1
-1,-1
1545,889
-1,677
85,122
959,783
820,453
1459,1157
866,687
1258,907
986,516
1265,1000
-1,-1
583,369
1028,628
346,269
132,119
-1,249
1587,-1
55,45
1249,855
429,305
1336,1009
84,-1
967,607
1243,589
817,520
-1,-1
304,257
-1,-1
379,288
1261,946
1327,1042
1583,1098
-1,1253
1596,1226
675,526
-1,1031
589,729
454,366
1724,1050
1101,826
-1,-1
-1,-1
1744,-1
90,58
1277,1041
-1,-1
596,437
1722,1234
496,395
184,183
-1,-1
-1,-1
1719,1112
-1,994
339,208
1605,888
402,373
219,142
798,635
3,1
1391,1097
1178,848
-1,-1
1097,1002
143,116
612,450
1568,779
1760,1229
287,146
-1,-1
671,376
1692,1199
1224,447
-1,1093
495,459
127,-1
512,374
185,220
1465,921
-1,-1
403,291
206,28
1529,1078
193,199
985,700
134,138
1357,952
1589,1125
-1,817
-1,189
399,362
443,438
493,-1
303,261
-1,-1
701,668
1049,794
1655,1197
709,508
-1,-1
90,58
1325,915
-1,-1
1481,869
1536,1187
1782,1284
1146,738
1559,1120
1570,933
-1,-1
-1,115
817,520
412,300
1266,965
1085,693
-1,-1
1208,1007
286,170
-1,1182
1749,1037
932,739
504,323
44,8
438,443
1436,838
341,265
-1,-1
1198,770
-1,535
1202,828
971,-1
1586,-1
463,496
1098,618
1609,870
1446,864
924,513
798,635
-1,-1
1004,640
991,600
92,-1
-1,-1
547,462
1149,664
368,276
1142,584
1317,908
1404,716
-1,-1
424,297
614,478
21,34
150,112
1125,1002
1545,889
1483,817
-1,1092
34,37
1641,1180
926,592
1379,1066
105,102
394,384
97,124
-1,-1
738,543
1145,-1
-1,-1
399,362
1688,1129
147,120
452,470
21,34
1047,757
988,486
1157,725
905,774
449,502
1563,1186
609,751
1629,1142
1647,1242
245,-1
821,524
1201,808
-1,-1
979,511
158,14
373,256
565,420
104,101
-1,-1
1264,1048
874,626
918,583
110,133
-1,-1
154,88
1529,-1
5,-1
-1,-1
-1,-1
1455,1100
1781,1263
-1,121
1078,549
-1,-1
-1,-1
517,347
664,489
761,819
1316,977
459,313
-1,-1
358,266
1529,1078
-1,-1
344,251
256,204
-1,837
-1,837
236,216
740,-1
1679,985
1029,629
723,821
956,954
-1,-1
337,209
554,357
662,474
-1,-1
943,944
1170,588
362,277
-1,783
538,722
1467,1056
1339,1091
1004,640
954,993
1276,1049
483,-1
753,613
114,39
9,-1
1716,1230
1286,859
-1,20
-1,-1
348,279
687,885
1042,-1
-1,-1
1065,642
1517,1201
185,220
1329,1024
1160,968
853,707
-1,-1
283,214
384,282
359,273
1139,801
1075,768
-1,-1
1112,561
215,-1
1726,1020
-1,413
1131,787
538,722
1094,956
1063,609
917,545
261,62
1497,1146
1689,987
1451,-1
1518,1201
-1,1123
1388,1043
-1,-1
-1,-1
332,227
251,80
605,758
-1,-1
409,398
373,256
841,881
1268,840
-1,1069
945,-1
-1,-1
720,899
594,435
-1,-1
-1,-1
1476,1063
-1,1149
303,261
579,680
567,-1
525,464
525,463
-1,-1
1241,907
495,459
972,-1
1253,1016
205,27
-1,-1
1358,951
-1,-1
-1,-1
1676,1099
-1,-1
228,82
1691,1185
-1,-1
850,741
1475,-1
1500,1188
