ref,boot
290,201
544,347
1065,784
52,37
1618,-1
185,163
484,389
155,131
1201,540
1013,751
-1,-1
84,52
1648,1281
184,162
1599,1070
459,332
1100,600
1638,1201
591,556
344,271
616,354
845,-1
-1,-1
1263,-1
1419,1018
-1,-1
55,60
-1,-1
512,294
-1,-1
1146,684
438,370
1289,759
676,606
55,60
1182,983
1101,412
947,907
802,1001
1353,913
-1,-1
1197,581
1564,1108
260,165
1527,515
494,292
-1,1044
156,178
831,535
1395,972
1693,1167
1315,-1
261,173
1672,1191
1556,1049
1264,993
369,270
444,346
965,671
-1,-1
1613,1231
-1,-1
1095,985
256,139
1168,471
51,37
416,299
145,119
104,63
154,132
1408,475
1472,1067
1485,1068
463,344
-1,-1
339,-1
1224,321
612,636
1092,900
1655,1180
224,206
787,551
13,8
234,136
1791,1263
1075,411
1046,918
55,60
-1,-1
858,643
163,152
824,388
458,330
220,155
260,165
1298,633
598,528
1378,1007
-1,1061
354,233
1058,833
-1,-1
1589,1183
0,0
452,563
1643,1272
530,381
1738,1190
1351,1014
648,667
832,571
1253,885
84,52
-1,58
977,629
339,255
889,460
377,-1
376,246
70,41
1331,-1
1043,837
1016,753
1207,877
967,750
219,138
679,403
642,-1
926,536
599,-1
876,504
730,-1
198,19
1317,896
131,107
-1,-1
1561,1069
1002,-1
-1,-1
934,616
24,20
177,127
912,590
734,699
1461,663
-1,-1
1784,1290
687,897
-1,-1
375,220
362,-1
1665,1206
-1,-1
1159,984
-1,96
140,126
1803,1293
116,101
340,272
158,13
1691,1173
472,451
850,701
340,272
1414,1064
1186,930
-1,1063
1523,1034
922,433
90,85
709,360
362,265
-1,-1
587,791
618,646
-1,-1
1181,941
1812,1285
485,390
1164,894
181,121
1250,496
-1,7
863,309
1215,956
1190,473
1464,666
120,154
1523,1034
1514,1217
809,792
109,91
307,196
4,1
1778,1265
-1,-1
533,356
366,257
520,422
364,252
1241,762
977,629
975,686
1017,323
387,-1
342,259
-1,-1
-1,384
622,453
-1,1108
1180,857
1692,1166
956,842
389,324
779,787
1295,740
1649,1219
631,444
726,910
232,192
1796,1237
1481,1147
-1,82
1339,997
-1,-1
-1,-1
-1,340
707,467
1599,1070
1428,1019
384,238
723,687
-1,-1
953,736
774,480
723,687
523,526
1598,1165
-1,-1
1712,1177
-1,-1
-1,1249
726,910
68,50
2,4
1235,844
403,278
228,125
-1,463
1032,-1
-1,-1
1744,1189
357,245
1191,-1
1178,964
-1,1098
368,269
789,506
1460,690
575,340
962,867
-1,1074
1139,589
1192,-1
221,156
1026,463
-1,-1
1490,776
-1,-1
1473,1044
1642,-1
1736,1254
26,16
293,204
1512,1152
918,548
487,294
-1,654
1215,956
914,709
-1,-1
374,220
453,351
971,728
476,355
83,57
882,399
-1,-1
1734,1218
772,602
285,213
889,460
1691,1173
1401,1016
66,61
779,787
214,170
14,6
61,12
1795,1297
373,190
-1,241
751,455
139,111
1269,773
1207,877
1271,561
1481,-1
-1,7
1228,580
1400,1015
355,274
-1,-1
1585,-1
97,17
1270,560
837,874
-1,40
771,-1
89,86
-1,916
1229,579
614,335
504,380
1126,903
85,59
305,150
1306,774
1480,1092
495,421
1624,1159
645,-1
827,435
722,-1
-1,734
545,348
1558,1251
-1,-1
1144,501
1377,969
529,303
476,355
1357,891
565,395
177,127
403,278
1692,1166
-1,-1
1036,612
323,234
90,85
1515,1187
450,597
205,89
584,382
845,953
1721,1240
447,379
-1,-1
317,237
521,450
1674,1136
1682,1197
282,188
1286,-1
956,842
1016,753
-1,-1
175,88
517,375
41,44
1703,1170
89,86
1786,1289
981,627
305,150
962,867
19,25
459,332
478,317
1725,1270
238,124
907,672
-1,-1
-1,1249
1771,1255
899,795
-1,275
-1,-1
1639,1196
992,788
3,5
101,-1
1435,-1
1595,1153
1372,905
-1,-1
-1,-1
-1,-1
1259,654
1361,1010
212,133
1290,759
-1,-1
1076,410
-1,858
358,231
1047,925
-1,1208
903,-1
1262,818
-1,-1
150,145
831,535
756,769
-1,-1
-1,-1
1589,1183
495,482
439,295
124,144
192,94
-1,-1
1210,911
1390,-1
1812,-1
-1,-1
470,350
218,137
771,564
1491,777
525,567
549,303
1037,611
523,526
1704,1170
731,642
470,350
-1,-1
190,115
392,288
-1,-1
-1,46
1720,1198
-1,-1
244,218
231,191
-1,-1
662,860
1193,815
1384,998
1743,1247
263,95
-1,-1
-1,543
1185,-1
1028,432
1652,1122
999,952
-1,-1
-1,708
1549,1099
1500,1106
88,99
-1,879
644,659
702,748
702,748
376,246
1388,889
460,-1
456,352
692,881
268,166
1089,495
-1,427
1531,1171
-1,733
1250,496
1272,871
1244,790
1774,1222
1541,1046
-1,-1
1073,338
732,-1
1484,-1
794,-1
348,198
368,269
-1,-1
519,306
491,517
342,259
190,-1
489,417
530,381
515,518
1061,694
1742,1246
1433,1043
307,196
940,811
676,606
465,315
1345,765
1004,-1
518,307
1347,994
849,862
1129,514
1685,1202
-1,-1
250,159
-1,-1
1159,984
1611,1186
-1,-1
1020,761
1730,1260
259,164
407,311
62,34
-1,-1
959,446
502,330
646,557
940,811
-1,-1
1782,1225
1454,-1
246,71
-1,303
1798,1288
1732,1262
160,87
1026,463
1184,1008
482,305
-1,-1
1471,1082
223,133
-1,-1
617,645
-1,556
785,587
574,716
1317,896
279,227
1036,612
-1,-1
624,489
1099,559
96,18
726,910
591,556
8,14
1218,474
1004,670
-1,-1
38,39
-1,-1
1237,846
-1,-1
-1,1108
-1,-1
-1,-1
1294,992
929,683
72,53
-1,-1
8,14
1491,776
-1,35
553,491
1094,821
1674,1136
-1,1109
878,439
1206,877
947,907
1176,538
1308,829
1549,1099
1076,410
509,414
92,75
1271,561
148,46
1473,1044
1513,1171
441,342
853,677
1092,900
646,513
517,375
1660,1242
1067,801
-1,-1
1603,-1
-1,46
1334,866
742,550
-1,-1
547,565
-1,-1
935,613
1420,562
190,116
1697,1169
-1,813
311,194
-1,36
-1,1069
200,104
719,812
293,205
-1,-1
1319,987
856,692
1704,1170
547,565
1446,662
-1,-1
-1,-1
776,641
561,522
1207,877
1737,1207
1476,1112
591,556
47,70
-1,-1
-1,268
-1,40
-1,161
445,392
1439,1017
-1,-1
1698,1282
456,352
1812,1285
-1,-1
-1,1230
874,440
756,769
201,105
1433,1043
667,745
1147,-1
1243,707
1552,1033
1514,1217
579,601
-1,-1
212,133
759,-1
-1,-1
356,275
771,564
603,596
-1,77
1054,738
971,728
1363,913
279,227
1440,1022
1480,1092
-1,-1
864,409
1425,1044
1278,932
651,478
675,605
29,7
1758,1258
1016,753
1244,790
1718,1086
1526,515
-1,-1
912,590
1597,1165
134,36
899,795
65,83
168,123
1446,662
1442,1131
435,509
439,312
1811,1284
1207,877
81,56
295,200
883,361
1621,1137
459,332
587,791
519,306
-1,-1
1563,1108
251,160
1749,1269
1060,814
-1,-1
1176,538
69,41
-1,-1
857,692
604,-1
349,249
1313,988
-1,-1
1334,848
869,508
-1,-1
1639,1196
721,823
934,615
1374,1003
1733,1218
185,172
-1,-1
228,125
1632,1060
1168,471
-1,-1
809,792
-1,-1
1168,471
651,478
1584,1192
1731,1260
1001,954
552,356
912,590
-1,-1
0,0
1155,951
1009,604
-1,-1
574,716
1056,944
1456,1105
254,148
-1,-1
1181,941
219,138
870,586
-1,136
-1,-1
1353,913
-1,-1
979,397
1774,1222
1020,761
316,263
-1,654
1403,1029
-1,-1
42,45
1244,790
194,185
-1,-1
1169,442
1340,997
-1,-1
-1,-1
1748,1168
-1,-1
279,227
1752,1235
1078,552
911,630
1697,1169
1233,929
851,702
1755,1245
-1,1289
1473,1044
1697,1169
1600,1071
-1,-1
1691,1173
-1,-1
767,660
514,-1
1627,1188
1101,412
1132,-1
-1,1069
1236,847
1583,1095
1738,1190
780,700
436,367
-1,-1
-1,-1
1094,821
1565,1110
-1,1170
425,289
-1,1235
857,693
676,606
1481,1146
-1,-1
383,-1
-1,-1
1004,670
1779,1227
1612,1248
426,290
241,133
1777,1264
1300,872
1705,1228
-1,-1
1075,411
1465,1062
805,875
231,191
632,445
1805,1299
412,283
-1,440
507,656
-1,-1
1551,1076
-1,930
1679,1203
1449,-1
1414,1064
935,-1
-1,222
1044,837
10,-1
1812,-1
669,691
-1,655
180,186
-1,245
1103,584
-1,-1
1559,1079
1754,1239
-1,395
324,234
-1,66
977,629
525,680
1066,800
44,12
1115,906
-1,1017
817,724
1349,892
1657,1139
971,728
412,283
1105,461
-1,759
807,839
138,143
299,225
872,710
1481,1146
1156,965
154,132
17,31
1637,1138
929,683
-1,-1
1679,1203
-1,-1
274,158
30,28
938,840
-1,-1
820,520
162,-1
212,133
765,882
1376,-1
-1,453
715,990
1771,1255
665,668
-1,-1
-1,1188
1640,1148
258,103
536,415
922,433
-1,961
1368,1002
1534,1080
1160,1009
1222,729
1204,899
-1,15
1490,776
1771,1255
303,210
871,585
302,184
1596,-1
96,18
340,273
929,683
123,180
1108,651
1558,1251
1584,1192
637,378
600,610
107,47
1626,1250
34,23
-1,987
394,365
338,247
274,157
186,163
1749,1269
404,278
1389,890
714,758
381,267
1524,1039
561,522
-1,-1
327,219
865,591
1129,514
-1,13
-1,34
1656,1201
-1,-1
774,480
1774,1222
-1,-1
54,69
-1,1060
647,513
1166,755
1742,1246
1598,1165
1619,1124
303,210
-1,413
877,505
1015,817
424,281
1372,905
1278,932
40,29
670,418
-1,1039
1689,1229
796,358
-1,-1
1658,1052
826,464
384,238
678,406
855,-1
-1,734
299,225
271,229
739,407
1720,1198
1599,1070
1395,972
-1,-1
1186,930
1075,411
-1,-1
470,350
870,586
1262,818
1662,1141
1192,815
-1,-1
612,636
399,276
1200,625
614,335
615,354
1222,729
697,742
-1,989
876,504
1265,933
709,360
500,486
-1,-1
1268,772
463,344
406,279
846,-1
936,789
1311,-1
461,593
775,640
-1,-1
491,517
174,88
1379,969
933,616
1644,1273
1197,581
1744,1189
234,136
230,-1
749,429
-1,1060
1309,948
-1,-1
-1,166
-1,1171
619,530
924,544
546,484
77,65
859,752
495,421
266,148
1041,898
1576,1216
1418,1038
495,482
1157,982
382,254
242,133
677,286
-1,-1
769,799
1660,1243
-1,-1
-1,331
-1,732
128,153
221,156
67,49
1592,1244
-1,233
919,583
831,535
1739,1223
818,519
737,387
-1,-1
1159,984
546,484
1305,741
1778,1265
-1,384
96,18
-1,-1
1754,1239
1509,-1
1740,1224
1051,954
495,482
438,370
1606,1126
-1,-1
1538,1084
818,519
559,420
852,676
1056,944
-1,-1
701,747
885,435
501,301
1215,956
1155,951
-1,913
567,329
-1,36
887,541
1384,998
-1,-1
1248,539
-1,-1
903,739
1492,515
1792,1292
1575,1056
146,110
1332,863
-1,-1
-1,-1
-1,-1
590,-1
1242,708
1405,448
511,369
957,843
553,491
997,856
505,452
1277,921
1727,1096
-1,-1
-1,199
1476,1113
273,157
525,680
597,487
-1,-1
1298,633
439,312
25,22
1540,1059
-1,-1
32,24
929,682
1295,740
421,325
99,74
-1,-1
735,320
-1,-1
711,396
538,511
795,358
1522,-1
496,393
1006,696
-1,321
1131,599
1695,1179
171,-1
1046,918
521,450
-1,-1
965,671
1532,1233
245,-1
445,392
1167,756
413,766
1058,832
-1,-1
721,823
763,909
228,125
1749,-1
295,200
1570,1128
-1,-1
1229,579
407,311
1540,-1
1510,1057
144,118
519,306
36,21
166,46
-1,294
-1,-1
731,642
-1,-1
1708,1249
213,169
-1,-1
201,105
-1,118
-1,-1
1114,572
1437,1032
-1,-1
1347,994
640,362
1096,986
-1,-1
903,739
211,95
1074,337
-1,-1
221,156
-1,55
457,353
509,414
1734,1218
-1,-1
1674,1136
530,381
271,228
1160,1009
696,722
720,822
706,549
144,118
-1,-1
41,44
358,231
530,381
1476,1112
1046,918
1675,1094
238,124
-1,-1
228,125
136,58
932,617
121,108
592,376
1138,-1
451,371
826,464
800,703
1344,-1
738,408
141,-1
-1,1060
570,426
421,325
-1,-1
208,55
833,570
-1,-1
55,60
97,17
1808,1294
640,362
1553,1033
1721,1240
1427,1023
330,251
1233,929
1571,1129
-1,-1
-1,-1
-1,-1
1385,1011
-1,-1
1101,412
976,629
139,111
1759,1261
1458,1107
-1,1098
1115,906
-1,-1
1357,891
58,77
710,359
441,341
1536,1108
1129,514
-1,-1
-1,-1
1615,1274
52,37
-1,1171
805,875
-1,-1
1141,545
346,242
707,467
829,503
1047,925
1396,972
481,304
244,218
1783,1226
163,152
1313,988
1372,905
609,598
-1,-1
-1,-1
790,441
-1,-1
1325,960
927,459
-1,-1
89,86
918,547
1334,866
-1,-1
1134,-1
-1,-1
1472,1067
1630,1085
997,856
717,974
-1,-1
1317,896
582,423
1285,937
-1,11
1215,956
-1,-1
382,254
1784,1290
1080,819
-1,-1
516,518
-1,-1
993,789
-1,667
688,-1
437,368
152,82
1074,337
961,-1
1317,896
1459,1058
1634,1087
507,656
-1,649
95,73
-1,729
-1,-1
220,155
382,254
1069,786
-1,-1
205,89
583,648
787,551
436,367
1485,1068
237,-1
1157,982
628,655
-1,1052
845,953
1711,1176
-1,1278
50,10
1665,1206
13,8
1672,1191
1558,1251
-1,-1
853,677
449,554
1067,801
1626,1250
-1,-1
-1,-1
1005,695
1171,543
1784,1290
1342,989
1723,1212
856,692
769,799
495,482
525,681
80,54
-1,-1
14,6
-1,-1
505,452
1414,1064
962,867
459,332
500,486
-1,-1
1551,1076
55,60
412,283
437,368
1144,501
51,38
357,245
573,334
1464,666
377,-1
521,450
-1,-1
