ref,boot
229,-1
1052,774
64,59
1281,873
1514,1138
105,28
92,74
1487,1261
1635,-1
1660,-1
664,529
130,129
729,515
1606,1086
-1,-1
1241,838
505,505
12,5
927,593
1116,942
-1,-1
907,606
1379,1025
-1,-1
8,13
1571,1073
1712,1220
-1,-1
1253,931
-1,-1
-1,-1
1124,898
895,763
-1,1160
138,132
371,-1
903,874
1507,1029
414,299
1457,1042
547,649
461,294
1160,945
-1,-1
732,536
315,222
97,97
220,172
152,63
1672,1223
1796,1285
461,294
947,830
1624,1120
378,284
1194,-1
-1,1209
1270,924
1670,1280
634,-1
416,342
1774,1276
1167,713
517,327
150,116
815,580
528,478
328,255
660,295
1000,854
938,806
372,-1
1300,843
131,136
-1,443
378,284
1779,1209
13,7
658,475
1601,1238
965,707
608,657
1274,837
206,195
-1,524
1344,992
612,531
1739,1217
389,282
1502,-1
635,538
62,38
808,826
1497,1083
-1,-1
1620,1239
1292,940
-1,512
1295,976
-1,-1
-1,-1
756,323
1450,1080
-1,-1
-1,-1
-1,98
1178,884
281,-1
1723,1233
1439,1059
97,97
247,219
682,-1
1771,1310
1027,-1
-1,310
210,157
1015,799
-1,-1
1109,524
-1,1183
611,530
794,-1
-1,-1
726,746
1071,765
1536,1127
1590,1174
-1,-1
615,347
1626,1164
502,479
1521,-1
-1,-1
1028,493
1801,1304
-1,1103
-1,-1
412,365
-1,-1
1180,-1
1424,1056
1667,1218
1112,761
454,394
-1,575
-1,-1
-1,1199
711,495
284,191
88,87
42,10
205,194
1243,699
709,440
668,604
118,33
853,624
-1,-1
1212,930
594,443
646,-1
55,41
1067,797
1808,1284
-1,320
1784,1265
866,752
-1,-1
1643,1192
395,287
-1,-1
272,151
1325,965
1060,705
756,323
621,685
256,166
217,247
-1,-1
625,544
610,-1
204,123
65,62
-1,1184
86,65
-1,-1
726,746
1307,946
561,540
561,540
-1,-1
860,501
-1,-1
1711,1220
450,449
1582,1096
236,261
-1,156
1182,856
406,330
330,224
439,331
404,338
-1,-1
-1,-1
481,403
-1,950
-1,1113
1415,1040
1660,1245
1008,644
219,139
1418,-1
852,623
918,462
-1,1251
302,216
1414,1039
899,897
393,-1
43,42
739,412
-1,-1
535,481
1232,943
23,9
1774,1276
1291,939
1449,-1
1450,1080
677,386
847,770
-1,-1
-1,-1
-1,-1
1725,1226
1038,429
1539,1147
517,327
-1,1069
572,614
1380,1024
689,483
-1,915
-1,-1
537,451
955,822
1012,795
348,274
1151,814
697,513
910,516
1153,731
456,396
994,405
1405,1034
-1,-1
-1,-1
-1,-1
-1,-1
1599,1167
1483,1048
852,623
1478,1208
1420,1053
1421,1079
529,377
1011,796
856,564
370,-1
1068,740
-1,-1
-1,671
552,506
177,184
-1,-1
60,6
1159,-1
260,169
-1,-1
1239,846
690,510
1218,907
-1,1306
-1,-1
733,537
844,809
205,194
626,544
955,822
-1,-1
829,590
-1,1082
326,158
-1,-1
351,226
-1,701
1495,1115
-1,168
-1,-1
713,821
914,756
1746,1246
221,138
1253,931
167,154
-1,356
1640,-1
-1,-1
1277,937
596,401
1730,-1
200,36
1640,-1
255,174
1657,1185
55,41
249,266
-1,-1
277,190
1768,1274
75,67
-1,-1
1728,1122
1372,979
1567,1134
555,433
720,802
1735,1228
-1,-1
804,805
1135,871
554,654
456,396
1592,1166
358,275
138,131
1228,882
1372,979
825,-1
-1,-1
619,683
1743,1253
265,-1
538,658
1036,601
1672,1223
1498,1116
-1,1047
-1,-1
919,556
1115,903
45,38
-1,12
1062,869
629,745
376,288
823,711
1685,1241
771,534
1011,796
719,743
87,65
439,331
817,643
1583,1133
626,544
926,592
-1,-1
1184,954
1694,1301
1667,1218
-1,-1
-1,211
589,407
-1,-1
-1,167
1715,1162
1285,956
1289,496
817,643
1550,1201
1770,1188
-1,-1
893,526
1608,1070
-1,-1
358,275
-1,-1
918,462
-1,-1
1427,1031
-1,-1
-1,-1
-1,-1
52,44
251,258
169,210
1170,633
724,835
876,632
1173,841
230,-1
1016,800
1105,786
1253,931
1420,1053
1523,1222
415,-1
1649,1229
1284,-1
1317,776
-1,866
1129,895
284,191
1295,976
65,62
1768,1274
520,574
1651,1205
918,462
106,23
1102,627
227,263
1647,1195
1117,942
-1,148
1755,1260
1537,1145
1160,945
1125,929
1260,726
142,137
519,419
583,652
600,650
966,676
818,535
-1,-1
967,677
-1,1220
1668,1219
-1,580
1746,1246
1532,1139
619,683
312,209
-1,-1
1487,-1
254,153
-1,-1
1338,966
1629,1197
-1,-1
1483,1048
282,205
445,326
-1,-1
1291,939
725,-1
1412,1023
737,460
1236,934
1806,-1
1487,-1
-1,-1
-1,-1
1200,860
1763,1188
958,893
-1,683
483,548
282,205
1108,701
597,-1
-1,-1
1108,701
192,168
213,-1
-1,38
632,452
1605,1086
224,206
449,293
632,453
1202,788
328,255
1075,695
518,374
1290,496
116,49
1463,1089
788,667
1,1
-1,-1
-1,-1
1283,920
463,325
-1,-1
388,285
452,436
421,343
604,314
495,571
309,-1
-1,1051
1675,1180
438,380
553,615
1215,918
1665,1136
812,833
735,387
530,446
999,887
227,263
1365,-1
481,403
1014,817
-1,-1
1596,-1
271,192
1790,1289
1750,1226
1131,926
-1,-1
959,508
376,288
500,504
1169,750
334,242
1278,824
736,387
1653,1268
932,642
527,477
1129,895
-1,-1
982,669
-1,361
579,357
157,92
1013,815
670,466
500,504
1016,800
-1,-1
-1,-1
1588,1123
870,664
183,146
1484,1093
703,568
886,557
1069,709
-1,716
165,57
1164,868
764,808
1384,998
1012,795
557,371
-1,-1
1075,695
-1,739
-1,-1
1426,1030
1133,-1
1261,496
463,325
800,647
20,21
1327,938
429,366
1630,1198
1359,984
1538,1146
663,455
1491,1106
-1,310
1222,801
1066,816
-1,-1
245,126
705,646
1259,726
1626,1164
378,284
1733,1227
217,247
1069,709
740,630
977,782
457,397
1622,1182
1403,1027
800,647
744,439
524,576
1678,1158
845,836
205,194
820,500
-1,916
-1,-1
-1,415
1181,953
1236,934
359,276
93,26
123,-1
0,-1
862,438
-1,-1
775,566
587,311
464,325
843,832
-1,-1
1501,1099
19,20
1401,1035
1680,1161
1409,1015
-1,-1
96,96
1419,1043
335,243
1100,-1
1809,1294
583,652
772,533
-1,-1
356,272
-1,601
-1,-1
1088,759
-1,-1
1549,1068
-1,-1
275,196
1516,1098
453,393
1590,1174
-1,-1
64,59
205,-1
1564,1118
1209,578
-1,-1
1456,1063
132,91
1259,726
832,465
1437,-1
1558,1176
773,533
-1,-1
-1,235
1104,754
1247,865
1414,1039
-1,-1
1339,978
424,328
399,352
1131,926
-1,347
1059,748
260,169
1176,812
-1,-1
472,399
584,616
182,111
90,89
1349,967
1534,1125
408,324
1175,-1
569,477
544,470
615,347
240,-1
1272,842
-1,1036
1088,759
438,380
