i,j,satNo_i,satNo_j,distance
0,0,56910,56910,0.0
0,1,56910,56917,0.25806734586233504
0,2,56910,56908,0.36758714030774187
1,0,56917,56910,0.25806734586233504
1,1,56917,56917,0.0
1,2,56917,56908,0.12564757583015373
2,0,56908,56910,0.36758714030774187
2,1,56908,56917,0.12564757583015373
2,2,56908,56908,0.0
