i,j,satNo_i,satNo_j,distance
0,0,56910,56910,0.0
0,1,56910,56917,0.0039173842651507584
0,2,56910,56908,0.0018545450511737727
1,0,56917,56910,0.0039173842651507584
1,1,56917,56917,0.0
1,2,56917,56908,0.010781009474158054
2,0,56908,56910,0.0018545450511737727
2,1,56908,56917,0.010781009474158054
2,2,56908,56908,0.0
