Cluster ID,Tier,Size,Min Altitude (km),Max Altitude (km),Density,Normalized Density
172,Minor,16,390.47082962042373,555.5714362222785,4.514811676467514e-11,0.5365184757505772
1610,Minor,16,557.6223672220353,575.2078282599244,1.2384589222348604e-11,0.14549653579676672
933,Minor,15,451.3952018332603,492.83285997249,4.7396855003029975e-11,0.563356428021555
1569,Minor,14,557.4615601676264,623.2290152120376,1.4513190494939773e-11,0.17090069284064666
1295,Minor,14,310.41923304494566,492.0287674245387,4.583403779163837e-11,0.5447047179148795
636,Minor,13,367.04722917865496,417.2959987653233,5.083338004125058e-11,0.6043702256173387
663,Minor,13,482.8047164034825,483.3121763439588,4.211058042070216e-11,0.500266477171789
728,Minor,13,547.7546272778278,548.5194802378937,3.861252937833207e-11,0.45851838692485336
762,Minor,13,512.0891528591169,533.7888433861547,4.4655970753660836e-11,0.5306448747557293
754,Minor,13,401.2662660165532,639.7712296788274,6.059815231271777e-11,0.7209095754130396
1467,Minor,13,578.3273092196239,582.0503864472136,5.9392441102368924e-12,0.0685734588736898
1152,Minor,12,566.8455420436841,567.3224280226482,4.523277704256229e-11,0.537528868360277
266,Minor,12,351.0619631309398,386.5760300578186,4.631320344607448e-11,0.550423402617398
503,Minor,12,469.18348524229975,483.7066723360615,3.8830847457572185e-11,0.4611239414934564
565,Minor,12,547.2261901481356,548.2749424036713,4.7329126780720255e-11,0.5625481139337952
625,Minor,12,456.9609101523077,555.7875588724846,4.9441602286094826e-11,0.5877598152424942
1210,Minor,12,451.46642472672744,491.3594538205564,4.228176164192453e-11,0.5023094688221709
356,Minor,12,412.6215685059894,483.49649540030674,5.294089377209695e-11,0.6295227097767512
19,Minor,12,441.2075223021498,483.3426949837748,5.5279130018503944e-11,0.657428791377983
1767,Minor,12,588.8669957611412,661.5194389676312,3.81213137000418e-11,0.45265588914549654
586,Minor,12,547.7788194784597,555.8179157583909,5.5488764992319723e-11,0.6599307159353347
1089,Minor,12,451.69360848130935,490.9151390383458,4.1265838307278745e-11,0.49018475750577356
1415,Minor,11,512.107913177711,571.5681992523083,4.204427307018915e-12,0.04786899013226958
396,Minor,11,401.468399565368,483.42106698765514,3.5658469252415655e-11,0.42326264959059406
891,Minor,11,566.622780569668,567.9422565906774,3.636213909459455e-11,0.4316607180348519
459,Minor,11,547.5615425282735,556.4625887564728,5.073459562109854e-11,0.6031912660088178
844,Minor,11,445.7054961135574,567.8289765025321,2.91143397201519e-11,0.3451606130589964
1031,Minor,11,363.8379380751746,366.63456118901166,3.886016703432964e-11,0.46147386101196713
1773,Minor,11,556.8912068991353,558.3965323910965,2.5543215271094e-11,0.30254041570438794
898,Minor,11,490.51977724408636,566.829583544529,3.891294227249306e-11,0.4621037161452865
637,Minor,11,485.8436182559654,548.0956216184264,4.6776452758842246e-11,0.5559521310098676
1398,Minor,11,451.54112523495127,491.548209768652,4.645980132986174e-11,0.5521730002099514
286,Minor,11,482.5725934458431,483.62572146721277,4.121746100562895e-11,0.48960739030023076
1568,Minor,11,557.6600598187176,558.5235894582988,1.4513190494939773e-11,0.17090069284064666
882,Minor,11,359.4182720679669,366.39403303161913,3.595752893534168e-11,0.42683182867940367
731,Minor,11,483.02431876810175,483.64445688601955,3.877220830405727e-11,0.460424102456435
1815,Minor,11,443.4197286572335,694.1709925831333,8.795873027236226e-12,0.10266638673105186
950,Minor,11,566.7596317967829,567.528658187271,3.2720647661318754e-11,0.38820071383581767
1250,Minor,11,490.268881291287,566.9835254551033,4.1780396879372064e-11,0.49632584505563726
578,Minor,11,482.7090072629591,484.98109944848716,5.4024252133284895e-11,0.6424522359857233
725,Minor,11,482.82597083440146,485.5960961907711,3.82444559224231e-11,0.4541255511232416
1090,Minor,11,490.7951499722991,492.03025667546035,3.331876702717082e-11,0.3953390720134369
1134,Minor,10,490.28814785455074,491.8653712191572,3.591530874481095e-11,0.42632794457274825
787,Minor,10,627.4481006358992,634.8530725435903,5.582740610386831e-11,0.6639722863741339
1533,Minor,10,581.0210803826535,650.8638745828877,5.398906864117595e-12,0.06212471131639723
1430,Minor,10,580.1952264129361,581.3928464662303,3.676674925384742e-12,0.0415704387990762
1540,Minor,10,447.2044995971881,448.03173622593937,8.707914296963862e-12,0.10161662817551961
1630,Minor,10,570.4402492620573,572.0020991901476,1.8770393040122102e-11,0.22170900692840645
953,Minor,10,490.4955937992036,492.33461274863595,3.278045959790396e-11,0.38891454965357963
156,Minor,10,480.8471414601281,491.5090981498724,3.2645003153284525e-11,0.38729792147805997
