Cluster ID,Tier,Size,Min Altitude (km),Max Altitude (km),Density,Normalized Density
134,Mega,966,313.9308345443811,557.8038504897766,4.308083847952721e-11,0.5048727679311702
187,Mega,851,336.5698535834802,569.5822326666284,3.747438809161088e-11,0.4385740829875742
1,Mega,656,311.3844607141549,698.530117470365,6.005865009694588e-11,0.705642685717475
118,Mega,557,301.8248097019661,556.2575910446318,5.3048620845369796e-11,0.6227460775895716
126,Mega,346,304.35498331146596,555.8655627514487,4.6494781449183926e-11,0.5452441105276385
135,Mega,334,367.04722917865496,613.3058986928714,4.609632636123325e-11,0.540532207895422
189,Mega,326,363.742315818822,568.0504153453326,4.2110808723211136e-11,0.4934017492383934
200,Mega,256,332.10762443387694,568.3896893618694,4.3598531321205006e-11,0.5109947082379863
114,Mega,252,328.6248281308878,555.9742797337966,5.7534433747796956e-11,0.6757927427263812
208,Mega,235,336.06778676676845,567.9478219109085,4.1998908822916774e-11,0.49207848483373096
209,Mega,210,364.0645814052299,567.9111410922465,3.936253703951379e-11,0.46090225563909787
121,Mega,181,367.64513532615825,556.121105315024,5.016271808637747e-11,0.5886190373844774
141,Mega,180,350.5404565035226,555.2751464602258,4.252472320132131e-11,0.4982964658021868
195,Mega,179,364.35814122245273,567.5251867902726,4.974267666619468e-11,0.5836518670979125
124,Mega,168,357.25430472262855,555.5560421693958,4.569812061081273e-11,0.5358232537866405
212,Mega,151,363.34001814217584,568.1180059676934,3.552880293878236e-11,0.4155667025323171
138,Mega,136,353.4190053866459,555.7412035411512,3.887969904649307e-11,0.4551924888948715
125,Mega,135,367.1100018060058,555.6573220786871,3.580350342544253e-11,0.4188151538265955
116,Mega,128,324.6493993681967,558.2811513622114,3.7265640177110977e-11,0.43610554919908473
113,Mega,128,378.0974416169571,555.3741287092641,4.21653537598297e-11,0.49404676773455386
133,Mega,127,321.24312869160065,555.5020609596875,5.130127147234931e-11,0.6020829204129805
137,Mega,123,331.1750133995712,548.5194802378937,3.96096040207153e-11,0.4638239288571376
129,Mega,122,332.49264249273017,555.7493378658751,4.3271513649448286e-11,0.5071275837491092
123,Mega,119,303.4078162951162,555.4154549810319,3.268516850961226e-11,0.38193950349018335
89,Mega,118,351.93555025836827,567.5731517897984,3.1861782839116934e-11,0.3722026141255868
221,Mega,115,363.8828001590753,567.657632494825,4.692850663343481e-11,0.5503730972042583
232,Mega,105,355.5323634579023,567.6286089152582,3.1304260793275805e-11,0.3656096763648252
130,Major,96,315.90439776274,548.8819376933575,3.444665449555913e-11,0.40276983218916856
226,Major,95,363.69824911520817,567.9103833284667,3.335895027868472e-11,0.3899072624352645
230,Major,91,350.7062446742691,567.8706542679658,3.08041139208348e-11,0.359695224683783
219,Major,88,364.0227756500393,568.283130955955,3.774748909638426e-11,0.4418036197212399
11,Major,87,370.95920131993944,698.2418720813123,2.3303401810802134e-11,0.2709960809069149
21,Major,84,378.57960473800546,662.9497023901455,1.9286417591053294e-11,0.22349351639969486
132,Major,78,400.74675368245875,555.3715001202374,3.799975022410127e-11,0.4447867159537641
194,Major,76,321.08522104871366,567.251160364368,2.815813573395419e-11,0.3284053956401301
17,Major,75,452.6730687936004,699.3338918812592,2.0844811734865493e-11,0.24192219679633875
188,Major,73,364.3317356789671,567.6608588007074,3.198203530985358e-11,0.3736246512648507
144,Major,72,341.20052320677416,547.9766150475526,3.97527038167878e-11,0.46551614543605396
35,Major,69,340.80917438483334,697.4673722567084,1.3626974418340551e-11,0.15656816900474252
29,Major,69,369.3405090732407,645.2882645808719,1.9101321828219274e-11,0.2213046794680463
34,Major,65,488.57511936793475,608.0512407743223,2.1336622826099144e-11,0.24773807428269673
128,Major,65,411.6958902643528,640.4694069486288,4.707037023907543e-11,0.5520506953001233
143,Major,59,367.55337196141295,548.143298271602,3.5789363769668425e-11,0.4186479463212195
82,Major,59,424.1411932681892,623.2290152120376,1.470014006741696e-11,0.16925881394717449
156,Major,58,475.1218426968595,555.2978492079163,5.025901186569487e-11,0.5897577527025961
236,Major,54,312.7575232794685,492.18470762124286,4.291604181911081e-11,0.502923976608187
41,Major,54,403.5996986922445,643.5222936951453,1.2613933467206916e-11,0.1445885244512247
211,Major,52,451.3922918123556,567.0378291749134,4.486064395294843e-11,0.5259197324414715
214,Major,51,364.66755779561305,567.3886739575388,3.106012480825541e-11,0.3627226634360839
120,Major,50,367.4998881062055,555.567148884817,4.675956468262995e-11,0.5483752860411901
